Gene Symbol,Gene ID,Ensembl Gene ID
nan,,-
RAVER1,125950,ENSG00000161847
RECQL4,9401,ENSG00000160957
nan,,-
SPPL2B,56928,ENSG00000005206
TMEM154,201799,ENSG00000170006
ALG9,79796,ENSG00000086848
nan,,-
HNF1B,6928,ENSG00000275410//ENSG00000276194
SPTA1,6708,ENSG00000163554
MARCKS,4082,ENSG00000277443
nan,,-
RNASET2,8635,ENSG00000026297
TMEM254,80195,ENSG00000133678
IDH3B,3420,ENSG00000101365
DACH1,1602,ENSG00000276644
SBF2,81846,ENSG00000133812
nan,,-
NAPB,63908,ENSG00000125814
FCGR3B,2215,ENSG00000162747
CADM1,23705,ENSG00000182985
METTL7B,196410,ENSG00000170439
nan,,-
nan,,-
IGKC,3514,ENSG00000211592
BCL9L,283149,ENSG00000186174
TRGC1,6966,ENSG00000211689
nan,,-
KIF3A,11127,ENSG00000131437
SBDS,51119,ENSG00000126524
nan,,-
CTSH,1512,ENSG00000103811
AIM2,9447,ENSG00000163568
SLC4A1AP,22950,ENSG00000163798
CHL1,10752,ENSG00000134121
LEPROT,54741,ENSG00000213625
NOL4L,140688,ENSG00000197183
IGKV2D-29,28882,ENSG00000243264
SELO,,-
KDM6A,7403,ENSG00000147050
SNX12,29934,ENSG00000147164
COL6A1,1291,ENSG00000142156
SLC1A3,6507,ENSG00000079215
OAS2,4939,ENSG00000111335
ACOT2,10965,ENSG00000119673
PRSS33,260429,ENSG00000103355
NOMO1,23420,ENSG00000103512//ENSG00000274779
ZMIZ2,83637,ENSG00000122515
nan,,-
PHF19,26147,ENSG00000119403
BIN2,51411,ENSG00000110934
ATXN3,4287,ENSG00000066427
ARFIP2,23647,ENSG00000132254
2016-09-15 00:00:00,,-
C16orf86,388284,ENSG00000159761
GPX3,2878,ENSG00000211445
nan,,-
KLF13,51621,ENSG00000169926//ENSG00000275746
CD48,962,ENSG00000117091
nan,,-
TUBGCP5,114791,ENSG00000275835//ENSG00000276856//ENSG00000280807
PSME2,5721,ENSG00000100911//ENSG00000284889
KIAA1524,,-
RSBN1L,222194,ENSG00000187257
KIAA1033,23325,ENSG00000136051
WDR6,11180,ENSG00000178252
IGHM,3507,ENSG00000211899
FAM69A,,-
MRPL45,84311,ENSG00000278845//ENSG00000277936
CEACAM8,1088,ENSG00000124469
PSMC6,5706,ENSG00000100519
nan,,-
WDR20,91833,ENSG00000140153
NARF,26502,ENSG00000141562
PRUNE2,158471,ENSG00000106772
DOCK1,1793,ENSG00000150760
nan,,-
nan,,-
nan,,-
FAM21C,,-
SAA4,6291,ENSG00000148965
nan,,-
C21orf33,,-
nan,,-
MAP4K5,11183,ENSG00000012983
RTFDC1,,-
MARK3,4140,ENSG00000075413
PHF20L1,51105,ENSG00000129292
CLASRP,11129,ENSG00000104859
RHAG,6005,ENSG00000112077
