ID,ENTREZ_GENE_ID
1007_s_at,780 /// 100616237
1053_at,5982
117_at,3310
121_at,7849
1255_g_at,2978
1294_at,7318 /// 100847079
1316_at,7067
1320_at,11099
1405_i_at,6352
1431_at,1571
1438_at,2049
1487_at,2101
1494_f_at,1548
1552256_a_at,949
1552257_a_at,23170
1552258_at,112597 /// 101930489
1552261_at,10406
1552263_at,5594
1552264_a_at,5594
1552266_at,203102
1552269_at,128153
1552271_at,163154
1552272_a_at,163154
1552274_at,54899
1552275_s_at,54899
1552276_a_at,57617
1552277_a_at,91283
1552278_a_at,113235
1552279_a_at,113235
1552280_at,91937
1552281_at,283375
1552283_s_at,79844 /// 653082
1552286_at,90423
1552287_s_at,172
1552288_at,148113
1552289_a_at,148113
1552291_at,54965
1552293_at,256130
1552295_a_at,91252
1552296_at,266675
1552299_at,221264
1552301_a_at,84940
1552302_at,113277
1552303_a_at,113277
1552304_at,84920
1552306_at,84920
1552307_a_at,125488
1552309_a_at,91624
1552310_at,123207
1552311_a_at,84839
1552312_a_at,4238
1552314_a_at,2140
1552315_at,170575
1552316_a_at,170575
1552318_at,170575
1552319_a_at,11202
1552320_a_at,85478
1552321_a_at,85478
1552322_at,159091
1552323_s_at,159091
1552325_at,220136
1552326_a_at,220136
1552327_at,100131755
1552329_at,5930
1552330_at,92806
1552332_at,11078
1552334_at,11078
1552335_at,117144
1552337_s_at,3233
1552338_at,145258
1552340_at,121340
1552343_s_at,5150
1552344_s_at,29883
1552347_at,9946
1552348_at,260429
1552349_a_at,260429
1552354_at,255057
1552355_s_at,255057
1552359_at,157777
1552360_a_at,114609
1552362_a_at,116842
1552364_s_at,124540
1552365_at,85477
1552367_a_at,85477
1552368_at,140690
1552370_at,132321
1552372_at,132321
1552373_s_at,132321
1552375_at,84449
1552377_s_at,201158
1552378_s_at,157506
1552379_at,157506
1552381_at,135295
1552383_at,149647
1552384_a_at,149647
1552386_at,202309
1552388_at,80274 /// 150378
1552389_at,203111
1552390_a_at,203111
1552391_at,164127
1552393_at,150350
1552394_a_at,150350
1552395_at,81629
1552396_at,140870
1552398_a_at,160364
1552399_a_at,2972
1552400_a_at,123591
1552401_a_at,571 /// 100379661
1552402_at,163688
1552405_at,126206
1552408_at,146852
1552409_a_at,146852
1552410_at,165530
1552411_at,245909 /// 503841
1552412_a_at,245909 /// 503841
1552414_at,259240
1552415_a_at,259240
1552417_a_at,121441
1552418_at,254173
1552419_s_at,254173
1552421_a_at,125972
1552422_at,220979
1552423_at,2117
1552424_at,317719
1552425_a_at,317719
1552426_a_at,80213
1552427_at,220992
1552430_at,116966
1552432_at,162387
1552436_a_at,64072 /// 100653137
1552438_a_at,150709
1552439_s_at,84465
1552440_at,11318
1552445_a_at,80712
1552448_a_at,83656
1552449_a_at,147199 /// 653486
1552450_a_at,285126
1552452_at,126248
1552453_a_at,126248
1552455_at,158471
1552456_a_at,125997
1552457_a_at,92949
1552458_at,85509
1552459_a_at,85509
1552461_at,169966
1552463_at,89778
1552466_x_at,118421
1552467_at,259234
1552468_a_at,259234
1552470_a_at,83451
1552472_a_at,23527
1552473_at,2593
1552474_a_at,2593
1552476_s_at,113026
1552477_a_at,3664
1552478_a_at,3664
1552480_s_at,5788
1552481_s_at,10905
1552482_at,65059
1552484_at,140775
1552485_at,114294
1552486_s_at,114294
1552487_a_at,646
1552489_s_at,58538
1552490_at,246269
1552491_at,91734
1552493_s_at,1584
1552494_at,129685
1552496_a_at,23242
1552497_a_at,114836
1552498_at,7579
1552499_a_at,7579
1552501_a_at,151306
1552502_s_at,54933
1552503_at,80144
1552504_a_at,84446
1552506_at,286204
1552507_at,23704
1552508_at,23704
1552509_a_at,146894
1552510_at,142680
1552511_a_at,57094
1552514_at,164684
1552515_at,204851
1552516_a_at,204851
1552518_s_at,27085
1552519_at,130399
1552520_at,157753
1552521_a_at,157753
1552522_at,201798
1552523_a_at,201798
1552524_at,116969
1552526_at,196472
1552528_at,84536
1552531_a_at,204801
1552532_a_at,245973
1552535_at,149461
1552536_at,143187
1552538_a_at,221458
1552540_s_at,115811
1552541_at,117289
1552542_s_at,117289
1552543_a_at,85439
1552544_at,145264
1552546_a_at,137994
1552548_at,7809
1552549_a_at,7809
1552552_s_at,170482
1552553_a_at,58484
1552554_a_at,58484
1552555_at,146547
1552557_a_at,158866
1552558_a_at,10743
1552559_a_at,65061
1552562_at,148268
1552563_a_at,
1552564_at,119369
1552566_at,118663
1552568_at,83597
1552569_a_at,83597
1552570_at,54084
1552572_a_at,145282
1552573_s_at,145282
1552575_a_at,135398
1552576_at,200420
1552578_a_at,140469
1552579_a_at,8747
1552580_at,205860
1552582_at,150000
1552583_s_at,150000
1552584_at,3594
1552585_s_at,11036
1552586_at,162514
1552587_at,168975
1552588_a_at,168975
1552590_a_at,94160
1552592_at,118856
1552594_at,147744
1552596_at,246176
1552598_at,93107
1552599_at,222659
1552602_at,27091
1552604_at,54143
1552605_s_at,54143
1552607_at,286967 /// 100132967
1552608_at,259239
1552609_s_at,282616 /// 282617
1552610_a_at,3716
1552611_a_at,3716
1552612_at,56990
1552613_s_at,56990
1552615_at,32
1552616_a_at,32
1552617_a_at,64326
1552618_at,10228
1552619_a_at,54443
1552620_at,163778
1552621_at,5439 /// 246721 /// 548644 /// 100134938
1552622_s_at,5439 /// 246721 /// 441259 /// 548644 /// 100134938
1552623_at,84941
1552625_a_at,51095
1552626_a_at,81615
1552627_a_at,394
1552628_a_at,64224
1552629_a_at,23210
1552630_a_at,10847
1552631_a_at,9064
1552632_a_at,22901
1552633_at,94039
1552634_a_at,94039
1552637_at,5781
1552639_at,113730
1552641_s_at,55210 /// 83858
1552643_at,199777
1552644_a_at,80012
1552646_at,3590
1552648_a_at,8797
1552649_a_at,117584 /// 100529207
1552651_a_at,117584 /// 100529207
1552652_at,89781
1552656_s_at,127933
1552657_a_at,84203
1552658_a_at,89795
1552660_a_at,55322
1552661_at,56099
1552662_a_at,56099
1552663_a_at,23085
1552664_at,201163
1552665_at,84989
1552666_a_at,57554
1552667_a_at,10044
1552669_at,79660
1552670_a_at,79660
1552671_a_at,84679
1552672_a_at,3321
1552673_at,222546
1552674_at,116093
1552675_at,150353
1552676_at,114131
1552677_a_at,23181
1552678_a_at,57646
1552680_a_at,57082
1552682_a_at,57082
1552684_a_at,123228
1552685_a_at,29841
1552686_at,140894
1552687_a_at,140894
1552689_at,57524
1552690_a_at,93589
1552691_at,115761
1552693_at,115761
1552694_at,114134
1552695_a_at,114134
1552696_at,123606
1552698_at,113691
1552701_a_at,114769
1552703_s_at,834 /// 114769
1552705_at,142679
1552708_a_at,142679
1552711_a_at,124637
1552712_a_at,23057
1552713_a_at,6521
1552714_at,200407
1552715_a_at,59350
1552716_at,79925
1552717_s_at,9859 /// 645455
1552718_at,92675
1552719_at,113201
1552721_a_at,2246
1552722_at,10777
1552724_at,158800
1552725_s_at,170691
1552726_at,170691
1552727_s_at,170691
1552729_at,84973 /// 677804 /// 677824
1552730_at,50846
1552731_at,137735
1552732_at,137735
1552733_at,122773
1552734_at,253260
1552735_at,56111
1552736_a_at,81832
1552737_s_at,11060
1552738_a_at,54879
1552739_s_at,54879
1552740_at,150590
1552742_at,131096
1552743_at,23263
1552745_at,133482
1552747_a_at,151649
1552749_a_at,147700
1552750_at,117286
1552751_a_at,117286
1552752_a_at,253559
1552754_a_at,253559
1552755_at,157983
1552757_s_at,157983
1552758_at,9734
1552760_at,9734
1552761_at,162515
1552763_at,91147
1552765_x_at,91147
1552766_at,90161
1552767_a_at,90161
1552768_at,84254
1552769_at,90589
1552770_s_at,147837
1552771_a_at,286826
