ID,ENTREZ_GENE_ID
1000_at,5595
1001_at,7075
1002_f_at,1557
1003_s_at,643
1004_at,643
1005_at,1843
1006_at,4319
1007_s_at,780 /// 100616237
1008_f_at,5610
1009_at,3094
100_g_at,5875
1010_at,5600
1011_s_at,7531
1012_at,8850
1013_at,4090
1014_at,5428
1015_s_at,3984
1016_s_at,3598
1017_at,2956
1018_at,7480
1019_g_at,7480
101_at,8798
1020_s_at,10519
1021_at,3458
1022_f_at,3448
1023_at,2056
1024_at,1543
1025_g_at,1543
1026_s_at,1302
1027_at,1302
1028_at,7156
1029_s_at,7294
102_at,10114
1030_s_at,7150
1031_at,6732
1032_at,3579
1033_g_at,3579
1034_at,7078
1035_g_at,7078
1036_at,3600
1037_at,574
1038_s_at,3459
1039_s_at,3091
103_at,7060
1040_s_at,10152
1041_at,1946
1042_at,5918
1043_s_at,5893
1044_s_at,1875
1045_s_at,5970
1046_at,24138
1047_s_at,4485 /// 11209 /// 11223 /// 101930052 /// 102724562
1048_at,6258
1049_g_at,6258
104_at,5463
1050_at,2315
1051_g_at,2315
1052_s_at,1052
1053_at,5982
1054_at,5984
1055_g_at,5984
1056_s_at,3603
1057_at,1382
1058_at,10810
1059_at,4916
105_at,9970
1060_g_at,4916
1061_at,3587
1062_g_at,3587
1063_s_at,7301
1064_at,5756
1065_at,2322
1066_at,3594
1067_at,2323
1068_g_at,2323
1069_at,5743
106_at,864
1070_at,2959
1071_at,2624
1072_g_at,2624
1073_at,6917
1074_at,5861
1075_f_at,3449
1076_at,3552
1077_at,5896
1078_at,5618
1079_g_at,5618
107_at,282808
1080_s_at,1544
1081_at,4953
1082_at,5335
1083_s_at,4582
1084_at,27
1085_s_at,5336
1086_at,1439
1087_at,2057
1088_at,627
1089_i_at,
108_g_at,10966 /// 142684 /// 282808
1090_f_at,
1091_at,5575
1092_at,1907
1093_at,5519
1094_g_at,5519
1095_s_at,3082
1096_g_at,930
1097_s_at,1236
1098_at,7066
1099_s_at,2953 /// 653689
109_at,10244
1100_at,3654
1101_at,322
1102_s_at,2908
1103_at,283
1104_s_at,3303 /// 3304 /// 3305
1105_s_at,51561
1106_s_at,28517 /// 28663 /// 28738 /// 28755
1107_s_at,9636
1108_s_at,2041
1109_s_at,5154
110_at,1464
1110_at,10730
1111_at,4684
1112_g_at,4684
1113_at,650
1114_at,652
1115_at,5196
1116_at,
1117_at,978
1118_at,5734
1119_at,6118
111_at,5875
1120_at,2947
1121_g_at,2947
1122_f_at,1082 /// 93659 /// 94027 /// 94115 /// 114335 /// 114336
1123_at,2692
1124_at,4297
1125_s_at,960
1126_s_at,960
1127_at,6195
1128_s_at,1230
1129_at,2636
112_g_at,6872
1130_at,5604
1131_at,5605
1132_s_at,5916
1133_at,2020
1134_at,10188
1135_at,2869
1136_at,1841
1137_at,6575
1138_at,6574
1139_at,10672
113_i_at,4137
1140_at,3682
1141_at,4161
1142_at,
1143_s_at,2263
1144_at,2263
1145_g_at,2263
1146_at,920
1147_at,7025
1148_s_at,3084
1149_at,7942
114_r_at,4137
1150_at,5791
1151_at,6146
1152_i_at,1082 /// 93659 /// 94027 /// 94115 /// 114335 /// 114336
1153_f_at,1082 /// 93659 /// 94027 /// 94115 /// 114335 /// 114336
1154_at,1965
1155_at,
1156_at,6667
1157_s_at,3454
1158_s_at,801 /// 805 /// 808
1159_at,3574
115_at,7057
1160_at,1537
1161_at,3326
1162_g_at,2794
1163_at,5291
1164_at,7321
1165_at,3606
1166_at,5708
1167_s_at,4324
1168_at,54661
1169_at,56099
116_at,5576
1170_at,1435
1171_s_at,5451
1172_at,6303
1173_g_at,6303
1174_at,4342
1175_s_at,1558
1176_at,3690
1177_at,
1178_at,1719
1179_at,3312 /// 85389 /// 85390
117_at,3310
1180_g_at,3312 /// 85389 /// 85390
1181_at,2794
1182_at,5334
1183_at,6361
1184_at,5721 /// 102465801
1185_at,3563
1186_at,2662
1187_at,3980
1188_g_at,3980
1189_at,1024
118_at,3706
1190_at,5800
1191_s_at,5717
1192_at,5718
1193_at,7337
1194_g_at,7337
1195_s_at,9270
1196_at,1104
1197_at,72
1198_at,1910
1199_at,1973 /// 26781 /// 652965 /// 652966 /// 100533955 /// 101928634
1200_at,2736
1201_at,9363
1202_g_at,9363
1203_at,3624
1204_at,1608
1205_at,
1206_at,1020
1207_at,1021
1208_at,5753
1209_at,7189
120_at,3672
1210_s_at,8718
1211_s_at,8738
1212_at,2954
1213_at,6733
1214_s_at,3456
1217_g_at,5579
1218_at,2063
1219_at,3660
121_at,7849
1220_g_at,3660
1221_at,5869
1222_at,5128
1223_at,5129
1224_at,5127
1225_g_at,5127
1226_at,6868
1227_g_at,6868
1228_s_at,4253
1229_at,10903
122_at,5558
1230_g_at,10903
1231_at,7320
1232_s_at,3484
1233_s_at,558
1234_at,2042
1235_at,7534
1236_s_at,4763 /// 101930150
1237_at,8870
1238_at,5601
1239_s_at,835
123_at,5587
1240_at,835
1241_at,8073
1242_at,2077
1243_at,1643
1244_at,6773
1245_i_at,5062
1246_at,5802
1247_g_at,5802
1248_at,5437
1249_at,2549
1250_at,5591
1251_g_at,5909
1252_at,7905
1253_at,2932
1254_at,2978
1255_g_at,2978
1256_at,5789
1257_s_at,5768
1258_s_at,2072
1259_at,7571
1260_s_at,2938 /// 2939 /// 2940
1261_i_at,2938 /// 2939
1262_s_at,7042
1263_at,3562
1264_at,5771
1265_g_at,5771
1266_s_at,3932
1267_at,5583
1268_at,7317
1269_at,5295
126_s_at,6757 /// 6759 /// 548313 /// 727837
1270_at,5909
1271_g_at,5970
1272_at,1968
1273_r_at,997
1274_s_at,997
1275_at,5229
1276_g_at,11030
1277_at,27237
1278_at,558
1279_s_at,1018 /// 100529145
1280_i_at,2872
1281_f_at,2872
1282_s_at,2011
1283_at,9175
1284_at,23683
1285_at,4750
1286_s_at,
1287_at,142
1288_s_at,1915
1289_at,2949
128_at,1513
1290_g_at,2949
1291_s_at,2264
1292_at,1844
1293_s_at,2822
1294_at,7318 /// 100847079
1295_at,5970
1296_at,1013
1297_at,11030
1298_at,2099
1299_at,7014
129_g_at,1513
1300_at,7516
1303_at,6452
1304_at,
1305_s_at,4051 /// 8529
1306_at,1981
1307_at,7507
1308_g_at,7507
1309_at,5691
130_s_at,7080
1310_at,5690
1311_at,5692
1312_at,5714
1313_at,5695
1314_at,5707
1315_at,4946
1316_at,7067
1317_at,4486
1318_at,5928
1319_at,4921
131_at,6882
1320_at,11099
1321_s_at,2012
1322_at,1869
1323_at,7314
1324_at,5883
1325_at,4086
1326_at,843
1327_s_at,4217
1328_at,7188
1329_s_at,7013
1330_at,4215
1331_s_at,8718
1332_f_at,2688
1333_f_at,613
1334_s_at,1440
1335_at,3480
1336_s_at,5579
1337_s_at,5914
1338_s_at,1548 /// 1549 /// 1553
1339_s_at,613
133_at,1075
1340_s_at,3082
1341_at,6688
1342_g_at,7013
1343_s_at,6317
1344_at,5077
1345_s_at,5077
1346_at,4504
1347_at,994
1348_s_at,5095
1349_at,
134_at,10152
1350_at,8529
1351_at,2050
1352_at,3577
1353_g_at,3577
1354_at,4915
1355_g_at,4915
1356_at,7818
1357_at,7375
1358_s_at,2537
1359_at,3605
135_g_at,10152
1360_at,7518
1361_at,7013
1362_s_at,6257
1363_at,2263
1364_at,5803
1365_at,3560
1366_i_at,7316
1367_f_at,7316
1368_at,3554
1369_s_at,3576
136_at,2853
1370_at,3575
1371_s_at,1555 /// 1556
1372_at,7130
1373_at,6929
1374_g_at,6929
1375_s_at,7077
1376_at,3978
1377_at,4790
1378_g_at,4790
1379_at,1969
137_at,10661
1380_at,2252
1381_at,5915
1382_at,6117
1383_at,5520
1384_at,5521
1385_at,7045
1386_at,5780
1387_at,
1388_g_at,7421
1389_at,4311
138_at,11184
1390_s_at,2691
1391_s_at,1579 /// 284541
1392_at,2870
1393_at,4951
1394_at,387
1395_at,389
1396_at,3488
1397_at,4296
1398_g_at,4296
1399_at,6921
139_at,9229
1400_at,1437
1401_g_at,1437
1402_at,4067
1403_s_at,6352
1404_r_at,6352
1405_i_at,6352
1406_at,7181
1407_g_at,7181
1408_at,2249
1409_at,6722
140_s_at,6434
1410_at,7421
1411_at,1584
1412_g_at,1584 /// 1585
1413_at,
1414_at,
1415_at,
1416_g_at,
1417_at,
1418_at,4843
1419_g_at,4843
141_s_at,2972
1420_s_at,1974 /// 6043 /// 619567 /// 619568 /// 677847 /// 100302143
1421_at,814
1422_g_at,814
1423_at,7326
1424_s_at,7533
1425_at,56125
1426_at,6503
1427_g_at,6503
1428_at,7068
142_at,6874
1430_at,6750
1431_at,1571
1432_s_at,4058
1433_g_at,4088
1434_at,5728
1435_f_at,3452
1436_at,1565
1437_at,5578
1438_at,2049
1439_s_at,9261
143_s_at,6877
1440_s_at,355
1441_s_at,355
1442_at,2100
1443_at,1852
1444_at,5715
1445_at,9034
1446_at,5683
1447_at,5689
1448_at,5684
1449_at,5685
144_at,7084
1450_g_at,5685
1451_s_at,10631
1452_at,8543
1453_at,4087
1454_at,4088
1455_f_at,1559
1456_s_at,3428
1457_at,3716
1458_at,5774
1459_at,5775
145_s_at,6910
1460_g_at,5775
1461_at,4792
1462_s_at,5424
1463_at,5782
1464_at,619552
1465_s_at,4603
1466_s_at,2252
1467_at,2059
1468_at,10131
1469_at,9261
146_at,5298
1470_at,5425
1471_at,4602
1472_g_at,4602
1473_s_at,4602
1474_s_at,4602
1475_s_at,4602
1476_s_at,4602
1477_s_at,1562
1478_at,3702
1479_g_at,3702
147_at,7251
1480_at,3308
1481_at,4321
1482_g_at,4321
1483_at,1002
1484_at,1006
1485_at,2045
1486_at,5439
1487_at,2101
1488_at,5796
1489_s_at,4610
148_at,22936
1490_at,4610
1491_at,5806
1492_f_at,1549
1493_r_at,1548
1494_f_at,1548
1495_at,4052
1496_at,5786
1497_at,4055
1498_at,7535
1499_at,2339
149_at,10212
1500_at,7490
1501_at,3479
1503_at,675
1504_s_at,2257
1505_at,7298
1506_at,3561
1507_s_at,1909
1508_at,3680
1509_at,4325
150_at,9223
1510_g_at,4325
1511_at,53358
1512_at,1859
1513_at,354
1514_g_at,354
1515_at,2237
1516_g_at,2237
1517_at,1572
1518_at,2113
1519_at,2114
151_s_at,203068
1520_s_at,3553
1521_at,4830
1522_at,8711
1523_g_at,8711
1524_at,5891
1525_s_at,2253
1526_i_at,2253
1527_s_at,90634
1528_at,116828
1529_at,10129
152_f_at,8294 /// 8359 /// 8360 /// 8361 /// 8362 /// 8363 /// 8364 /// 8365 /// 8366 /// 8367 /// 8368 /// 8370 /// 121504 /// 554313
1530_g_at,10129
1531_at,10443
1532_g_at,10443
1533_at,10111
1534_at,3595
1535_at,1112
1536_at,990
1537_at,1956
1538_s_at,3558
1539_at,4893
153_f_at,8970
1540_f_at,3442
1541_f_at,3442 /// 3443
1542_at,1950
1543_at,5608
1544_at,641
1545_g_at,2321
1546_at,3373
1547_at,3718
1548_s_at,3586
1549_s_at,6317 /// 6318
154_at,6872
1550_at,10573
1551_g_at,10573
1552_i_at,1553
1553_r_at,1553
1554_f_at,1553
1555_f_at,1548 /// 1549
1556_at,10181
1557_at,5058
1558_g_at,5058
1559_at,5062
155_s_at,7341
1560_g_at,5062
1561_at,1850 /// 101927562
1562_g_at,1850 /// 101927562
1563_s_at,7132
1564_at,207
1565_s_at,2885
1566_at,4684
1567_at,2321
1568_s_at,3455
1569_r_at,3588
156_s_at,2842
1570_f_at,5925
1571_f_at,5925
1572_s_at,3643
1573_at,5155
1574_s_at,3565
1575_at,5243
1576_g_at,5243 /// 5244
1577_at,367
1578_g_at,367
1579_at,5008
157_at,23532
1580_f_at,3441
1581_s_at,7155
1582_at,1048
1583_at,7133
1584_at,995
1585_at,2065
1586_at,3486
1587_at,5916
1588_at,3455
1589_s_at,3455
158_at,11080
1590_s_at,3265
1591_s_at,3481 /// 723961
1592_at,7153
1593_at,2247
1594_at,5432
1595_at,7010
1596_g_at,7010
1597_at,2621
1598_g_at,2621
1599_at,1033
159_at,7424
160020_at,4323
160021_r_at,5241
160022_at,1436
160023_at,7472
160024_at,8558
160025_at,7039
160026_at,5613
160027_s_at,3482
160028_s_at,5979
160029_at,5579
160030_at,2690
160031_at,1001
160032_at,3570
160033_s_at,7515
160034_s_at,2176
160035_at,1087
160036_at,2103
160037_at,4324
160038_s_at,3630
160039_at,5596
160040_at,1908
160041_at,26469
160042_s_at,3216
160043_at,4603
160044_g_at,50
1600_at,7294
1601_s_at,3488
1602_at,5584
1603_g_at,5584
1604_at,2044
1605_g_at,2044
1606_at,2043
1607_at,1030
1608_at,4233
1609_g_at,4233
160_at,8027
1610_s_at,1719
1611_s_at,3458
1612_s_at,3727
1613_s_at,9098 /// 84669
1614_s_at,9098 /// 84669 /// 162632 /// 220594 /// 284047
1615_at,598
1616_at,2254
1617_at,7706
1618_at,1588
1619_g_at,1588
161_at,9366
1620_at,1004
1621_at,988
1622_at,5606
1623_s_at,2241
1624_at,5910
1625_at,3479
1626_at,4593
1627_at,
1628_at,
1629_s_at,5783
162_at,8237
1630_s_at,6850
1631_at,
1632_at,
1633_g_at,11040
1634_s_at,7040
1635_at,25
1636_g_at,25
1637_at,7867
1638_at,2120
1639_s_at,1875
163_at,1855
1640_at,6767
1641_s_at,1642
1642_at,9112
1643_g_at,9112
1644_at,8668
1645_at,3814
1646_at,331
1647_at,10788
1648_at,9180
1649_at,54498
164_at,2784
1650_g_at,54498
1651_at,11065
1652_at,11040
1653_at,6189 /// 8944
1654_at,673 /// 57670
1655_s_at,2346 /// 219595
1656_s_at,25
1657_at,5801
1658_g_at,5801
1659_s_at,6009
165_g_at,2784
1660_at,7334
1661_i_at,354
1662_r_at,
1663_at,5916
1664_at,3481 /// 723961
1665_s_at,1890
1666_at,3439
1667_s_at,1580
1668_s_at,7428
1669_at,7474
166_at,8111
1670_at,7027
1671_s_at,1432
1672_f_at,5925
1673_at,4804
1674_at,7525
1675_at,5921
1676_s_at,1937 /// 100500804
1677_at,3488
1678_g_at,3488
1679_at,2555
167_at,1983
1680_at,2886
1681_at,2099
1682_s_at,5243
1683_at,51352
1684_s_at,7490
1685_at,5867 /// 10638
1686_g_at,5867 /// 10638
1687_s_at,578
1688_s_at,4331
1689_at,8642
168_at,132
1690_at,8641 /// 56101
1691_at,26025
1692_s_at,2675
1693_s_at,7076
1694_s_at,3192
1695_at,4738
1696_at,5423
1697_s_at,5795
1698_g_at,5607
1699_at,5607
169_at,1044
1700_at,27113 /// 100422832 /// 100422899
1701_at,7011
1702_at,3559
1703_g_at,1874
1704_at,7410
1705_s_at,5915
1706_at,369
1707_g_at,369
1708_at,5602
1709_g_at,5602
170_at,1045
1710_s_at,7150
1711_at,7158
1712_s_at,6416
1713_s_at,1029
1714_at,6239
1715_at,8743
1716_at,8844
1717_s_at,330
1718_at,10109
1719_at,4437
171_at,7411
1720_at,4085
1721_g_at,4085
1722_at,5607
1723_g_at,2065
1724_at,1874
1725_s_at,7337
1726_at,5426
1727_at,2066
1728_at,648 /// 100532731
1729_at,8717
172_at,3635
1730_s_at,2249
1731_at,5156
1732_at,2250
1733_at,654
1734_at,7043
1735_g_at,7043
1736_at,3489
1737_s_at,3487
1738_at,993
1739_at,2346 /// 219595
173_at,1016
1740_g_at,2346 /// 219595
1741_s_at,3485
1742_at,2065
1743_s_at,6498
1744_at,
1745_at,5979
1746_s_at,7186
1747_at,1777
1748_s_at,10661
1749_at,2639
174_s_at,50618
1750_at,2193
1751_g_at,2193
