ID,ENTREZ_GENE_ID
A_19_P00316395,
A_19_P00316396,
A_19_P00316398,
A_19_P00316401,
A_19_P00316404,339263
A_19_P00316405,339263
A_19_P00316410,
A_19_P00316415,
A_19_P00316417,
A_19_P00316419,
A_19_P00316423,54840
A_19_P00316427,
A_19_P00316432,
A_19_P00316437,285550
A_19_P00316438,
A_19_P00316439,
A_19_P00316440,
A_19_P00316448,84894
A_19_P00316449,
A_19_P00316450,29995
A_19_P00316453,
A_19_P00316454,
A_19_P00316455,
A_19_P00316458,
A_19_P00316459,
A_19_P00316462,
A_19_P00316465,
A_19_P00316467,
A_19_P00316469,
A_19_P00316470,
A_19_P00316471,
A_19_P00316473,
A_19_P00316475,
A_19_P00316479,
A_19_P00316480,
A_19_P00316483,
A_19_P00316488,
A_19_P00316493,
A_19_P00316494,
A_19_P00316497,
A_19_P00316504,
A_19_P00316505,
A_19_P00316506,
A_19_P00316507,
A_19_P00316511,91050
A_19_P00316512,
A_19_P00316516,
A_19_P00316518,
A_19_P00316521,
A_19_P00316525,
A_19_P00316528,
A_19_P00316529,
A_19_P00316530,
A_19_P00316533,10904
A_19_P00316537,
A_19_P00316538,
A_19_P00316541,
A_19_P00316543,8603//6047
A_19_P00316544,
A_19_P00316547,
A_19_P00316551,
A_19_P00316552,
A_19_P00316554,
A_19_P00316557,
A_19_P00316561,
A_19_P00316562,
A_19_P00316563,
A_19_P00316564,
A_19_P00316565,
A_19_P00316567,
A_19_P00316570,
A_19_P00316573,
A_19_P00316576,
A_19_P00316577,
A_19_P00316578,
A_19_P00316579,
A_19_P00316585,
A_19_P00316590,
A_19_P00316594,
A_19_P00316595,
A_19_P00316596,
A_19_P00316597,
A_19_P00316599,
A_19_P00316601,
A_19_P00316602,
A_19_P00316605,
A_19_P00316609,
A_19_P00316612,10904
A_19_P00316615,
A_19_P00316622,
A_19_P00316623,
A_19_P00316624,153020
A_19_P00316625,
A_19_P00316628,
A_19_P00316629,9780
A_19_P00316631,
A_19_P00316634,
A_19_P00316641,
A_19_P00316643,
A_19_P00316649,8854
A_19_P00316650,8854
A_19_P00316652,
A_19_P00316655,
A_19_P00316657,
A_19_P00316659,
A_19_P00316663,
A_19_P00316666,
A_19_P00316667,
A_19_P00316670,
A_19_P00316675,
A_19_P00316678,
A_19_P00316682,
A_19_P00316683,
A_19_P00316684,
A_19_P00316686,
A_19_P00316690,
A_19_P00316694,
A_19_P00316697,
A_19_P00316699,
A_19_P00316700,
A_19_P00316701,
A_19_P00316705,
A_19_P00316709,
A_19_P00316714,732253
A_19_P00316719,
A_19_P00316720,
A_19_P00316721,
A_19_P00316722,
A_19_P00316723,
A_19_P00316726,
A_19_P00316731,
A_19_P00316734,
A_19_P00316736,
A_19_P00316738,
A_19_P00316739,
A_19_P00316743,
A_19_P00316745,
A_19_P00316753,
A_19_P00316758,9175
A_19_P00316770,
A_19_P00316773,
A_19_P00316774,
A_19_P00316775,
A_19_P00316778,
A_19_P00316780,
A_19_P00316781,
A_19_P00316782,
A_19_P00316786,
A_19_P00316792,
A_19_P00316799,
A_19_P00316800,
A_19_P00316801,
A_19_P00316806,
A_19_P00316808,
A_19_P00316812,
A_19_P00316815,
A_19_P00316820,
A_19_P00316828,
A_19_P00316835,
A_19_P00316836,
A_19_P00316837,
A_19_P00316838,10086
A_19_P00316839,10086
A_19_P00316840,10086
A_19_P00316842,
A_19_P00316844,
A_19_P00316846,
A_19_P00316848,
A_19_P00316854,
A_19_P00316855,
A_19_P00316857,
A_19_P00316859,
A_19_P00316861,
A_19_P00316864,
A_19_P00316871,
A_19_P00316874,
A_19_P00316879,
A_19_P00316880,
A_19_P00316881,
A_19_P00316882,
A_19_P00316883,
A_19_P00316884,
A_19_P00316885,
A_19_P00316888,
A_19_P00316891,
A_19_P00316895,
A_19_P00316897,
A_19_P00316901,731220
A_19_P00316905,
A_19_P00316911,
A_19_P00316914,
A_19_P00316919,
A_19_P00316921,
A_19_P00316925,400499
A_19_P00316929,
A_19_P00316931,
A_19_P00316933,
A_19_P00316934,
A_19_P00316937,
A_19_P00316946,
A_19_P00316951,
A_19_P00316952,
A_19_P00316955,
A_19_P00316958,
A_19_P00316960,
A_19_P00316961,
A_19_P00316964,
A_19_P00316965,
A_19_P00316966,
A_19_P00316967,
A_19_P00316973,
A_19_P00316977,
A_19_P00316979,
A_19_P00316981,
A_19_P00316982,
A_19_P00316985,
A_19_P00316988,
A_19_P00316989,
A_19_P00316992,
A_19_P00316993,
A_19_P00316995,
A_19_P00317000,
A_19_P00317005,
A_19_P00317006,
A_19_P00317013,
A_19_P00317016,
A_19_P00317019,
A_19_P00317023,
A_19_P00317026,
A_19_P00317028,
A_19_P00317032,643911
A_19_P00317034,
A_19_P00317040,
A_19_P00317042,
A_19_P00317043,
A_19_P00317045,
A_19_P00317046,
A_19_P00317052,57674
A_19_P00317053,
A_19_P00317054,
A_19_P00317061,
A_19_P00317066,400499
A_19_P00317071,
A_19_P00317076,
A_19_P00317077,
A_19_P00317078,
A_19_P00317082,
A_19_P00317087,
A_19_P00317089,
A_19_P00317094,
A_19_P00317101,
A_19_P00317108,
A_19_P00317109,
A_19_P00317112,
A_19_P00317113,
A_19_P00317120,
A_19_P00317127,
A_19_P00317128,
A_19_P00317131,
A_19_P00317132,55764
A_19_P00317138,
A_19_P00317141,
A_19_P00317144,
A_19_P00317146,
A_19_P00317149,
A_19_P00317152,
A_19_P00317153,
A_19_P00317159,7690
A_19_P00317163,
A_19_P00317164,5962
A_19_P00317168,
A_19_P00317169,
A_19_P00317170,
A_19_P00317171,
A_19_P00317172,
A_19_P00317173,
A_19_P00317178,
A_19_P00317180,
A_19_P00317181,
A_19_P00317182,
A_19_P00317184,
A_19_P00317187,
A_19_P00317190,
A_19_P00317193,
A_19_P00317194,
A_19_P00317195,
A_19_P00317196,
A_19_P00317199,
A_19_P00317201,
A_19_P00317204,
A_19_P00317207,
A_19_P00317209,
A_19_P00317210,
A_19_P00317217,
A_19_P00317218,
A_19_P00317220,
A_19_P00317224,
A_19_P00317237,
A_19_P00317242,400499
A_19_P00317247,7803
A_19_P00317254,
A_19_P00317256,
A_19_P00317260,
A_19_P00317266,
A_19_P00317269,
A_19_P00317270,
A_19_P00317272,
A_19_P00317276,
A_19_P00317277,
A_19_P00317278,
A_19_P00317287,
A_19_P00317289,
A_19_P00317294,
A_19_P00317296,
A_19_P00317304,
A_19_P00317307,
A_19_P00317308,
A_19_P00317309,
A_19_P00317314,147710
A_19_P00317316,
A_19_P00317318,731220
A_19_P00317324,
A_19_P00317326,
A_19_P00317331,
A_19_P00317332,
A_19_P00317337,
A_19_P00317340,
A_19_P00317342,
A_19_P00317350,
A_19_P00317351,
A_19_P00317357,
A_19_P00317360,27032
A_19_P00317361,
A_19_P00317364,
A_19_P00317368,
A_19_P00317376,
A_19_P00317377,
A_19_P00317380,
A_19_P00317381,
A_19_P00317383,
A_19_P00317386,
A_19_P00317389,
A_19_P00317397,
A_19_P00317398,
A_19_P00317403,
A_19_P00317406,
A_19_P00317409,
A_19_P00317411,
A_19_P00317412,
A_19_P00317416,
A_19_P00317417,
A_19_P00317418,
A_19_P00317419,
A_19_P00317420,
A_19_P00317423,
A_19_P00317425,
A_19_P00317428,
A_19_P00317431,
A_19_P00317432,
A_19_P00317435,
A_19_P00317436,
A_19_P00317441,
A_19_P00317444,389602
A_19_P00317447,
A_19_P00317449,339500
A_19_P00317451,
A_19_P00317460,
A_19_P00317462,
A_19_P00317471,
A_19_P00317472,
A_19_P00317473,
A_19_P00317477,
A_19_P00317480,
A_19_P00317481,
A_19_P00317484,151887
A_19_P00317487,
A_19_P00317490,285025
A_19_P00317491,285025
A_19_P00317498,
A_19_P00317500,
A_19_P00317501,
A_19_P00317504,
A_19_P00317507,
A_19_P00317508,
A_19_P00317512,
A_19_P00317516,
A_19_P00317519,
A_19_P00317520,
A_19_P00317523,
A_19_P00317524,
A_19_P00317529,
A_19_P00317532,
A_19_P00317533,
A_19_P00317534,
