ID,ENTREZ_GENE_ID
A_24_P66027,9582
A_32_P77178,
A_23_P212522,23200
A_24_P934473,79091
A_24_P9671,3301
A_32_P29551,
A_24_P801451,10919
A_32_P30710,9349
A_32_P89523,
A_24_P704878,
A_32_P86028,6207
A_24_P470079,
A_23_P65830,374659
A_23_P109143,5621
A_24_P595567,
A_24_P391591,
A_24_P799245,
A_24_P932757,9768
A_24_P835500,162073
A_23_P54340,84465
A_23_P67555,9546
A_24_P286412,27297
A_24_P229084,57828
A_23_P202696,55709
A_24_P927716,643036
A_23_P124837,4035
A_24_P329635,7248
A_23_P148439,
A_23_P137931,140
A_23_P203819,2802
A_32_P198868,
A_24_P687,1004
A_23_P253052,83692
A_32_P139302,
A_23_P201647,9887
A_24_P350557,
A_23_P146584,91283
A_24_P289607,55086
A_32_P54289,
A_23_P77000,22846
A_23_P111020,6722
A_32_P103558,85439
A_32_P235289,
A_32_P22191,56987
A_24_P253251,6541
A_24_P52168,
A_24_P530900,
A_23_P391894,
A_24_P209571,7534
A_24_P148907,10586
A_24_P6825,644353
A_23_P149281,1969
A_23_P104098,127833
A_24_P151920,27346
A_24_P252223,63027
A_32_P141065,
A_23_P217015,6418
A_32_P188888,
A_23_P135381,389058
A_23_P151294,3458
A_32_P149011,
A_32_P156549,
A_23_P215419,3382
A_23_P145874,219285
A_23_P127662,283159
A_23_P253029,666
A_32_P125233,
A_24_P298846,387263
A_23_P141315,54475
A_23_P87351,6240
A_23_P155677,3093
A_24_P938342,
A_24_P131173,79762
A_32_P76091,3329
A_24_P50489,
A_24_P276932,245973
A_24_P838448,
A_23_P337746,4901
A_23_P216689,8019
A_24_P208897,285521
A_24_P42557,7253
A_23_P93295,26529
A_24_P926770,26020
A_23_P67355,5639
A_23_P48487,6547
A_23_P204947,2706
A_24_P50738,
A_24_P624263,
A_23_P351328,339779
A_23_P129829,94103
A_23_P142688,79137
A_32_P10665,
A_23_P53015,64852
A_23_P56855,388468
A_32_P184330,
A_24_P212086,5268
A_24_P373475,443
A_23_P107597,5205
A_24_P394940,1571
A_24_P912617,
A_23_P152107,7329
A_23_P97584,30836
A_32_P146113,221481
A_24_P305467,54815
A_23_P426140,79699
A_24_P356721,6141
A_23_P356755,1054
A_23_P379550,8565
A_23_P345710,152002
A_24_P719096,
A_24_P343233,3123
A_23_P408787,148823
A_23_P344655,
A_23_P350678,80217
A_23_P397933,5648
A_23_P145024,154
A_24_P104115,54509
A_23_P433829,134553
A_23_P110846,9337
A_24_P910381,
A_23_P110699,91975
A_23_P60811,5563
A_23_P112327,29991
A_24_P344890,55599
A_23_P111381,9474
A_23_P48414,8900
A_32_P3518,
A_32_P430743,55070
A_24_P405552,27230
A_23_P85015,4129
A_23_P215604,64921
A_23_P369815,356
A_32_P174908,23063
A_23_P47155,24145
A_23_P66211,124222
A_23_P14986,3291
A_23_P146783,4703
A_24_P236008,55681
A_24_P228611,80307
A_24_P11900,22989
A_23_P419038,9575
A_23_P335143,8926
A_23_P165078,81926
A_23_P104484,
A_23_P252145,56913
A_24_P363134,55521
A_23_P315364,2920
A_24_P766854,
A_23_P200425,64766
A_32_P93996,100128361
A_23_P10561,
A_23_P384825,100303728
A_32_P136427,
A_23_P155830,57533
A_32_P230059,
A_23_P63167,909
A_23_P158461,5981
A_23_P75973,55298
A_24_P209204,81688
A_32_P213091,729993
A_24_P119002,25940
A_24_P161086,4793
A_32_P205913,23423
A_23_P337767,55740
A_32_P59010,388121
A_23_P427299,
A_23_P17655,3772
A_23_P164100,124773
A_23_P31725,640
A_32_P66072,
A_23_P39454,80032
A_23_P67332,7376
A_23_P205646,11183
A_24_P157415,23200
A_23_P418493,91647
A_24_P3415,5522
A_32_P136269,79730
A_23_P39040,6597
A_24_P295620,60496
A_32_P146777,
A_24_P410639,55161
A_23_P124384,6474
A_23_P125771,3054
A_23_P93722,221935
A_23_P127288,3559
A_23_P132294,26088
A_24_P830006,
A_24_P710866,80207
A_23_P313640,10746
A_24_P100368,6990
A_32_P105397,9194
A_24_P121271,11052
A_32_P18838,
A_23_P163099,5427
A_24_P324783,94
A_24_P144183,
A_23_P8625,64101
A_24_P124550,595
A_23_P92842,51128
A_23_P7033,64110
A_23_P130865,55702
A_23_P33809,55272
A_23_P367071,100131816
A_24_P50437,
A_32_P66674,117145
A_24_P214552,
A_23_P95050,27236
A_23_P99452,675
A_23_P98900,80212
A_32_P19917,
A_24_P897997,
A_23_P107211,5878
A_32_P175715,644890
A_23_P348138,57591
A_24_P489105,
A_32_P202587,
A_23_P355075,55839
A_32_P93584,
A_32_P208200,
A_32_P162416,
A_32_P79103,
A_24_P28657,25909
A_23_P99044,112802
A_24_P509948,259217
A_24_P397204,
A_23_P28834,116154
A_23_P251868,83864
A_23_P202156,4791
