ID,ENTREZ_GENE_ID
200000_s_at,10594
200001_at,826
200002_at,11224
200003_s_at,6158 /// 102465483
200004_at,1982
200005_at,8664
200006_at,11315
200007_at,6727
200008_s_at,2665
200009_at,2665
200010_at,6135
200011_s_at,377
200012_x_at,6144 /// 26771 /// 619499 /// 100131205
200013_at,6152
200014_s_at,3183
200015_s_at,4735
200016_x_at,3178 /// 664709
200017_at,6233
200018_at,6207 /// 85388 /// 100508408
200019_s_at,2197
200020_at,23435
200021_at,1072
200022_at,6141
200023_s_at,8665
200024_at,6193
200025_s_at,6155
200026_at,6164
200027_at,4677
200028_s_at,56910
200029_at,6143
200030_s_at,5250
200031_s_at,6205 /// 84546
200032_s_at,6133
200033_at,1655 /// 100616387 /// 100616408
200034_s_at,6128
200035_at,23399
200036_s_at,4736
200037_s_at,11335
200038_s_at,6139 /// 26790 /// 26791 /// 497661 /// 100124516 /// 100526842
200039_s_at,5690
200040_at,10657
200041_s_at,7919 /// 692199 /// 100532737
200042_at,51493
200043_at,2079
200044_at,8683 /// 283459
200045_at,23
200046_at,1603
200047_s_at,7528
200048_s_at,10899
200049_at,11143
200050_at,7705
200051_at,9092
200052_s_at,3608
200053_at,9552
200054_at,8882
200055_at,6881
200056_s_at,10438
200057_s_at,4841
200058_s_at,23020 /// 101929240
200059_s_at,387
200060_s_at,10921
200061_s_at,6229
200062_s_at,6156
200063_s_at,4869
200064_at,3326
200065_s_at,375 /// 100500810
200066_at,3550
200067_x_at,8724
200068_s_at,821
200069_at,9733
200070_at,27013
200071_at,10285
200072_s_at,4670
200073_s_at,3184
200074_s_at,9045
200075_s_at,2987
200076_s_at,79036
200077_s_at,4946
200078_s_at,533
200079_s_at,3735
200080_s_at,3020 /// 3021 /// 440926
200081_s_at,6194
200082_s_at,6201
200083_at,23326
200084_at,10944
200085_s_at,6923
200086_s_at,1327
200087_s_at,10959
200088_x_at,6136 /// 65065
200089_s_at,6124 /// 595097 /// 595098 /// 595099 /// 595100
200090_at,2339
200091_s_at,6230
200092_s_at,6167
200093_s_at,3094
200094_s_at,1938
200095_x_at,6204
200096_s_at,8992
200097_s_at,3190
200098_s_at,51433
200099_s_at,6189 /// 8944
222385_x_at,29927
222386_s_at,22818
222387_s_at,55737
222388_s_at,55737
222389_s_at,51322
222390_at,51322
222391_at,55754
222392_x_at,64065
222393_s_at,80218
222394_at,10015
222395_s_at,65264
222396_at,51155
222397_at,9343
222398_s_at,9343
222399_s_at,56889
222400_s_at,55256
222401_s_at,23585
222402_at,51371
222403_at,23788
222404_x_at,51495
222405_at,51495
222406_s_at,55629
222407_s_at,64397
222408_s_at,51646
222409_at,23603
222410_s_at,58533
222411_s_at,6747
222412_s_at,6747
222413_s_at,58508
222414_at,58508
222415_at,58508
222416_at,5832
222417_s_at,27131
222418_s_at,79188
222419_x_at,7328
222420_s_at,7328
222421_at,7328
222422_s_at,80762
222423_at,80762
222424_s_at,64710
222425_s_at,26073
222426_at,79109
222427_s_at,51520
222428_s_at,51520
222429_at,28988 /// 102466985
222430_s_at,51441
222431_at,10927
222432_s_at,57003
222433_at,55740
222434_at,55740
222435_s_at,51465
222436_s_at,7844 /// 51652 /// 100526767
222437_s_at,51652 /// 100526767
222438_at,29079
222439_s_at,9967
222440_s_at,9967
222441_x_at,51012
