## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics --Histogram_FILE results/homo_sapiens/naiveB/naiveB/picard/hist/naiveB_S1R1_insert_size_histo.pdf --MINIMUM_PCT 0.05 --INPUT results/homo_sapiens/naiveB/naiveB/align/S1R1/naiveB_S1R1.bam --OUTPUT results/homo_sapiens/naiveB/naiveB/picard/insert/naiveB_S1R1_insert_size.txt --VERBOSITY WARNING --DEVIATIONS 10.0 --METRIC_ACCUMULATION_LEVEL ALL_READS --INCLUDE_DUPLICATES false --ASSUME_SORTED true --STOP_AFTER 0 --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Feb 09 15:56:11 CST 2026

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
207	99	119	15	2212537	272.050746	277.770858	29409336	FR	65	121	165	203	239	285	887	2763	7403	11297	71715			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
15	8
16	5
17	28
18	2
19	2
20	8
21	7
22	15
23	11
24	24
25	14
26	14
27	18
28	29
29	27
30	29
31	36
32	60
33	79
34	115
35	222
36	262
37	283
38	349
39	537
40	807
41	1271
42	1612
43	2259
44	2825
45	2844
46	3190
47	3691
48	4426
49	5515
50	7184
51	8662
52	9808
53	10783
54	12792
55	19137
56	20926
57	22395
58	28285
59	30910
60	37330
61	36984
62	43159
63	49176
64	49407
65	55853
66	60443
67	68135
68	70097
69	80705
70	89434
71	93465
72	92238
73	97834
74	102720
75	112760
76	115182
77	117335
78	117480
79	133766
80	138711
81	138617
82	141789
83	135405
84	139531
85	142721
86	146498
87	142379
88	143904
89	147310
90	153866
91	159491
92	146549
93	142105
94	149067
95	144278
96	153726
97	146265
98	145437
99	161618
100	160578
101	159977
102	144782
103	141204
104	151677
105	150597
106	157683
107	142180
108	137775
109	144392
110	148005
111	153828
112	149225
113	139869
114	136267
115	134633
116	134658
117	138073
118	139945
119	135933
120	135277
121	128602
122	128223
123	125707
124	129928
125	127060
126	123761
127	120626
128	114918
129	123917
130	119630
131	116609
132	118297
133	119454
134	117675
135	111376
136	108974
137	105783
138	104403
139	100655
140	97903
141	103993
142	99780
143	104530
144	103371
145	97353
146	99698
147	93429
148	91922
149	93117
150	87864
151	95646
152	87927
153	91157
154	87829
155	84356
156	85464
157	84092
158	80229
159	82784
160	77125
161	81946
162	75904
163	79141
164	76755
165	72526
166	73843
167	71825
168	69628
169	69951
170	67749
171	71293
172	67533
173	66761
174	68547
175	63267
176	64915
177	62392
178	62185
179	63060
180	60848
181	60047
182	57842
183	58522
184	58609
185	58646
186	59711
187	53868
188	53854
189	55258
190	52487
191	53724
192	51128
193	50911
194	51675
195	50063
196	50905
197	50424
198	49693
199	48763
200	47633
201	45837
202	48847
203	45112
204	47117
205	45076
206	43971
207	48071
208	42886
209	42555
210	41365
211	41026
212	41446
213	41948
214	41357
215	40420
216	38906
217	39641
218	38860
219	39620
220	38488
221	38531
222	37072
223	36672
224	35486
225	36565
226	36333
227	36421
228	33384
229	33094
230	33170
231	32143
232	32801
233	33149
234	32308
235	34538
236	31216
237	30084
238	30875
239	29754
240	31315
241	29663
242	27841
243	29070
244	29269
245	28150
246	28812
247	26224
248	26029
249	28832
250	26641
251	27268
252	25627
253	27649
254	27249
255	25494
256	24867
257	25515
258	25605
259	26188
260	24855
261	26158
262	22812
263	27314
264	24689
265	25169
266	24739
267	21624
268	24674
269	21756
270	22587
