## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics --Histogram_FILE results/homo_sapiens/naiveB/naiveB/picard/hist/naiveB_S1R2_insert_size_histo.pdf --MINIMUM_PCT 0.05 --INPUT results/homo_sapiens/naiveB/naiveB/align/S1R2/naiveB_S1R2.bam --OUTPUT results/homo_sapiens/naiveB/naiveB/picard/insert/naiveB_S1R2_insert_size.txt --VERBOSITY WARNING --DEVIATIONS 10.0 --METRIC_ACCUMULATION_LEVEL ALL_READS --INCLUDE_DUPLICATES false --ASSUME_SORTED true --STOP_AFTER 0 --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Feb 09 15:54:34 CST 2026

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
151	56	86	15	1474343	186.511726	177.680046	33622260	FR	39	75	109	141	173	205	271	863	4005	9305	48617			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
15	63
16	26
17	199
18	67
19	174
20	309
21	434
22	542
23	722
24	925
25	1382
26	2297
27	6153
28	10193
29	15080
30	33555
31	37013
32	38380
33	42056
34	46521
35	63544
36	95428
37	122097
38	139769
39	144965
40	145829
41	145380
42	147448
43	154986
44	161310
45	159717
46	164689
47	166746
48	174213
49	173204
50	174986
51	175341
52	169196
53	166764
54	169179
55	176532
56	182432
57	179599
58	182045
59	178961
60	178634
61	176320
62	177520
63	171734
64	174383
65	173183
66	170502
67	176051
68	172337
69	182325
70	179706
71	176736
72	174460
73	170900
74	169383
75	170154
76	168509
77	171489
78	171302
79	174930
80	175182
81	170947
82	168215
83	165092
84	161209
85	164435
86	161576
87	156363
88	161902
89	157799
90	161735
91	158668
92	154425
93	153801
94	151936
95	147927
96	151818
97	143705
98	145559
99	152222
100	150512
101	147664
102	142790
103	142162
104	144010
105	144735
106	155666
107	134774
108	132280
109	136648
110	133376
111	138624
112	132629
113	130671
114	129169
115	126102
116	128347
117	125491
118	124263
119	123204
120	121733
121	120859
122	118011
123	117405
124	117610
125	118682
126	117296
127	111789
128	110706
129	109602
130	110403
131	107032
132	108781
133	111395
134	109464
135	107182
136	104483
137	100741
138	101929
139	98661
140	98170
141	100277
142	97214
143	96769
144	97234
145	96431
146	97747
147	92119
148	92991
149	91648
150	89283
151	91240
152	88515
153	88881
154	87468
155	85633
156	84587
157	84963
158	81745
159	83547
160	81621
161	78945
162	79521
163	78431
164	79020
165	76367
166	76497
167	75621
168	74845
169	73326
170	71722
171	73123
172	70979
173	70568
174	72527
175	69837
176	68452
177	67519
178	68398
179	66700
180	66848
181	64610
182	64251
183	64506
184	62970
185	64042
186	64330
187	60881
188	61176
189	60490
190	59579
191	58388
192	57320
193	58407
194	60304
195	57038
196	58127
197	56726
198	54761
199	54724
200	54470
201	53703
202	55061
203	52350
204	54798
205	51448
206	50718
