"ENTREZ_GENE_ID","expressed","top"
"10138","1","0"
"10771","1","0"
"7454","0","0"
"1800","0","0"
"637","1","0"
"9782","1","1"
"29881","0","0"
"64132","0","0"
"84220","0","0"
"81551","0","0"
"23386","0","0"
"3670","0","0"
"55349","0","0"
"53832","0","0"
"1179","0","0"
"22802","0","0"
"55830","0","0"
"27032","1","0"
"3479","0","0"
"92745","0","0"
"10928","0","0"
"22902","0","0"
"1272","0","0"
"6556","0","0"
"25937","0","0"
"8540","1","0"
"646915","0","0"
"63932","0","0"
"477","0","0"
"55622","0","0"
"147948","0","0"
"23584","0","0"
"23187","0","0"
"8685","0","0"
"1591","0","0"
"56981","0","0"
"57586","0","0"
"6591","0","0"
"972","1","1"
"3082","0","0"
"54764","1","0"
"23154","0","0"
"25960","0","0"
"55734","0","0"
"4331","0","0"
"23034","0","0"
"864","1","1"
"4361","1","0"
"58473","0","0"
"1992","1","0"
"64816","0","0"
"11136","0","0"
"6683","0","0"
"9369","0","0"
"114879","0","0"
"9716","1","1"
"1373","0","0"
"732","0","0"
"2273","0","0"
"51507","1","0"
"2554","0","0"
"55655","0","0"
"57210","0","0"
"9921","1","1"
"55778","0","0"
"64429","1","0"
"57476","0","0"
"6050","1","0"
"4719","0","0"
"9821","1","1"
"23071","1","0"
"211","0","0"
"330","1","1"
"11215","1","0"
"51022","0","0"
"6617","0","0"
"51071","0","0"
"11171","1","1"
"1244","0","0"
"50619","1","0"
"51177","1","0"
"2730","0","0"
"23304","1","0"
"30846","0","0"
"55635","0","0"
"25901","1","0"
"58528","0","0"
"3298","1","0"
"51230","1","0"
"8630","0","0"
"10062","0","0"
"1890","0","0"
"29781","1","0"
"10953","1","0"
"11231","1","0"
"23633","1","1"
"7431","1","1"
"355","1","0"
"8635","1","0"
"960","1","1"
"3755","0","0"
"56895","0","0"
"57823","1","0"
"11119","1","1"
"4285","0","0"
"5583","1","1"
"3645","0","0"
"3459","1","1"
"11285","0","0"
"9047","0","0"
"7444","0","0"
"7133","1","0"
"55591","1","0"
"5452","0","0"
"65980","1","0"
"6642","1","0"
"9519","1","0"
"56938","0","0"
"9774","1","1"
"55334","0","0"
"286","0","0"
"3381","0","0"
"51106","0","0"
"9135","1","0"
"3149","0","0"
"23279","1","0"
"578","0","0"
"4593","0","0"
"22807","0","0"
"2896","0","0"
"51306","1","0"
"57514","0","0"
"55166","0","0"
"6301","1","0"
"8498","0","0"
"5926","1","1"
"7260","0","0"
"10908","0","0"
"8100","0","0"
"56052","0","0"
"55596","1","0"
"10061","0","0"
"54480","0","0"
"57554","0","0"
"2530","0","0"
"55236","1","0"
"9846","0","0"
"535","0","0"
"8554","1","1"
"9497","1","0"
"321","1","0"
"5606","1","0"
"79645","0","0"
"9168","1","0"
"28990","1","0"
"25897","1","1"
"8504","0","0"
"11345","1","0"
"4653","0","0"
"26751","1","0"
"84908","1","0"
"7414","1","0"
"55789","0","0"
"23604","0","0"
"8439","1","0"
"159","1","0"
"26228","0","0"
"7077","0","0"
"5981","1","1"
"55773","1","0"
"8452","1","1"
"9172","0","0"
"5009","0","0"
"10858","0","0"
"26009","1","0"
"6570","0","0"
"9099","0","0"
"846","0","0"
"27175","0","0"
"51121","0","0"
"2324","0","0"
"54888","1","0"
"54455","1","0"
"4238","0","0"
"84245","0","0"
"4234","0","0"
"3224","0","0"
"175","1","0"
"55300","0","0"
"259282","1","1"
"27430","1","0"
"7092","0","0"
"23644","0","0"
"7204","0","0"
"1462","0","0"
"23274","0","0"
"4481","0","0"
"999","0","0"
"23517","1","0"
"1767","0","0"
"9765","0","0"
"79567","0","0"
"729","0","0"
"26064","0","0"
"11063","0","0"
"11284","0","0"
"54831","0","0"
"23035","0","0"
"54908","0","0"
"27067","0","0"
"54896","0","0"
"1497","0","0"
"65078","0","0"
"79142","0","0"
"1008","0","0"
"3631","1","0"
"5874","0","0"
"5685","1","0"
"23026","0","0"
"55341","1","0"
"10039","0","0"
"3371","0","0"
"90326","0","0"
"140876","0","0"
"55775","1","0"
"84883","0","0"
"56918","0","0"
"55812","0","0"
"9440","1","0"
"54884","0","0"
"822","0","0"
"1175","0","0"
"7399","0","0"
"11055","0","0"
"7038","0","0"
"10863","0","0"
"8538","0","0"
"54165","1","0"
"23338","1","0"
"7546","0","0"
"3937","1","0"
"54802","0","0"
"153","0","0"
"2981","0","0"
"9820","0","0"
"1495","0","0"
"5256","0","0"
"54875","0","0"
"2042","0","0"
"3309","1","1"
"1829","0","0"
"54960","0","0"
"8481","1","1"
"2824","0","0"
"51438","0","0"
"80243","0","0"
"22884","1","0"
"64848","1","0"
"56474","0","0"
"51606","1","0"
"5431","1","0"
"56204","1","0"
"116984","1","1"
"7175","1","1"
"1356","0","0"
"23247","0","0"
"84062","1","0"
"7504","0","0"
"57101","0","0"
"57102","0","0"
"6322","0","0"
"55841","0","0"
"395","0","0"
"27146","0","0"
"4134","1","0"
"57120","1","0"
"6098","0","0"
"57646","1","0"
"9734","0","0"
"26262","0","0"
"51491","1","0"
"57545","0","0"
"50484","0","0"
"168850","1","1"
"608","0","0"
"92017","1","0"
"55885","0","0"
"55173","1","0"
"2978","0","0"
"118142757","0","0"
"51773","1","1"
"55187","1","0"
"10659","1","1"
"23196","1","0"
"23518","1","0"
"1298","0","0"
"4254","0","0"
"1161","0","0"
"11174","0","0"
"9563","0","0"
"9341","1","0"
"8863","0","0"
"10911","0","0"
"3604","0","0"
"55040","0","0"
"4052","0","0"
"5954","0","0"
"2006","0","0"
"5982","0","0"
"57492","1","0"
"81037","0","0"
"23327","0","0"
"50943","0","0"
"89801","0","0"
"3074","1","0"
"79810","0","0"
"340533","0","0"
"51528","0","0"
"27122","0","0"
"7984","0","0"
"9603","0","0"
"63933","0","0"
"51474","0","0"
"25875","1","0"
"9498","0","0"
"10319","0","0"
"5733","0","0"
"79931","0","0"
"5601","1","0"
"91522","0","0"
"9564","0","0"
"84067","0","0"
"9709","1","1"
"9454","0","0"
"5888","0","0"
"10721","0","0"
"5291","0","0"
"1535","1","0"
"84321","0","0"
"23593","1","0"
"10198","1","0"
"54477","0","0"
"5652","0","0"
"80143","1","0"
"23223","1","0"
"57600","0","0"
"6307","1","0"
"55761","1","1"
"60529","0","0"
"23105","0","0"
"1112","1","0"
"728464","0","0"
"8574","0","0"
"51154","0","0"
"4826","0","0"
"55850","0","0"
"23101","0","0"
"83714","0","0"
"3909","0","0"
"55745","1","0"
"29945","1","0"
"3784","0","0"
"27095","0","0"
"9967","1","1"
"29085","1","0"
"954","0","0"
"4065","0","0"
"51742","1","1"
"23596","0","0"
"10806","0","0"
"5798","0","0"
"55733","0","0"
"23095","1","0"
"2296","0","0"
"25771","1","0"
"23224","1","1"
"57475","0","0"
"10079","0","0"
"23626","0","0"
"140689","0","0"
"25884","0","0"
"23201","0","0"
"84957","1","0"
"2581","0","0"
"51602","1","1"
"26099","1","0"
"3757","0","0"
"8454","1","0"
"10827","0","0"
"26999","1","1"
"23118","1","1"
"116254","1","0"
"5610","1","0"
"57602","1","1"
"58508","1","1"
"55283","0","0"
"114800","0","0"
"23369","1","0"
"84545","0","0"
"3700","0","0"
"3697","0","0"
"54969","0","0"
"51663","1","1"
"55609","0","0"
"10886","0","0"
"112885","0","0"
