genes,bHCsmB_S1R1,bHCsmB_S1R2,bHCsmB_S1R3,bSLEsmB_S1R1,bSLEsmB_S1R2,bSLEsmB_S1R3
ENSG00000006607,900,1220,413,948,1941,840
ENSG00000006611,0,0,0,0,0,0
ENSG00000006625,53,57,25,60,66,26
ENSG00000006634,157,149,126,119,199,115
ENSG00000006638,1,9,0,7,51,1
ENSG00000006652,382,411,180,204,387,364
ENSG00000006659,0,0,0,0,0,0
ENSG00000006695,171,268,50,155,503,123
ENSG00000006704,1,8,2,0,0,4
ENSG00000006712,424,460,156,314,331,261
ENSG00000006715,749,547,230,712,625,533
ENSG00000006740,26,38,17,53,44,7
ENSG00000006744,327,530,83,363,537,259
ENSG00000006747,22,46,7,26,556,22
ENSG00000006756,41,82,21,91,122,33
ENSG00000006757,95,92,8,96,68,46
ENSG00000006788,0,0,0,0,0,0
ENSG00000006831,367,328,75,292,328,194
ENSG00000006837,35,14,4,14,1,3
ENSG00000007001,1,0,0,1,25,0
ENSG00000007038,1,13,0,0,0,0
ENSG00000007047,72,144,20,81,142,35
ENSG00000007062,0,0,0,3,0,0
ENSG00000007080,11,39,2,40,40,7
ENSG00000007129,114,61,18,114,67,29
ENSG00000007168,2028,2569,1480,2320,4556,1837
ENSG00000007171,0,0,0,3,0,0
ENSG00000007174,1,8,2,8,0,6
ENSG00000007202,899,1323,357,1079,1613,813
ENSG00000007216,0,0,0,0,0,0
ENSG00000007237,160,116,70,177,128,131
ENSG00000007255,92,114,44,118,120,55
ENSG00000007264,0,1,0,3,0,0
ENSG00000007306,0,0,0,3,0,0
ENSG00000007312,555,752,190,535,586,247
ENSG00000007314,39,11,7,18,4,6
ENSG00000007341,367,292,132,317,933,334
ENSG00000007350,8,2,2,2,1,2
ENSG00000007372,18,0,1,16,20,0
ENSG00000007376,46,79,2,15,60,24
ENSG00000007384,0,1,1,2,0,0
ENSG00000007392,2015,1939,926,1483,1614,1010
ENSG00000007402,12,12,4,10,25,31
ENSG00000007516,751,930,149,385,492,270
ENSG00000007520,58,101,16,53,73,32
ENSG00000007541,46,112,20,52,93,18
ENSG00000007545,54,141,52,99,256,91
ENSG00000007866,5,4,5,2,1,1
ENSG00000007908,0,0,2,1,0,6
ENSG00000007923,294,226,62,296,263,154
ENSG00000007933,0,1,1,1,0,0
ENSG00000007944,2073,2094,743,1063,857,1249
ENSG00000007952,7,12,4,2,3,5
ENSG00000007968,23,97,25,131,225,153
ENSG00000008018,596,634,322,632,1172,461
ENSG00000008056,0,7,2,2,0,2
ENSG00000008083,1022,1213,404,924,1588,806
ENSG00000008086,92,132,46,77,82,922
ENSG00000008118,0,0,0,2,0,0
ENSG00000008128,46,46,14,36,49,26
ENSG00000008130,177,238,72,233,241,118
ENSG00000008196,6,0,0,4,0,0
ENSG00000008197,0,0,0,0,0,0
ENSG00000008226,40,64,28,38,43,19
ENSG00000008256,16,33,22,31,47,25
ENSG00000008277,175,123,79,146,130,96
ENSG00000008282,1076,2158,1271,1619,2621,1482
ENSG00000008283,4,11,5,23,29,26
ENSG00000008294,779,663,375,541,633,372
ENSG00000008300,76,102,46,48,75,15
ENSG00000008311,127,95,64,82,14,85
ENSG00000008323,0,0,1,0,3,0
ENSG00000008324,236,232,165,245,295,242
ENSG00000008382,15,27,5,12,27,10
ENSG00000008394,1,0,3,4,8,0
ENSG00000008405,44,49,23,60,79,48
ENSG00000008438,0,5,0,2,0,0
ENSG00000008441,50,24,44,48,115,14
ENSG00000008513,440,484,135,511,620,378
ENSG00000008516,8,12,0,5,0,0
ENSG00000008517,1,1,1,7,1,4
ENSG00000008710,121,179,12,65,173,56
ENSG00000008735,1,5,0,0,0,1
ENSG00000008838,444,569,106,514,637,174
ENSG00000008853,229,595,64,435,781,170
ENSG00000008869,1606,1524,537,1064,1631,870
ENSG00000008952,1341,2013,801,1781,3161,1519
ENSG00000008988,13180,11803,3897,7015,6955,5801
ENSG00000009307,8261,10391,5500,8331,11850,7946
ENSG00000009335,762,949,467,683,1703,646
ENSG00000009413,1449,1102,704,1161,2092,1127
ENSG00000009694,6,2,0,8,1,4
ENSG00000009709,0,0,0,0,0,0
ENSG00000009724,270,291,174,298,298,241
ENSG00000009765,0,6,1,5,0,1
ENSG00000009780,324,202,187,267,672,302
ENSG00000009790,1629,1778,415,2443,1385,506
ENSG00000009830,202,172,62,107,54,30
ENSG00000009844,538,493,203,616,674,392
ENSG00000009950,0,0,0,3,0,0
ENSG00000009954,1557,2097,687,1981,3867,1748
ENSG00000010017,564,653,207,624,1223,453
ENSG00000010030,53,12,1,29,100,7
ENSG00000010072,197,235,81,198,246,149
ENSG00000010165,87,132,48,173,507,101
ENSG00000010219,224,210,63,247,403,145
ENSG00000010244,4090,4372,1925,3415,5940,2550
ENSG00000010256,99,131,22,130,146,92
ENSG00000010270,241,222,57,171,105,212
ENSG00000010278,30,22,11,107,128,14
ENSG00000010282,0,0,0,2,0,0
ENSG00000010292,164,339,73,349,466,295
ENSG00000010295,345,338,58,233,247,100
ENSG00000010310,0,7,1,2,22,1
ENSG00000010318,36,118,35,72,122,44
ENSG00000010319,4,0,6,1,13,0
ENSG00000010322,655,760,146,494,647,250
ENSG00000010327,1,1,1,0,1,2
ENSG00000010361,26,98,14,67,19,14
ENSG00000010379,0,0,0,6,10,0
ENSG00000010404,254,173,140,115,237,219
ENSG00000010438,0,0,0,0,0,0
ENSG00000010539,106,108,53,143,279,141
ENSG00000010610,10,4,6,9,2,66
ENSG00000010626,21,45,14,53,21,10
ENSG00000010671,1703,2185,505,2088,2711,1039
ENSG00000010704,69,62,14,63,221,55
ENSG00000010803,265,364,107,202,316,220
ENSG00000010810,435,624,210,277,473,273
ENSG00000010818,1224,1305,590,1186,1988,1315
ENSG00000010932,4,3,1,0,3,1
ENSG00000011007,666,1474,352,630,1425,266
ENSG00000011009,69,160,16,186,197,117
ENSG00000011021,859,824,258,653,1107,371
ENSG00000011028,0,1,0,7,1,2
ENSG00000011052,0,0,0,0,0,0
ENSG00000011083,0,1,0,0,0,0
ENSG00000011105,1,0,0,2,0,0
ENSG00000011114,663,936,354,783,2068,888
ENSG00000011132,78,91,26,74,85,42
ENSG00000011143,88,29,22,76,49,19
ENSG00000011198,233,284,91,221,408,248
ENSG00000011201,0,0,0,5,0,0
ENSG00000011243,232,243,95,284,122,108
ENSG00000011258,516,707,413,584,954,441
ENSG00000011260,449,425,172,296,521,273
ENSG00000011275,1247,1308,372,942,1174,705
ENSG00000011295,1100,800,443,654,1015,533
ENSG00000011304,954,1748,459,1026,1337,750
ENSG00000011332,6,10,2,8,0,4
ENSG00000011347,0,0,0,1,0,0
ENSG00000011376,342,278,88,271,380,289
ENSG00000011405,982,1032,511,1054,1686,706
ENSG00000011422,6,3,9,3,0,7
ENSG00000011426,8,2,0,6,0,10
ENSG00000011451,150,272,49,136,240,90
ENSG00000011454,1386,989,513,1150,1873,1002
ENSG00000011465,2,0,0,4,0,0
ENSG00000011478,29,24,4,31,29,8
ENSG00000011485,311,226,89,321,355,167
ENSG00000011523,556,711,324,506,505,357
ENSG00000011566,127,105,71,82,262,91
ENSG00000011590,135,216,56,281,220,125
ENSG00000011600,50,5,14,13,8,28
ENSG00000011638,77,79,13,23,120,56
ENSG00000011677,1,0,0,2,0,0
ENSG00000012048,68,83,58,97,353,79
ENSG00000012061,154,283,54,209,142,74
ENSG00000012124,4448,6285,1228,4716,5455,2509
ENSG00000012171,1,0,1,3,1,0
ENSG00000012174,158,141,105,184,398,132
ENSG00000012211,15,90,9,87,90,8
ENSG00000012223,0,0,0,1,0,0
ENSG00000012232,84,160,42,145,386,54
ENSG00000012504,0,0,0,3,0,0
ENSG00000012660,2761,2316,998,2458,3774,2059
ENSG00000012779,1875,2341,485,1027,1707,419
ENSG00000012817,6,3,479,2,2,2
ENSG00000012822,606,806,254,661,566,220
ENSG00000012963,338,433,135,683,941,455
ENSG00000012983,717,627,434,553,667,443
ENSG00000013016,917,966,321,1019,2090,770
ENSG00000013275,291,316,81,397,540,171
ENSG00000013288,437,749,180,468,968,279
ENSG00000013293,0,0,0,21,0,0
ENSG00000013297,0,0,1,4,0,0
ENSG00000013306,478,544,102,372,457,260
ENSG00000013364,301,294,60,296,364,106
ENSG00000013374,1090,1437,476,1761,3776,1235
ENSG00000013375,354,265,103,170,399,138
ENSG00000013392,48,18,24,32,123,22
ENSG00000013441,3583,2911,2580,2308,3488,2086
ENSG00000013503,322,197,57,210,125,123
ENSG00000013523,206,329,52,229,264,180
