"GSM60733.CEL.gz","GSM60734.CEL.gz","GSM60735.CEL.gz","GSM60736.CEL.gz","GSM60737.CEL.gz","GSM60738.CEL.gz","GSM60739.CEL.gz","GSM60740.CEL.gz","GSM60741.CEL.gz","GSM60742.CEL.gz","GSM60743.CEL.gz","GSM60744.CEL.gz","GSM60745.CEL.gz","GSM60746.CEL.gz","GSM60747.CEL.gz","GSM60748.CEL.gz","GSM60749.CEL.gz","GSM60750.CEL.gz","GSM60751.CEL.gz","GSM60752.CEL.gz","GSM60753.CEL.gz","GSM60754.CEL.gz","GSM60755.CEL.gz","GSM60756.CEL.gz","GSM60757.CEL.gz","GSM60758.CEL.gz","GSM60759.CEL.gz","GSM60760.CEL.gz","GSM60761.CEL.gz","GSM60762.CEL.gz","GSM60763.CEL.gz","GSM60764.CEL.gz","GSM60765.CEL.gz","GSM60766.CEL.gz"
"9701",1.886597145,2.17851695,2.135310296,2.102663853,2.054733594,2.09753852,2.044138396,2.139281286,2.164403247,2.082002101,2.052378854,2.246467489,1.955373625,2.175984952,1.982995899,2.087622363,2.094440968,1.929005052,2.169349022,2.000733689,2.299377885,2.101027199,1.96072323,2.133638142,2.092004932,2.00190285,2.028709544,2.07453531,1.953238395,2.183819231,2.321294956,2.204703812,2.043139019,2.124544961
"21556",2.112301886,1.967825232,2.064987438,2.174588685,2.039089857,1.985946096,2.066678915,2.063658727,1.874781389,1.894871935,1.99373415,2.078528651,2.182408162,2.082768896,2.118102368,2.268340899,2.016800841,2.09488968,2.177504165,2.398789366,2.269622875,2.05252502,2.318324076,2.179147061,2.022753973,2.156575818,2.053199053,2.126046218,2.097188677,2.042292305,2.042122237,2.060376776,1.994085235,2.034206925
"16814",2.049246455,2.017055934,2.068175937,2.267622013,2.109992482,2.086960542,1.944214562,1.893266138,2.030395181,2.067449347,1.946526508,2.269785444,2.154368093,2.056108031,2.011390172,2.048364386,2.063654663,2.459937023,2.067671168,2.09026934,2.11069573,2.052900702,1.993830826,2.265548586,2.101773024,2.054296397,2.013578136,2.129479445,2.206696189,2.043429072,2.13841128,2.187971759,2.008151384,2.120900269
"30494",2.040078552,2.034925858,2.015907663,2.240034517,2.075052843,2.132256042,2.012051514,2.160419754,2.075285754,2.166908782,1.921127217,2.240130201,2.134837462,2.226496787,2.002167142,1.945016575,2.206851523,2.263368666,2.160118661,2.026337143,2.179137198,2.11012572,2.084351268,2.100372729,2.070180191,2.099624601,1.934388603,2.030551504,2.068905386,2.174152149,2.165990868,2.182766909,1.979364567,2.031839539
"14920",2.149352288,1.921825597,2.079695749,2.225848584,2.06820266,2.13839937,1.827775855,2.029389418,2.24440247,1.985645803,2.083439363,2.076249917,2.161063445,2.052033006,1.979301644,2.057040016,2.422679898,2.151152257,2.149263005,2.227447968,2.204861203,1.963001234,1.991938482,2.077354031,2.094131718,2.04237059,2.181021863,2.055507494,2.293321264,2.219808247,2.0750046,2.076790477,2.103535689,1.988314672
"21617",2.041726953,1.955243399,1.894060666,1.97080554,2.066931,2.125151523,2.083847251,1.973273985,2.004968755,2.04156274,2.000035453,2.284262624,2.253305279,2.057430024,2.326135876,2.091403574,2.303378101,2.021455767,2.220093881,2.135925744,2.078514639,2.225106875,2.361689454,2.077369164,2.070929961,2.098551543,2.02628875,2.142576344,2.114204429,2.035724653,2.249317924,2.012870286,2.083294667,2.013163532
"21555",2.028312628,2.098825843,2.011437443,2.188305467,2.045094839,2.153804515,1.912987326,1.850416624,1.930835401,2.093065739,2.066003236,2.445883548,2.312082784,2.261848461,2.097449425,2.149559156,2.389246922,2.101112409,2.226556184,2.044766455,2.216673247,2.17430917,1.957763771,2.251765582,1.944556665,2.040618318,2.034632202,2.084215474,2.023998232,1.963417349,2.002507826,2.182799293,2.134576276,2.034580792
"34361|38866",2.080749212,2.08681108,2.064987438,1.931407497,2.08886803,2.149163233,2.085304618,2.10522021,2.176149515,1.85887832,2.062934107,2.158271873,2.050586589,2.140250561,2.084786668,2.071708837,2.080103499,2.061700681,2.159431592,2.105096911,2.062262785,2.089379668,2.187004798,2.124372099,2.13786144,2.213913679,2.195995058,2.29320059,2.09949025,1.985460065,2.191539208,2.121127767,2.096256699,2.093219498
"19835",1.972853853,2.155133214,2.09213045,2.196450263,2.222510932,2.011632736,2.008596858,2.063811719,2.2280946,2.202778731,2.120056056,2.130887127,2.292088893,2.351324,2.127078212,2.025955306,2.113825687,1.999855986,1.97150251,2.052789918,1.937241634,2.015327812,2.127030305,2.105676317,2.181084041,2.074343428,1.983736434,1.965670735,2.012502617,2.150650895,1.99078443,2.1099777,2.338093964,2.202475174
"23227",2.015262282,2.0988177,2.111050921,2.010122562,1.990241425,2.170961218,2.160355745,2.052898501,2.125988297,2.055347715,1.923911543,2.055419391,2.283996789,1.998023266,2.219959826,2.018204608,2.09607548,2.203768521,1.984369811,2.263819459,2.081641643,2.090017835,2.215635516,2.191030649,2.283552249,2.171411678,2.113802489,1.94038955,2.141084123,2.154976083,2.059025709,2.054211313,2.214896132,2.008556049
"37270",2.103986042,2.091321194,1.951562735,2.136676749,2.013581377,2.003944405,1.924771199,2.04994275,2.09728562,1.95890469,2.04726581,2.341141173,2.329632616,2.085579638,2.047507336,1.886121084,2.226085,2.207483206,1.990253392,1.915610836,2.069721512,2.223412456,2.073689327,2.133280476,2.132338495,2.079200936,2.045137191,2.180965826,2.191805253,2.07973483,2.144443322,2.21124309,2.418651448,2.1789363
"4066",1.88642169,2.004236431,2.043124577,2.161462263,2.074077541,2.069143683,2.019937616,1.965095221,2.159691545,2.16560914,2.157253164,2.116219888,2.236976443,2.212553668,2.182369242,1.977193998,2.143394638,2.105148259,2.085823512,2.113822131,2.25471796,2.119762195,1.941602011,2.17923588,1.96548592,2.056573718,2.074872904,2.05931932,2.139075768,2.14218637,2.264374031,2.19705813,2.280676668,2.10518355
"6327",2.238955831,2.04522379,2.09524555,2.268438894,1.972463539,2.06499902,1.931895746,2.066557437,2.176565124,2.055455051,1.928758652,2.193909903,2.087425762,2.103226997,2.065277173,2.048559013,2.139587901,2.189492055,2.118052263,2.096063701,2.141926407,2.215795027,2.291727806,2.104814454,2.169889471,2.144849534,1.932403719,2.223145835,1.973389931,2.090934158,2.036953123,2.17810203,2.026916044,2.314904277
"11050",1.950569877,2.114454706,2.059021491,2.236254016,2.154152744,2.056733344,2.091457927,1.962303893,1.960460617,2.03409778,2.073319451,2.027671611,2.032537986,2.005961347,2.042223627,2.088947739,2.186071704,2.347440512,2.141973913,2.100734366,2.158153971,2.056879879,2.132251283,2.151502299,2.159169692,2.221619235,2.043748823,2.109959595,2.115820903,2.301608783,2.183795273,2.042522906,2.210374237,2.203223446
"21071",2.064407307,2.039044336,1.884647016,2.10715959,1.968569655,2.426775633,1.996454451,1.968825887,2.086043715,2.025157245,2.042248127,1.984533188,2.510192236,2.120174447,1.959524275,2.404881731,2.288564748,2.183105451,2.135931216,2.186459642,2.04156274,2.07631674,2.278994842,2.11772584,2.081488851,2.109288108,1.997834092,2.183365907,2.017333414,2.162482975,2.095965347,2.081255369,2.073030122,2.102912736
"7657",2.127518123,2.148367253,2.12194696,2.034300721,2.152878101,2.14036024,1.962546977,1.959664964,2.124219662,2.035168803,1.975034355,2.143997336,2.12808691,2.166929038,2.113765125,1.959664964,2.149934316,2.182408162,2.145166636,2.18038588,2.238576143,2.11481428,2.215112856,2.105492786,2.083387374,2.178500044,2.111876783,2.227072791,2.254417896,2.135755968,2.134436322,2.057533381,1.996308913,2.030778534
"17591",2.06299078,2.01660724,2.182408162,2.215096228,2.148985631,2.099224421,1.965104937,2.147466993,2.015719087,1.951895256,2.121190203,2.343871717,2.404706866,2.370742123,2.266413192,2.164652063,2.408765317,2.097742629,2.139115209,2.087890282,1.968318417,2.296836523,2.286970894,2.132804031,2.193957711,1.916212275,2.152857657,1.915090493,1.940316971,2.02841871,2.009296492,2.0439321,1.999311623,1.914331789
"23503",2.097228908,2.112583809,1.977706515,2.116184409,2.089017859,2.15150198,2.117857458,2.246163181,2.09718525,2.186502869,2.015822753,1.909380417,1.997491964,2.269460973,2.076223476,2.264173559,2.00048295,2.275880967,2.174950289,2.035382211,2.137592018,2.171971082,2.085364427,2.13542595,2.103037507,2.070536605,2.147981296,2.313695454,2.056664934,2.217743893,2.024484952,2.073133575,2.261120171,2.132984714
"10573",2.010982065,2.06175868,2.145797617,2.303763331,1.98259804,2.384566849,1.920449569,1.905836512,1.884579391,1.995939978,1.966047744,2.197164243,2.135109326,2.12858825,2.226335837,2.077938989,2.213314956,2.128645093,2.177313677,2.119988319,2.089052842,2.248529389,2.118957204,2.228578238,2.214131722,2.100483826,1.996053732,2.138181659,2.016881067,2.270848415,2.103037507,2.223159167,2.254440309,2.198179204
"13785",1.949594,1.933448414,2.101638215,2.036494205,1.934552792,2.303821212,1.913576788,2.075420935,2.023039611,2.127904808,2.088206534,2.31421098,2.210887646,2.412699655,2.191372741,2.170414576,2.546182356,2.160337538,2.263758622,2.178923069,2.053701345,2.241727909,2.004469024,2.169163215,2.046062422,2.108305534,1.957365733,2.138921454,2.195749431,2.071364082,1.990241425,2.087672565,2.077186417,2.100722081
"29849",2.08934304,2.048989156,2.148321156,2.074617765,2.103732726,2.203425209,1.983135043,1.910728355,2.020166796,2.021823186,2.321798139,2.126663005,2.535500716,2.14820242,2.081974447,2.110984771,2.104033662,2.133798886,2.168952566,2.145871528,2.140902344,2.156046338,2.000149815,2.121125877,2.169625381,2.222392788,2.070934967,2.052917822,2.257144551,2.159934352,2.082262222,2.074081648,2.160697341,2.079401758
"25287",2.129313462,1.83405173,2.067945788,2.061362697,1.883934168,2.079488946,1.990020835,2.089668897,2.095955984,2.030461473,2.246314299,2.279171102,2.071617823,2.40887329,2.445947849,2.293607605,2.515352787,2.030864336,2.056657427,2.113535798,2.148367253,2.263999084,2.066838664,2.043708541,2.05566887,2.020099588,1.986030896,2.215909866,2.072024854,2.088535795,2.038935198,2.117681943,2.12864143,2.259698374
"2928",1.918131801,2.231889257,2.259580884,2.073010849,2.181920498,2.218109773,2.158412228,2.18918558,2.15481948,2.244635552,2.140518866,2.1856454,2.170748378,2.301686763,2.122847131,2.091303692,2.173261394,2.11956907,1.997242545,2.253106096,2.07466444,2.042880214,2.26929668,1.846680151,2.063995056,2.156646955,1.920537535,2.035996557,2.212541327,1.964979544,2.110245844,2.022157074,2.217512848,2.112795822
"28635",2.225803409,2.223577573,2.135419174,2.109622494,2.133615735,2.083544078,1.986192026,2.122647731,2.066838664,2.010377061,2.003351197,2.027238012,2.084963484,2.267025458,2.266778499,2.164993126,2.191930528,1.965623511,2.055827015,2.353634459,2.367847847,2.043840556,2.142204011,2.134193853,2.184108737,2.127361294,2.053199053,2.017291262,2.003468235,2.240967996,2.026546929,2.149047161,2.110840669,2.173927044
"28750",2.020316931,2.007355899,2.026237619,2.156686002,1.966567709,2.038484038,1.975052896,1.94975094,2.069051282,2.011332437,2.162147878,2.277119056,2.525934702,2.271065389,2.069173226,2.145813424,2.289486508,2.24218223,2.229478311,2.17810203,2.098375216,2.086929914,2.219146419,2.223272828,2.060307862,2.078165779,2.163418811,2.112465667,2.144849534,2.083567129,2.064838853,2.07346132,2.211222455,2.022958577
"25808",2.303416698,2.017809369,1.959455819,2.14896476,2.064554013,2.109336062,2.081952616,2.005227382,2.238862417,2.062093301,2.119128536,2.203958132,2.286273152,2.320146216,2.050956905,2.305760164,2.30349018,2.006827765,2.055827015,2.097590174,2.149940927,2.283193831,2.034602789,2.105563286,2.212340191,2.104888914,1.998155551,2.164392811,2.062570907,2.111724056,2.046592959,2.107941565,2.127588243,2.077003996
"18124",2.090173739,2.025610871,2.046898721,2.035623167,2.070639903,2.181375751,2.02534865,2.18662219,2.087254454,1.976368028,2.096710763,2.024988841,2.213180771,2.390367808,2.080643661,2.087622363,2.238347789,2.165205799,2.168165359,2.182620852,2.256757853,2.227194836,2.207529697,2.196147531,2.110987994,2.22144546,2.072111574,1.934935161,2.200442916,2.037805798,2.053199053,2.087097422,2.225027886,2.24200694
"9142",2.085207284,2.176497106,2.094699163,2.137120782,1.970616961,2.272708737,1.980660422,2.111250554,2.169771074,2.068897126,2.045979446,2.333011411,2.148272811,2.090910586,2.06907,2.053692937,2.132621846,2.239221159,2.066816957,2.211054505,2.182357862,1.997316881,2.11581802,2.342968478,2.220969494,2.044170207,2.069416079,2.112224498,2.168993243,2.195336117,2.08681108,2.167591714,2.222516541,2.153841937
"10250",2.171676066,2.020856256,2.073469607,2.055893721,2.056571625,2.041789561,2.123117224,2.071954399,2.220705786,1.944804881,2.117710672,2.100612845,2.335910066,2.291071512,2.254469366,2.149112863,2.19384965,2.274089059,2.176483512,2.309219786,2.147174021,2.11012572,2.024437493,2.199755039,2.075881875,2.108305534,2.163450439,2.115719153,2.255509568,2.083720913,2.09022109,2.022243086,2.071655075,2.10907618
"20731",2.158615132,2.0038016,2.120830055,2.041018962,1.928381119,2.173668057,1.90708013,2.068574302,2.13228079,2.262654273,2.106188935,2.177601997,2.258296002,2.156075969,2.163681633,2.346131988,2.278872136,2.065774393,2.164580025,2.196197545,2.153782996,2.12843367,2.127512862,2.19991737,2.06080365,2.057339778,2.006834896,2.121085953,2.191965956,2.263573971,2.137588617,2.084933809,2.392298217,2.075166736
"20625|24799",2.035743867,2.014008784,1.989582325,2.088476735,2.120693201,2.072580511,2.038504437,2.085439542,1.969806399,1.917937872,2.087034332,2.272133451,2.156212959,2.420055118,2.14726057,2.186579379,2.640612798,2.069758951,2.150659517,2.25377688,2.04011309,2.420812623,2.315259194,2.274914248,2.120807973,2.170855661,2.146860123,2.110025501,2.191772983,2.144057015,1.989871552,2.028710801,2.004768135,2.071166024
"15974",2.099714089,2.019731291,2.110362982,2.081327597,2.125705139,2.078821006,2.065060074,1.977328731,1.946858377,1.964346816,1.946133424,2.303049734,2.172219187,2.326364464,2.163601005,2.071011169,2.545771609,2.236554428,1.996939306,2.241692931,2.180963334,2.054388255,2.075509573,2.05856407,2.129999718,2.031675754,2.139912738,2.253287361,2.34585918,2.297550065,2.155779307,2.13972817,2.276542292,2.140877877
"30036",2.241363946,2.111490643,2.128996967,1.999505426,2.034872256,2.281010519,2.08110381,2.018284805,2.05055382,2.141288454,2.08596934,1.955077781,2.128239143,2.401265689,2.17257504,1.946438593,2.322811261,2.106775129,2.050821171,2.032522593,2.249374387,2.38103874,2.270480134,2.096626798,2.188679516,2.122332476,2.15487436,2.108785798,2.151867595,2.046354588,2.338279335,2.143137135,2.18702875,2.068663188
"6597",2.141239553,1.959600457,2.089582786,2.456324959,2.147824983,2.08029611,2.019937616,2.265180354,1.99017195,2.118410738,2.067019899,2.138427561,2.186882332,2.234780032,2.13542595,2.103008377,2.296388408,2.363833778,2.147281597,2.117052823,2.103250809,2.189659276,2.132993887,1.932961913,2.093225046,2.266542424,2.169326266,2.092055497,2.144849534,2.176975518,2.048058615,2.139174496,2.172002583,2.089990789
"30757",2.0780338,2.13994611,2.138638475,2.241984627,2.080494078,2.14517206,2.023905872,2.052438578,2.115143402,2.051992256,1.950373896,2.164380916,2.213238067,2.093022055,2.055877372,1.985343281,2.2280946,2.188540093,1.946657494,1.930777658,2.074564458,2.255042266,2.147229954,1.917189036,2.250459794,2.2148226,2.186981625,2.44632667,2.270484562,2.425474533,2.116939716,2.210839529,2.336389693,2.147769621
"21157",2.162723502,2.130641976,2.178838862,2.196850511,2.150247477,2.303821212,2.122192839,2.329980744,2.109111888,2.310049982,2.124234274,2.230656168,2.061128629,2.238695894,2.13542595,2.173782866,2.197593445,2.209543502,2.08636551,2.198885001,2.242011708,2.244551446,1.960116413,2.145060317,2.108124001,1.989289428,2.026976595,2.109513246,2.079046753,2.173101692,2.083396181,2.115097876,2.003882442,1.915749377
"11850",2.013604181,2.10681841,2.133996499,2.161003077,2.042773471,2.101251223,2.025693202,2.028952707,1.995799182,2.122874796,1.972565928,2.384449712,2.184909839,2.425089416,2.171171112,1.895737927,2.543356746,2.059090436,2.111187866,2.218619261,2.151137095,2.668852623,2.35337702,2.167199802,2.005523557,2.108305534,2.015219716,2.153833694,2.147992911,2.168734317,2.093172249,1.936618614,2.206395061,2.015444206
"29716",2.101733757,2.2280946,2.13921839,2.13201725,1.99437216,2.169995167,2.104377849,2.099862944,2.114128685,2.018890988,2.023082421,2.222803167,2.113282611,2.032775911,2.177926401,2.260138633,2.295120162,2.429395213,2.045910864,2.129746336,2.108183076,2.117014796,2.155889543,2.170935772,2.123636545,2.152010981,2.10482848,2.198426751,2.187961258,2.076758528,2.198328397,2.311292459,2.234832013,2.139852373
"14467",2.20463721,1.924487683,2.109850876,2.119070943,2.26275669,2.006247313,2.043738484,2.018764792,2.037813721,2.169946335,1.921655515,2.166696107,2.309625756,2.118019605,2.262462668,2.275985696,2.646326079,2.063605562,2.179240456,1.998362709,2.150675691,2.286809137,2.149610769,2.225985405,2.133781674,2.19376687,1.936902044,2.36129175,2.127057718,1.991909567,2.174430812,2.06504935,2.287240972,2.226125408
