uniprot,symbol,smB_S1R1,smB_S1R2,smB_S1R3,smB_S1R4
O00244;E5RIM7;E5RGN3,ATOX1,1806210,1570904,673349,1476425
O00255-2;O00255;O00255-3,MEN1,42583,19024,19956,17763
O00257;O00257-3,CBX4,23089,10745,17194,11115
O00258;B7Z1T1;O00258-2;H7BYE5,WRB,0,0,0,4636
O00264;O00264-2,PGRMC1,274072,95704,125399,149550
O00267,SUPT5H,313524,220851,124030,153864
O00267-2,SUPT5H,0,0,0,0
O00268,TAF4,8243,8338,4900,10853
O00273,DFFA,417512,288456,144222,161987
O00273-2,DFFA,6136,0,2268,0
O00287,RFXAP,20706,17132,0,5897
O00291;O00291-3;O00291-4,HIP1,2232,1916,916,1652
O00299,CLIC1,11772753,8722854,6536197,6029565
O00303,EIF3F,1099479,948776,659459,810958
O00308;O00308-2,WWP2,5379,2965,2016,3583
O00311,CDC7,3092,0,0,10150
O00329,PIK3CD,116516,100000,86118,99567
O00330;O00330-3;H0YD97;O00330-2,PDHX,164507,115402,71205,113959
O00391;O00391-2,QSOX1,16354,612,0,487
O00398,P2RY10,0,0,0,0
O00399;E5RK00,DCTN6,110255,93403,86152,46843
O00400,SLC33A1,0,12368,5706,15567
O00408-4;O00408-3;O00408;E9PEF1;O00408-2;O00408-5;O00408-6,PDE2A,0,0,0,0
O00409;O00409-2,FOXN3,6070,7843,4628,3902
O00410;O00410-3;H0Y8C6,IPO5,1345151,928214,570417,583335
O00411,POLRMT,4755,2712,1317,14580
O00418;H3BRH4,EEF2K,22086,12766,27432,15517
O00421;O00421-2;C9JP23,CCRL2,0,0,0,0
O00425,IGF2BP3,0,0,4653,5027
O00429;O00429-3;O00429-6;O00429-7,DNM1L,516675,482797,338743,285623
O00429-2;O00429-4;O00429-8;G8JLD5;O00429-5,DNM1L,3583,2138,0,0
O00442;O00442-2,RTCA,197298,206880,156900,145917
O00443,PIK3C2A,5635,4391,2484,4323
O00453;O00453-10;A0A0A6YYA5;A0A0A6YYA6;O00453-6;O00453-4;O00453-13;O00453-3;O00453-2;O00453-11,LST1,0,0,0,0
O00458;O00458-2,IFRD1,8030,0,0,0
O00459;E9PFP1,PIK3R2,4022,2326,1605,6135
O00462;E9PFW2,MANBA,1511,7346,2890,3118
O00463;O00463-2;O00463-3,TRAF5,77818,33160,18311,32526
O00468-6;O00468-3;O00468-7;O00468;O00468-5;O00468-4;A0A087X208;O00468-2,AGRN,0,0,0,0
O00471;A0A0A0MSI8,EXOC5,59947,50955,29483,53485
O00472;O00472-2,ELL2,3178,0,0,11816
O00478;O00478-2;C9JZT5,BTN3A3,6083,8508,6911,14590
O00479,HMGN4,111525,651803,1097650,1971411
O00481;O00481-3,BTN3A1,0,0,0,0
O00483,NDUFA4,1193166,826694,853297,1286358
O00487,PSMD14,1276590,1010785,624239,447541
O00488;A9J4F5,ZNF593,27268,15415,27283,0
O00499;O00499-2;O00499-6;O00499-3;O00499-5;O00499-9;O00499-7;O00499-4;O00499-11;O00499-10;O00499-8,BIN1,272518,195354,103543,111950
O00505,KPNA3,431283,339142,249635,279899
O00506;O00506-3;O00506-2;H7C279;C9J6L2;C9JCC0;C9J232;C9JDH9,STK25,12652,12213,9932,4548
O00507;O00507-2,USP9Y,0,3353,2148,4515
O00519,FAAH,0,0,0,0
O00522;O00522-3;A0A0B4J2C7;O00522-2,KRIT1,9531,9406,3745,8111
O00534,VWA5A,31839,12209,26030,20334
O00541-2,PES1,0,0,0,0
O00548,DLL1,0,0,0,0
O00555;O00555-6;O00555-4;O00555-7;O00555-5;O00555-3;O00555-2,CACNA1A,288,0,0,0
O00555-8;K7EKF7;A0A087WW63;K7EQ95,CACNA1A,0,665,0,0
O00560;B4DHN5;E9PBU7,SDCBP,138284,105677,76077,83681
O00560-2;G5EA09,SDCBP,7572,3312,1217,0
O00560-3,SDCBP,0,0,0,0
O00562;O00562-2,PITPNM1,7174,3695,6192,13560
O00566,MPHOSPH10,90441,104555,45838,77639
O00567,NOP56,1937225,1437116,1126766,1773053
O00574,CXCR6,0,0,0,0
O00587;O00587-2,MFNG,0,0,0,0
O00592;O00592-2,PODXL,0,0,0,2010
O00602;A0A087WVE2,FCN1,0,5446,1931,207
O00625,PIR,4040,0,0,2052
O00626,CCL22,74707,10203,20706,16814
O00628;O00628-2,PEX7,0,0,0,0
O00629,KPNA4,310493,218227,114175,123117
O00635,TRIM38,77393,50333,32316,52488
O00716;O00716-2,E2F3,0,0,0,0
O00743;O00743-2;O00743-3,PPP6C,519870,308901,217432,292098
O00754;O00754-2,MAN2B1,129498,90875,96589,92386
O00757,FBP2,0,3736,6671,0
O00762;O00762-2;O00762-4,UBE2C,92408,54791,28838,42935
O00764;F2Z2Y4;O00764-3;O00764-2,PDXK,680858,556081,530712,328220
O00767,SCD,7801,8286,0,1887
O14494;O14494-2,PPAP2A,0,0,0,0
O14497;O14497-2;O14497-3;H0Y488,ARID1A,101802,87411,44146,57982
O14498;H0YL90;H0YN67,ISLR,0,0,0,8662
O14503,BHLHE40,4414,1956,3526,0
O14508;F8VRV3;F8VU91,SOCS2,0,0,0,0
O14519;O14519-2;F5GZF0,CDK2AP1,0,69667,33550,162713
O14521-2;O14521,SDHD,192041,108871,93960,153515
O14523;O14523-2;E9PK05,C2CD2L,0,0,0,0
O14524;O14524-2,TMEM194A,0,0,0,0
O14526;A0A0C3SFZ9;M0QZI3;O14526-2;O14526-3,FCHO1,6318,18006,3032,24584
O14530;O14530-2;B8ZZX4;F8WCJ3,TXNDC9,358019,218304,119446,120969
O14543,SOCS3,0,0,0,0
O14545;F8VNX8,TRAFD1,111901,58797,50874,36725
O14548;E5RJZ1;H0YBD2,COX7A2L,310314,175899,120501,164039
O14561;H3BNK3,NDUFAB1,1082048,719400,671288,870535
O14569;U3KQU4,CYB561D2,18058,26157,9322,46749
O14576;O14576-4;O14576-3;O14576-5;O14576-2;E5RFE1;C9J3E7;E5RJ75,DYNC1I1,0,5432,4268,0
O14578-4;O14578,CIT,872,967,1791,0
O14579;A0A087X0I4;O14579-2;O14579-3,COPE,1086880,843033,581807,656768
O14593;O14593-2;A0A024R7P0;O14593-3;K7ENE6,RFXANK,19249,20054,9968,19005
O14602;A6NJH9,EIF1AY,0,0,130541,116661
O14613,CDC42EP2,0,0,0,0
O14617-2,AP3D1,0,0,0,0
O14617-5;O14617;O14617-4;O14617-3,AP3D1,117601,86680,63729,75273
O14625,CXCL11,0,0,0,0
O14626,GPR171,0,13738,6164,8635
O14638;F8W6H5,ENPP3,46,39,32,0
O14639-5;O14639-3;O14639-4;J3QSX6,ABLIM1,0,0,0,0
O14639-6,ABLIM1,26683,23181,14965,13515
O14646;O14646-2,CHD1,42917,28012,26222,32585
O14647;O14647-2,CHD2,33227,38048,27022,29350
O14656,TOR1A,73544,54521,41647,62070
O14657,TOR1B,52774,52985,43645,40561
O14662-2;O14662-4;C9K0W8;O14662-6;Q96NX8;F8W9Z6;B7ZBM8,STX16,41882,24366,15993,25009
O14672;O14672-2,ADAM10,69800,54865,43766,37050
O14678;H0YJ78,ABCD4,0,0,0,2891
O14681;E9PL33;E9PM05;E9PS58;E9PK61;O14681-3;E9PLB8,EI24,0,0,3202,4807
O14684,PTGES,0,0,0,0
O14686;O14686-3,KMT2D,1607,1902,5075,927
O14713;A8MPU2;C9JBU8;O14713-2;C9J6Y2;C9J0J6;C9JZ07;G3V1A3;C9J5T5,ITGB1BP1,23472,27709,9507,0
O14715;J3KQ37,RGPD8,0,0,0,0
O14727;O14727-4;C9JLV4;O14727-5,APAF1,24755,18713,15634,14997
O14727-3;O14727-2,APAF1,0,0,0,0
O14732;O14732-2;K7ELF8,IMPA2,5056,0,0,0
O14733;O14733-3;O14733-4;O14733-2,MAP2K7,37352,38723,7297,25524
O14734;H7C5A7;E9PJN0;E9PRD4,ACOT8,138420,133368,73197,64792
O14735;B3KY94;O14735-3,CDIPT,46078,38731,31309,67659
O14737,PDCD5,1256990,1091852,937453,976016
O14744;O14744-2;O14744-5;O14744-3;O14744-4,PRMT5,499227,317856,152757,255453
O14745;O14745-2;J3QRP6,SLC9A3R1,682749,531113,485045,449092
O14757;J3KN87;O14757-3;E7EPP6;O14757-2,CHEK1,22298,12199,8067,22570
O14772;A0A0A0MRP2;O14772-2,FPGT,37396,9784,7773,5624
O14773;A0A0C4DGZ9;O14773-2,TPP1,312433,196175,124993,166250
O14775-2;O14775;O14775-3,GNB5,1308,646,0,0
O14776;O14776-2;G3V220,TCERG1,266157,224915,144339,146798
O14777,NDC80,16563,34614,15799,17214
O14786;E9PEP6;E7EX60;Q5T7F0;O14786-3;O14786-2;Q5JWQ4;Q5JWQ6,NRP1,0,0,0,0
O14787-2;O14787;A0A075B780,TNPO2,84662,86264,52767,50125
O14788;O14788-2;O14788-3,TNFSF11,0,0,0,0
O14791-2;O14791;O14791-3,APOL1,0,0,0,0
O14796;O14796-2,SH2D1B,0,0,0,0
O14798,TNFRSF10C,0,0,0,0
O14802,POLR3A,25812,31239,17940,22475
O14807,MRAS,0,0,0,0
O14818;O14818-4,PSMA7,3576118,2596973,1694906,1334109
O14818-2;H0Y586,PSMA7,47648,61454,22836,28339
O14827;D6RAS9,RASGRF2,0,0,14022,3147
O14828;O14828-2,SCAMP3,279944,239510,134320,158798
O14836;O14836-2;J3QR67;E7ER05;O14836-3,TNFRSF13B,34106,20115,1757,6580
O14841,OPLAH,0,5146,3583,0
O14867,BACH1,400,1168,0,1398
O14874;O14874-2;O14874-3;H3BS02;H3BTL2,BCKDK,20781,14986,17817,32503
O14879,IFIT3,3675,1868,554,0
O14880;Q5VV89,MGST3,145107,129109,137352,137906
O14893;O14893-3;O14893-2;H0YEL0;G5EA29,GEMIN2,56711,15466,14517,41559
O14907;A0A087X282,TAX1BP3,27515,36671,17999,0
O14908;O14908-2,GIPC1,22894,0,31136,11948
O14910;H0YIA8;H0YI92,LIN7A,0,20875,0,41399
O14917;O14917-2,PCDH17,5206,92951,35,3134
O14920;O14920-4;G3V105,IKBKB,186026,146273,101399,138298
O14925;Q5SRD1;B4DDK6,TIMM23;TIMM23B,78805,48160,18435,47234
O14929;O14929-2,HAT1,800635,466059,369934,357500
O14931-3;O14931-2;O14931;O14931-6;O14931-5;O14931-4,NCR3,795,334,612,838
O14933;O14933-2,UBE2L6,431372,154086,127200,239188
O14936;O14936-3;O14936-4;O14936-6;O14936-2;Q5JS74;Q5JS72;O14936-5,CASK,3561,11902,6197,5751
O14939;O14939-4;I3L222;I3L1F3;O14939-3,PLD2,0,0,0,0
O14948;O14948-4;O14948-2,TFEC,0,0,0,0
O14949,UQCRQ,782194,630201,710066,1230744
O14950,MYL12B,0,0,0,0
O14957,UQCR11,0,9234,18609,0
O14964;O14964-2,HGS,142598,116039,87171,89596
O14965,AURKA,14371,11606,5387,10238
O14966;O14966-2;O14966-3,RAB29,609973,284490,398907,640808
O14967;D6RAZ4,CLGN,0,0,0,0
O14972;O14972-2;A8MTY9;A8MY26,DSCR3,82077,69736,59644,62260
O14974;O14974-2;O14974-3;O14974-5,PPP1R12A,178320,170674,117120,95832
O14974-4;F8VZN8,PPP1R12A,55,4053,1921,883
O14975;O14975-2;G3V1R7,SLC27A2,1565,126,1323,1080
O14976;O14976-2,GAK,114123,86037,74066,91758
O14979-3;O14979-2,HNRNPDL,0,0,0,0
O14980,XPO1,719519,774352,431347,456278
O14986;O14986-3;O14986-2,PIP5K1B,0,0,0,0
O15013;O15013-4;O15013-5;O15013-6;H0YAN8;O15013-7,ARHGEF10,0,0,1791,0
O15014,ZNF609,2414,1812,0,1818
O15015;O15015-2,ZNF646,0,992,530,572
O15031,PLXNB2,1518,3700,1886,5397
O15037,KHNYN,2782,8150,3953,3708
O15040;O15040-2,TECPR2,416,351,67,160
O15042;O15042-2;E7ET15;O15042-3,U2SURP,229015,170937,112387,170299
O15047,SETD1A,13412,14331,4494,10850
O15049,N4BP3,23983,0,0,0
O15050,TRANK1,16232,4947,3029,25344
O15056;O15056-2;O15056-3;E7ER60,SYNJ2,8161,12623,7524,13594
O15061,SYNM,4375,3280,2468,2342
O15066,KIF3B,10492,7752,4078,9444
O15067,PFAS,695253,645362,334901,338617
O15079;O15079-2,SNPH,0,0,0,0
O15084;O15084-1;O15084-4;O15084-2;B4DIW9,ANKRD28,17200,9156,7620,9541
O15085;O15085-2,ARHGEF11,0,0,0,0
O15091;O15091-4,KIAA0391,31178,5288,14793,15107
O15111,CHUK,39861,46969,25822,33622
O15116,LSM1,369783,285485,159209,260375
O15117-2;O15117-3;O15117,FYB,1679,1051,0,3640
O15118;K7EQ23;O15118-2,NPC1,3710,1114,2430,9345
O15120;O15120-2,AGPAT2,0,0,0,4228
O15121,DEGS1,0,0,9689,9005
O15126;O15126-2;A0A087WXB0,SCAMP1,32692,22128,9614,26698
O15127;H3BV04;H3BN93;H3BUB6;H3BPL9,SCAMP2,183587,181390,124354,193343
O15131,KPNA5,0,0,0,0
O15143,ARPC1B,5738270,5827465,4194932,3129886
O15144,ARPC2,9200224,8864710,5585883,5540203
O15145,ARPC3,5553208,5131040,3255893,2046104
O15151;A0A087WTR9;O15151-5;A0A087WZ58,MDM4,5727,2858,0,2575
O15156;O15156-2,ZBTB7B,16447,0,0,0
O15160;O15160-2;E7EQB9,POLR1C,247251,158852,93265,162654
O15164;A0A087X1V3;O15164-2,TRIM24,10683,10146,4689,5936
O15165-6;O15165-5;O15165-3;O15165-7;O15165-8;O15165-4,LDLRAD4,0,0,3001,2618
O15173;O15173-2,PGRMC2,232375,129122,171668,380592
O15194;O15194-2,CTDSPL,0,6319,0,9517
O15204-2;O15204,ADAMDEC1,62955,67000,0,0
O15211,RGL2,1223,0,0,695
O15212;A2AB88,PFDN6,1186837,1058418,605718,567961
O15213;H0Y6G3,WDR46,64310,40145,40410,74776
O15226;O15226-2,NKRF,193571,117831,68014,67264
O15228;O15228-2,GNPAT,33107,16679,15298,27130
O15229;O15229-2;O15229-3,KMO,331972,65059,31384,161792
O15231;O15231-4;O15231-7;O15231-6;O15231-8;H7BZT5,ZNF185,0,0,0,0
O15231-3;H0Y704;O15231-5;O15231-2,ZNF185,0,0,291,0
O15234,CASC3,16608,9261,9088,7335
O15235,MRPS12,85357,149538,102876,192064
O15239,NDUFA1,0,30811,17695,53303
O15247,CLIC2,1337,0,0,601
O15254;O15254-2,ACOX3,64944,106673,84376,63938
O15258;Q9P0H9;Q5T092;A0A0A0MR06;Q5T091;Q5T093,RER1,287077,226620,249938,303894
O15260;Q5T8U5;O15260-2;O15260-3;B7Z1G8,SURF4,229892,215399,144005,252738
O15264;O15264-2,MAPK13,49669,73199,36721,37829
O15265-2,ATXN7,11566,0,0,773
O15269,SPTLC1,99043,43497,45739,103087
O15270;H0YJV2,SPTLC2,66680,32255,29817,55164
O15287,FANCG,41453,0,0,0
O15294,OGT,187330,171152,104218,130990
O15294-3;O15294-2;O15294-4,OGT,1309,1033,0,0
O15297;O15297-2,PPM1D,736,0,803,894
O15305;H3BV55;H3BPH4;H3BRM0,PMM2,551268,460556,289907,193249
O15327,INPP4B,0,120,450,1523
O15355,PPM1G,674608,418714,229582,272582
O15357;O15357-2;A0A0A0MTP6,INPPL1,48326,17714,18233,35922
O15371;O15371-3;O15371-2,EIF3D,471871,496076,270016,377545
O15379;O15379-2,HDAC3,47890,61103,58041,36790
O15381;O15381-2;O15381-5;O15381-3;O15381-4,NVL,50886,10170,11597,30765
O15382;M0QXF9;B3KSI3;M0QZ10;O15382-2;M0QZP4,BCAT2,547533,333567,262465,535675
O15389,SIGLEC5,0,0,0,0
O15391,YY2,5820,8034,2223,7720
O15397;O15397-2,IPO8,47220,29731,37853,32981
O15400;O15400-2,STX7,586270,682049,358341,414405
O15427;J3QQV2;J3QSC3;J3KTI8,SLC16A3,21611,7358,8460,9377
O15431,SLC31A1,0,0,5660,2436
O15438;O15438-4;O15438-2,ABCC3,1429,0,0,0
O15439;O15439-2,ABCC4,4393,0,2280,3278
O15440;O15440-5,ABCC5,0,0,0,0
O15446;O15446-2,CD3EAP,40294,20655,22905,27837
O15455;O15455-2;D6RA51,TLR3,2280,29371,6099,37540
O15460-2;O15460,P4HA2,0,0,0,0
O15498;O15498-2,YKT6,393387,295793,162210,288118
O15504;C9JYA1;O15504-2,NUPL2,20247,32959,13295,12578
O15511;O15511-2;B1ALC0,ARPC5,8638839,7165307,4501807,4433290
O15514;E9PB93;E9PHV4,POLR2D,127646,190668,112710,103066
O15519;O15519-14;O15519-8;O15519-5;O15519-11;O15519-12;O15519-10;O15519-6;O15519-15,CFLAR,4032,11614,551,3365
O15523,DDX3Y,49806,42542,23280,11866
O15525,MAFG,42138,11639,11046,18275
O15527-4;O15527;O15527-8;O15527-2;O15527-7;O15527-3;H7BZM3;O15527-5;H7BXZ1,OGG1,0,22317,0,1865
O15541,RNF113A,135344,52306,38630,44262
O15551,CLDN3,0,0,0,0
O15552,FFAR2,0,0,0,0
O15553;F5H2E5;F8W6Z2;F5H595;O15553-1;F5H6N9,MEFV,110,529,0,0
O15554;D1MQ08,KCNN4,9121,5828,11094,5233
O43143,DHX15,1083699,1001518,598424,639285
O43148;O43148-2;K7EP06,RNMT,125085,114983,78210,57521
O43149,ZZEF1,30334,22331,17378,23852
O43149-3,ZZEF1,0,0,0,0
O43150,ASAP2,2852,31900,471,481
O43156,TTI1,22020,15079,17926,7517
O43159;E9PPY3,RRP8,106526,59370,33270,34780
O43164;O43164-2,PJA2,0,0,0,0
O43166-3;O43166-2;O43166;F5GYF8,SIPA1L1,4262,6148,1624,5786
O43167,ZBTB24,3100,8165,10628,2306
O43172;O43172-2,PRPF4,332250,231102,142867,302582
O43175;Q5SZU1,PHGDH,758071,384003,407971,224369
O43181,NDUFS4,520708,227722,314892,599519
O43182;O43182-4;O43182-2;H7BYE6;O43182-5;O43182-3,ARHGAP6,0,0,0,0
O43189;E9PQZ5,PHF1,1184,4777,897,12816
O43237;O43237-2,DYNC1LI2,34946,27693,15675,14487
O43242;O43242-2,PSMD3,1321706,785875,523032,632537
O43252,PAPSS1,136658,91848,122658,116410
O43255,SIAH2,0,0,5079,0
O43257,ZNHIT1,0,0,0,0
O43264;O43264-2,ZW10,100448,75052,55873,65311
O43278;O43278-2;H3BVD9;H3BTQ8;H3BR01;H3BMB6,SPINT1,5604,7890,0,0
O43286,B4GALT5,40112,17681,16999,31440
O43290,SART1,178995,169863,98555,126493
O43291;K7EKQ0;K7EM91;O43291-2,SPINT2,9805,2994,0,4123
O43292;O43292-2;E9PPZ9;E9PLV6;E9PQ31,GPAA1,279304,7564,21144,26058
O43293;O43293-2,DAPK3,26407,16027,0,15888
O43294;O43294-2,TGFB1I1,0,0,0,0
O43295;O43295-2,SRGAP3,0,4029,0,0
O43296,ZNF264,3203,3035,0,0
O43298;Q5JU97,ZBTB43,0,1848,0,1318
O43299;O43299-2,AP5Z1,23607,17286,10503,18478
O43303;O43303-2,CCP110,1048,1278,0,1618
O43304,SEC14L5,0,0,0,0
O43306;O43306-2,ADCY6,1269,1506,0,0
O43310;O43310-2,CTIF,0,0,0,0
O43312;O43312-4;E7EWW5;O43312-2;H0YB53,MTSS1,11843,39850,12981,25599
O43314;O43314-2;A0A087WZV0,PPIP5K2,52709,35908,28158,37705
O43315;H0YK62,AQP9,0,0,0,0
O43318-2;O43318;O43318-4;O43318-3,MAP3K7,14565,7629,7769,8056
O43324,EEF1E1,537560,513405,390220,544774
O43353;O43353-2,RIPK2,13384,9589,7419,6191
O43374;O43374-2;C9J798;E7ERK1;F5GXT2;F8W6L0;H0YB35,RASA4;RASA4B,11815,2497,2939,8986
O43379;O43379-4,WDR62,15087,12531,5468,4786
O43390;O43390-3;B4DT28,HNRNPR,2259652,1620692,1151362,1269432
O43390-2;O43390-4,HNRNPR,0,0,0,0
O43395,PRPF3,344039,232702,134339,212043
O43396;K7ER96,TXNL1,865325,678517,348271,309059
O43399;O43399-5;O43399-7;A0A087WYR3;A0A087WZ51,TPD52L2,1215510,954185,665212,575564
O43399-2;O43399-3;O43399-4;O43399-6,TPD52L2,0,57334,0,50712
O43402;M0R1B0,EMC8,39879,36372,17788,20340
O43422;O43422-2,PRKRIR,39945,10780,11857,22189
O43427;O43427-2;E9PSD3,FIBP,61038,90036,30997,62542
O43447;C9JQD4;O43447-2;H0YEL5,PPIH,1563255,1147516,681645,705483
O43463;O43463-2,SUV39H1,9225,6476,0,0
O43464;O43464-3;A0A0C4DG44;O43464-2,HTRA2,128657,50371,43321,42254
O43464-4,HTRA2,0,0,0,0
O43474;O43474-1;O43474-4,KLF4,0,0,0,0
O43482;H0YKL4,OIP5,0,0,0,0
O43488;H3BLU7,AKR7A2,508482,328372,251659,336284
O43504;R4GMU8;E9PLX3;A0A0C4DGV4,LAMTOR5,1510500,994016,693664,883919
O43505,B3GNT1,0,0,0,4055
O43513;E5RIE8,MED7,13606,3560,2820,0
O43516;O43516-3;A0A087WW70;O43516-2;E9PB87;O43516-4,WIPF1,416831,338307,264582,226236
O43521;O43521-4;O43521-8;O43521-12;O43521-2;O43521-5;O43521-3;O43521-6;O43521-9;O43521-7,BCL2L11,12071,25643,5794,15298
O43524;O43524-2,FOXO3,0,0,0,1402
O43542;G3V3H9;G3V399,XRCC3,0,0,1859,0
O43557;O43557-2,TNFSF14,0,0,0,0
O43561;O43561-2;O43561-3;O43561-5;O43561-4,LAT,0,0,13338,0
O43566,RGS14,54729,46117,34214,56300
O43567;C9J8T4;C9JYN7;C9IY58;C9JCY0;O43567-2,RNF13,8032,16022,7482,14491
O43570;O43570-2;B3KUB4,CA12,780,0,0,0
O43572;E7EMD6,AKAP10,7964,6336,0,0
O43583;F8VVL1,DENR,355017,316288,152956,160278
O43586;J3KPG6;O43586-2;H0YKY3;H0YLX8;H0YLW8,PSTPIP1,26607,2064,0,10388
O43592,XPOT,124735,97427,61997,68538
O43598;H0Y8X4;O43598-2,DNPH1,612553,699366,483960,356641
O43615;M0QXU7,TIMM44,273292,185722,159135,287118
O43617;O43617-2;A0A087WYS5;A6NKE1,TRAPPC3,280963,249382,203196,220563
O43633;M0R1L7;M0R1T5,CHMP2A,156454,116520,76648,105757
O43639,NCK2,38262,24449,22361,31648
O43660;O43660-2,PLRG1,313154,255309,203021,162018
O43663;O43663-4;O43663-2,PRC1,11764,16789,4352,2639
O43665-3;O43665;O43665-2,RGS10,728426,305720,244315,396929
O43670-2,ZNF207,500776,519072,232741,275960
O43674;E7EWP0;H0Y886;O43674-2;A0A087WYD0,NDUFB5,125148,101034,55682,256017
O43676;C9JKQ2,NDUFB3,338818,210429,132198,282286
O43677,NDUFC1,0,26902,111820,111265
O43678;O43678-2,NDUFA2,671964,443026,352730,526345
O43681;A0A087WXS7,ASNA1,582740,493827,265617,385437
O43683;O43683-2;O43683-3,BUB1,3778,1909,2098,1628
O43684;O43684-2;J3QT28,BUB3,1267329,914280,503092,557407
O43699;O43699-3;O43699-6;O43699-4;O43699-2;O43699-5,SIGLEC6,0,0,0,0
O43704;D6RD70,SULT1B1,13232,0,0,662
O43707;O43707-2;F5GXS2;O43707-3,ACTN4,3557184,3127198,1978376,1583746
O43709;O43709-3,WBSCR22,57600,35210,15828,51146
O43715,TRIAP1,173794,107135,45979,261891
O43719,HTATSF1,160233,161545,90699,66705
O43734;O43734-5;O43734-2,TRAF3IP2,1334,0,851,0
O43736;O43736-2,ITM2A,0,0,0,0
O43741;O43741-2,PRKAB2,0,0,0,0
O43747;O43747-2,AP1G1,436210,350398,197431,270535
O43752,STX6,84902,37616,33174,43248
O43760-2;O43760;K7ELS8;K7ELD9;K7ENG9,SYNGR2,695314,707939,594571,924200
O43761;Q96L30,SYNGR3,22334,11216,7839,0
O43765;K7EMD6,SGTA,704982,648542,403265,333390
O43766;D6RCP8;O43766-2;O43766-3,LIAS,0,0,0,0
O43772;C9JPE1,SLC25A20,150748,95966,72766,183267
O43776,NARS,438209,357803,219009,246390
O43791,SPOP,0,0,0,0
O43805,SSNA1,171257,130815,84797,110275
O43808;F6RTR7;B0QYW5;F8WE74,SLC25A17,0,9647,6827,9830
O43809;H3BND3,NUDT21,1543694,1334447,667065,992479
O43813;E9PHS0,LANCL1,280051,233025,201335,186763
O43815,STRN,191982,132850,115235,105913
O43818,RRP9,203864,118885,44971,138161
O43819,SCO2,90339,45948,47923,26753
O43820-2;O43820,HYAL3,0,0,0,0
O43822;O43822-2;O43822-3;O43822-4,C21orf2,2555,0,0,0
O43823,AKAP8,99185,94230,50297,58978
O43824,GTPBP6,61994,17341,19858,20907
O43826;U3KPU7;U3KQS2;O43826-2,SLC37A4,0,0,0,2343
O43829,ZBTB14,2492,5886,7386,20736
O43852;O43852-3;O43852-6;O43852-5;O43852-10;O43852-9,CALU,57345,6922,28475,6497
O43852-4;O43852-2;O43852-8;O43852-15;H0Y875,CALU,187510,147167,94819,47057
O43865;O43865-2,AHCYL1,353285,264450,184709,155546
O43866,CD5L,707,0,0,0
O43913;O43913-2,ORC5,38766,26688,22812,46256
O43920,NDUFS5,410760,231421,370197,430831
O43924;B8ZZK5;C9IZ52,PDE6D,118950,70532,46581,65084
O43927,CXCL13,0,0,0,0
O43929;O43929-2;O43929-3,ORC4,21722,39071,29645,68316
O43933;A0A0C4DG33;O43933-2,PEX1,4367,2534,2469,2314
O60216,RAD21,182330,153750,141848,126233
O60220,TIMM8A,277361,208778,203580,295599
O60229-5,KALRN,0,0,0,0
O60229-6,KALRN,0,0,0,0
O60231,DHX16,71384,50400,32236,52735
O60232;H0YEB6;G3V1B8,SSSCA1,94759,118105,74577,101708
O60234;M0QYJ8;M0R0C1;M0R1D2,GMFG,1705521,1146371,689780,480602
O60237;O60237-4,PPP1R12B,0,0,0,0
O60239;O60239-2,SH3BP5,0,0,0,0
O60244,MED14,23915,24909,14119,17318
O60256;O60256-3;O60256-2;E7EPA1;C9K0K7;O60256-4;C9JDU5;C9JJS3,PRPSAP2,813230,765780,573177,508089
O60262;K7ESC6,GNG7,481908,162410,142329,274224
O60264,SMARCA5,479110,359058,252179,437866
O60268;O60268-3;H3BMU3;O60268-2,KIAA0513,5858,0,0,12152
O60271-4;O60271;O60271-2;A0A087X2D8;O60271-9;O60271-5;O60271-3,SPAG9,77385,45719,30164,35572
O60282;O60282-2,KIF5C,15686,0,3220,0
O60287,URB1,26645,21767,10266,40330
O60292,SIPA1L3,7026,0,0,1850
O60293;O60293-2,ZFC3H1,2494,1444,547,748
O60294,LCMT2,0,0,0,2070
O60306,AQR,91336,80281,45282,98253
O60307,MAST3,18237,26713,14694,28289
O60313-2;E5KLJ5;O60313;E5KLK1;E5KLJ9;E5KLJ6,OPA1,190488,154442,106590,164674
O60315;O60315-2;E7EUW9,ZEB2,2031,2130,539,8290
O60318,MCM3AP,19396,8650,6031,14989
O60331;O60331-4;O60331-2;O60331-3,PIP5K1C,14155,18982,16217,11294
O60333-2;O60333;A0A087WWA3;Q4R9M9;O60333-4,KIF1B;KIF1Bbeta,3128,3482,2126,3819
O60336;O60336-6;O60336-3;O60336-2;O60336-4,MAPKBP1,182,0,33,0
O60337;O60337-5;D6RHY7;O60337-6,6-Mar,0,0,0,0
O60341;O60341-2,KDM1A,123823,90949,76387,76275
O60343;O60343-2;O60343-3,TBC1D4,0,2129,810,772
O60344-4,ECE2,5300,0,1972,0
O60381;O60381-3;H7C4S2;O60381-2;U3KQE5,HBP1,0,0,0,0
O60427;A0A0A0MR51;O60427-2,FADS1,2473,2326,1462,0
O60443;H7C3W1,DFNA5,19257,1745,2550,3161
O60447;O60447-2,EVI5,0,0,0,0
O60449,LY75,1509,0,899,459
O60449-2;O60449-3,LY75,56737,22523,37151,50908
O60476,MAN1A2,2355,5956,2400,3542
O60478;H0Y509,GPR137B,0,0,0,0
