ENTREZ_GENE_ID,CopyNumber_T4.naive_01_activated,CopyNumber_T4.naive_02_activated,CopyNumber_T4.naive_03_activated,CopyNumber_T4.naive_04_activated,CopyNumber_T4.naive_01_steady-state,CopyNumber_T4.naive_02_steady-state,CopyNumber_T4.naive_03_steady-state,CopyNumber_T4.naive_04_steady-state,pos,0.5,top 0.25
23071,467212,337043,302790,198613,103474,78175,80806,99913,1.0,1,1
90952,2830,3685,2863,0,8989,8771,0,0,0.625,1,0
157570,6528,3487,4273,2642,0,0,0,0,0.5,0,0
2098,1372321,766624,705186,475779,646961,609862,438969,839316,1.0,1,1
51575,33647,44600,34084,30424,15290,12503,18305,22640,1.0,1,0
9700,1451,0,1708,0,0,0,126,0,0.375,0,0
2101,0,0,0,2413,836,0,1113,0,0.375,0,0
23344,840967,852134,1022672,877462,639261,617813,773521,795306,1.0,1,1
2107,581531,692444,541823,416334,135410,134376,109691,147365,1.0,1,1
2108,2286633,1438898,1281038,881622,995701,1029924,1090143,1306487,1.0,1,1
2109,1363254,1300759,1154639,671330,590474,575799,604044,681724,1.0,1,1
2110,95495,42437,70359,46425,47713,45887,51486,42650,1.0,1,1
23474,920880,677748,544272,307125,265664,369770,330370,465736,1.0,1,1
55500,8556,21640,32975,20149,5785,0,4785,6562,0.875,1,0
2113,197018,104187,136840,85966,41598,55890,63149,50402,1.0,1,1
2117,1813,0,624,862,1333,0,840,247,0.75,1,0
2120,2578,5039,0,11638,2419,2341,3782,4948,0.875,1,0
2123,0,0,0,2111,0,1891,2911,0,0.375,0,0
2124,14090,16261,21529,22782,33518,35337,52601,38405,1.0,1,1
7813,0,0,0,913,0,0,2568,0,0.25,0,0
115704,0,2792,0,1541,561,0,0,0,0.375,0,0
51466,2167369,1742797,1283445,1026518,1164875,1131321,828372,1600669,1.0,1,1
2125,324,0,0,374,1565,0,0,0,0.375,0,0
2130,319484,298936,290110,273397,207108,176380,165823,213140,1.0,1,1
55218,1677,5714,7647,3068,2227,1045,1632,2239,1.0,1,0
9156,0,489,825,718,0,0,0,0,0.375,0,0
