Majority protein IDs,Gene names,CopyNumber_T4.naive_01_activated,CopyNumber_T4.naive_02_activated,CopyNumber_T4.naive_03_activated,CopyNumber_T4.naive_04_activated,CopyNumber_T4.naive_01_steady-state,CopyNumber_T4.naive_02_steady-state,CopyNumber_T4.naive_03_steady-state,CopyNumber_T4.naive_04_steady-state
A0A024QZX5;A0A087X1N8,SERPINB6,0,0,0,0,0,0,0,0
P06731;A0A087WYX0;A0A024R0K5;P06731-2;A0A087X013;M0QX98;T2HUW8,CEACAM5,0,0,0,0,0,0,0,0
O60462-5;A0A024R412;O60462-4;O60462;A0A024R3W6;Q7LBX6;X5D2Q8;O60462-2;O60462-3;O60462-6,NRP2,97,0,416,178,0,0,0,0
A0A024R4E5;Q00341;Q00341-2;H0Y394,HDLBP,142088,178332,134839,126964,27078,29479,28525,38335
A0A024R4K9;Q9BXJ8;A0A087WZA9;A0A087X266;Q9BXJ8-2,TMPIT;TMEM120A,95,5193,3032,2662,1669,1055,4052,2169
O94956;A0A0A0MTF1;E9PRW4;A0A024R5I4;O94956-2;O94956-4;O94956-3,SLCO2B1,0,0,0,0,0,0,0,0
O75503;A0A024R644;A0A087WZY0,CLN5,9303,4905,10261,2994,4636,6786,2695,8046
P60002;K7EN05;K7EPC8;A0A024R7E8;K7EQ44;K7EMV4,ELOF1,26514,35951,19645,13733,161307,138478,113717,133544
A0A024RAC6;Q14241,TCEB3,12691,15050,15690,16804,10545,8555,9388,8997
P26718;A0A024RAP8,KLRK1;hCG_2009644,0,0,0,0,0,8225,0,7005
Q16670;A0A087X2F1;A0A024RCN4;Q16670-2;B4DMT1,ZSCAN26;ZNF187,0,2196,0,2605,47282,5107,3671,3956
A0A067XG54;Q8NB49-3;Q8NB49;Q8NB49-2;Q8NB49-4,ATP11C,86,8427,0,0,2117,3440,2661,3847
P11532;A0A087WV90;E9PDN5;A0A087WTU7;A0A075B6G3;P11532-4;P11532-3;P11532-2,DMD,2726,4869,663,1363,396,95,576,864
A0A075B6I0,IGLV8-61,10444,0,0,33511,0,0,21986,9404
A0A075B6I2;P06318;P06319,IGLV6-57,0,0,0,0,0,0,0,0
A0A075B6I5;P01702;P06316,IGLV1-51,0,0,1964,6226,10640,0,0,0
A0A075B6I8,IGLV1-47,0,0,0,0,0,0,0,0
A0A075B6I9;A0A0B4J1U2;P04211,IGLV7-46,0,0,0,0,0,12299,0,0
A0A075B6J0,IGLV1-40,0,0,0,0,0,0,0,0
A0A075B6J3,IGLV3-27,0,0,0,0,0,0,0,0
A0A075B6J4,IGLV3-25,0,0,0,0,0,0,24356,9437
A0A075B6J5;P01705,IGLV2-23,0,0,0,0,0,0,0,0
A0A075B6J7,IGLV3-21,15875,0,0,0,0,0,16338,1111
A0A075B6J8,IGLV3-19,76,0,0,1706,550,1581,3815,0
A0A075B6J9,IGLV2-18,0,0,0,0,0,0,0,0
A0A075B6K1,IGLV2-14,0,0,0,0,0,0,2572,0
A0A075B6K4,IGLV3-10,21465,0,0,20738,9587,0,33719,6778
A0A075B6K5,IGLV3-9,43915,5536,0,0,0,0,20314,24480
A0A075B6K9;P0CG05;A0A075B6L0;P0CG06,IGLC2;IGLC3,338895,40985,29953,36217,17745,17104,206062,139984
A0A075B6L1;A0M8Q6,IGLC7,0,0,0,0,0,0,0,0
A0A075B6L6,TRBV7-3,0,0,0,0,8787,2741,4213,0
A0A075B6N1,TRBV19,0,0,0,0,11957,15555,24054,10241
A0A075B6N2,TRBV20-1,0,0,0,0,0,0,0,11198
A0A075B6Q5,IGHV3-64,0,0,0,0,0,0,0,0
A0A087X0Q4;A0A087WW87;A0A075B6R1;P01614,IGKV2D-40,0,0,0,0,0,0,0,0
A0A075B6R6;A0A087WWX3;P03986,TRGC2,0,0,11611,9823,0,0,0,0
A0A075B6S3;P06310;A0A075B6S6,IGKV2-30;IGKV2D-30,0,0,0,0,0,0,0,0
A0A075B6S5,IGKV1-27,0,0,0,0,0,0,0,0
Q9C0C7;A0A075B6T1;Q9C0C7-4;Q9C0C7-2;Q9C0C7-3;Q9C0C7-5;Q9C0C7-6,AMBRA1,0,923,204,1184,0,0,332,462
Q9NVX7;Q9NVX7-2;A0A075B6T4,KBTBD4,4644,3205,15851,5386,4430,5207,8467,7826
A0A075B6T6,TRAV12-2,0,0,9171,0,10562,6913,6239,12198
A0A075B6T7,TRAV6,0,0,0,0,0,0,5017,0
A0A075B6V5,,0,0,0,0,1468,0,0,0
A0A075B6W5,,0,0,11234,6817,0,0,7623,7332
A0A075B6Y5,TRAJ47,0,0,0,0,0,23874,13165,34162
A0A075B738,PECAM1,0,0,0,0,0,0,0,0
P82921;A0A075B746,MRPS21,79193,67111,47420,49205,32617,21433,62822,37161
A0A087WVF8;A0A087WX83;A0A075B749;Q5VU43-3,PDE4DIP,406,1877,1613,1474,1187,1397,1317,810
O00623;A0A075B773;K7ELY8,PEX12,0,0,0,0,0,0,0,0
A0A075B7B8,IGHV3OR16-12,11747,0,0,0,0,0,7572,6920
A0A075B7D0,IGHV1OR15-1,0,0,0,0,0,0,0,0
A0A075B7D8,IGHV3OR15-7,11922,0,0,0,0,0,0,0
A8CG34;A0A075B7F8;A0A087WY75;A8CG34-2,POM121C,9290,7019,8748,7851,4762,7707,4407,5673
A0A087WSV0;Q9HB09;Q9HB09-3;I6LJZ7,BCL2L12,5485,4227,5377,14734,6296,0,0,0
V9HW75;A0A087WSV8;P80303;P80303-2;Q2L696;E9PKG6,HEL-S-109;NUCB2;Nucb2;DCAF5,251227,186197,191865,133665,63584,59878,94494,64952
Q16881;Q16881-3;A0A087WSW9;A0A087WSY9;Q16881-4;F8W809;E9PNQ6;Q16881-5;Q16881-2;Q16881-6;E9PIR7,TXNRD1;GML,374908,428258,436750,249493,90339,97714,99379,163323
A8MVE2;A0A0B4J1W1;A0A087WSX8,PODNL1,0,0,0,0,0,0,0,0
Q96IY4;A0A087WSY5;Q96IY4-2,CPB2,6665,5758,0,34795,0,16423,0,0
A0A087WSY6,,8539,73390,47686,0,0,0,9770,7511
A0A087WT03,,16954,14968,0,0,3962,0,18907,3820
P36969;A0A087X2I2;A0A087WT12;P36969-2;K7ERP4;K7EJ20;K7EKX7;K7ENB4;R4GNE4;A0A0A0MTT1,GPX4,339358,456028,282327,178799,280641,407488,181251,358387
Q9NV06;A0A087WT20,DCAF13,80724,125863,144480,112085,46292,59620,54640,95528
Q8N5I9;A0A087WT30,C12orf45,9463,0,4711,15655,0,5790,5312,3096
A0A087WT39;V9GYI1,LIME1,3676,34074,73664,90035,84475,92318,190147,166057
Q9NQ66;A0A087WT80;A0A087WW73;Q9NQ66-2;A0A0D9SF51;A0A0D9SG17;H0YCJ2,PLCB1,0,0,0,0,0,0,0,0
Q9H9V9;A0A087WT84;Q9H9V9-2,JMJD4,0,0,0,0,0,2297,0,0
P08123;A0A087WTA8,COL1A2,0,0,123,0,0,0,0,0
A0A087WTJ2;Q96F15;Q96F15-2,GIMAP5,181831,201672,237812,248073,347419,385246,421314,461770
A0A087WTM7,,1512,712,0,670,0,0,896,1169
Q96A57;Q5JWB9;A0A087WTT2;Q96A57-2,TMEM230,44399,0,0,35122,68757,0,35876,53406
Q8TCU4;A0A087WTU9;A0A087WZY3;Q8TCU4-2,ALMS1,423,0,4164,1052,1426,1019,2233,1725
O15318;D6R9U7;A0A087WTV7;D6RIT0;D6RJH6;D6R921,POLR3G,0,0,0,0,0,0,0,0
A0A087WTW0;Q96T88;A0A087WVR3;Q96T88-2;A0A087WWG9,UHRF1,260096,195208,193232,212520,2564,1796,869,1856
Q9UKL3;A0A087WTW5,CASP8AP2,0,0,2184,3256,721,755,0,950
Q92504;A0A087WTX2,SLC39A7,23,0,2563,1723,726,711,3529,916
A0A087WTX5,,0,0,0,0,0,0,3346,3234
Q96RQ1;A0A087WU02;H0YI50;H0YI58;F8VPA6,ERGIC2;RLN3,13370,5575,30807,5635,9780,6893,8597,10022
A0A087WU05,,0,0,0,0,0,0,0,0
Q5TGZ0;A0A087WU07;Q5TGZ0-2;R4GNA1,MINOS1;MINOS1-NBL1,0,0,0,0,100940,180059,202204,106940
O75626;A0A087WU16;O75626-2;O75626-3,PRDM1,0,0,0,0,0,0,0,0
A0A087WU28;A0A0B4J2C1,,0,0,0,0,0,0,0,0
P02724;Q13030;E9PH25;E7EQF3;E9PD10;A0A087WU29;A0A0C4DFT7;P02724-3;P02724-2,GYPA;GPErik,0,0,0,0,0,0,0,0
Q9H0U3;A0A087WU53,MAGT1,73453,86379,112575,55912,87623,44339,85623,81125
A0A087WU91;A0A0A0MS15,,23671,0,0,3419,0,0,0,0
Q8WYA6;A0A087WUB9;Q8WYA6-4;Q8WYA6-3;Q8WYA6-2,CTNNBL1,117641,134613,147682,108753,83897,84560,93417,107460
Q15005;A0A087WUC6;E9PL01;E9PI68,SPCS2,322823,534324,564750,356353,228337,204084,339768,252083
A0A087WUD1,,31920,42620,25019,22403,29405,23273,28643,33740
Q9NRP0;A0A087WUD3;Q9NRP0-2,OSTC,73190,92507,83172,66724,62091,81992,124887,124683
P28715;A0A087WUH0,ERCC5,6551,9005,6257,4595,13376,9288,9474,10748
Q7Z4K8;F5GYK0;Q5VT61;A0A0A0MS35;A0A087WUH1;Q7Z4K8-5;Q7Z4K8-2;Q7Z4K8-4;Q7Z4K8-3,TRIM46,0,0,0,0,0,0,0,0
Q9Y388;A0A087WUI1,RBMX2,25169,15711,10512,41824,8403,13048,11311,16189
Q15661;P20231;J3QTS8;A0A087WUI4;A0A087X1U0;Q15661-2;A0A0C4DGM1,TPSAB1;TPSB2,0,0,0,0,0,0,0,50
P40305;G3V4U3;Q9H4B1;A0A087WV79;A0A087WUJ8;A0A087WZR1;A8K0H0;A0A087X174,IFI27;P27,0,0,0,0,0,0,0,0
O14979;A0A087WUK2,HNRNPDL,645771,541056,501203,718568,534278,594368,524881,709838
Q3LXA3;A0A087WUL0;H0YCY6;Q3LXA3-2,DAK,140477,119680,89659,70961,123840,136226,110252,178727
A0A087WUL2,,11229,9383,6861,8841,0,0,0,0
A0A087WUM0;P57105,SYNJ2BP,331,4320,2723,3537,15168,18886,51447,7689
P07203;A0A087WUQ6,GPX1,1247616,694558,633059,275907,445421,729581,450959,644187
P62847;E7ETK0;A0A087WUS0;P62847-2;P62847-3;P62847-4,RPS24,3747490,2877901,1969989,1775330,2150643,1352654,1867267,2177330
A0A087WUS7;P01880,IGHD,0,0,0,0,0,0,0,0
O60841;A0A087WUT6,EIF5B,284176,301170,248123,179792,57385,70969,61163,87331
P47974;A0A087WUU9,ZFP36L2,35330,21696,45685,8969,5838,8138,6783,9494
A0A087WUW5,,0,0,0,0,0,0,0,0
Q9NXU5;A0A087WUW9;A0A0B4J222,ARL15,0,0,8287,3626,3332,0,5124,3519
Q16760-2;A0A087WUZ9;Q16760;H7BZR7,DGKD,0,0,0,0,0,0,0,0
Q99417;A0A087WV05,MYCBP,912299,360725,538415,734041,199454,262283,212235,274409
A0A087WV08;A0A075B6X2;B7Z8K6,TRDC,0,0,0,0,0,0,0,0
Q9NP08;F1T0J4;A0A087WV14,HMX1,0,0,0,0,0,0,0,0
A0A0A0MR14;A0A0A0MRF2;A0A087X1R2;A0A087X0P3;A0A087WV17;Q8IYS5-6;Q8IYS5-2;Q8IYS5-3;Q8IYS5-4;Q8IYS5-5;Q8IYS5;Q8IYS5-7,OSCAR,0,0,0,0,0,0,0,0
P02810;A0A087WYF5;A0A0A0MT31;A0A087WYT0;A0A087WV42;A0A087WZY1,PRH1,0,0,0,0,0,0,0,0
A0A087WV47;P01857;A0A0A0MS07,IGHG1,2271707,376496,146623,315336,70370,52708,951734,874735
P46013;A0A087WV66,MKI67,285027,448841,400728,300206,170,58,30,30
O75352;J3QS48;I3L295;J3KT75;J3QW43;J3QRD5;Q9H3L2;Q1HDL3;A0A087WV81;O75352-2;I3L1D2;J3KSI4;I3L4E0;J3KTK8;J3QQZ4;I3L405;I3L261,MPDU1;HBEBP2BPA,156690,165961,160387,267831,66227,88432,102460,96819
P62341;A0A087WVA1;Q6IAK0,SELT,30603,34049,42055,48147,28417,55982,36311,57693
A0A087WVD1,,0,0,2835,0,0,0,0,0
Q9NZM3;A0A087WVF7;Q9NZM3-2;Q9NZM3-4;Q9NZM3-3,ITSN2,17333,29041,22630,14782,17886,17176,15657,20900
O60238;H0YBC7;A0A087WVL5;O60238-2,BNIP3L,2620,13115,14079,9353,2888,2292,9016,6508
A0A087WVM2;Q8N6Q3;Q8N6Q3-2,CD177,840,1335,1173,86,0,172,40,0
P0C024;H3BRQ8;A0A087WVP7;P0C024-3;P0C024-2,NUDT7,0,0,0,7061,0,0,0,0
Q00610;A0A087WVQ6;Q00610-2,CLTC,1211503,1410840,1217294,857124,511372,487245,399390,594760
Q9BWW4;A0A087WVT6;Q9BWW4-2;Q9BWW4-3;Q9NW25,SSBP3,28799,20909,16080,9223,0,6221,0,0
O00512;A0A087WVU5,BCL9,896,0,0,0,396,553,556,772
A0A087WVW2,,0,0,0,0,0,0,0,0
Q5TI65;A0A087WVZ0;Q9Y5U8,BRP44L;MPC1,0,0,0,0,0,0,0,0
Q96AY4;A0A087WW06,TTC28,1262,0,0,0,0,1340,0,0
A0A087WW07;P35225,IL13,0,0,0,0,0,0,0,0
A0A087WW14,,697,5557,0,6440,4298,3163,2775,6578
Q96GU1;A0A087WW37;Q96GU1-2;Q5JUL1,PAGE5,0,0,0,0,0,0,0,0
P55198;A0A087WW39,MLLT6,1157,1305,1041,0,6203,1899,7845,10244
A0A087WW58;Q9C0D9,EPT1,0,10292,8075,10108,1166,0,1757,0
Q14114;Q14114-2;A0A087WW84;Q14114-4;Q14114-3;H0YEV6;E9PP15,LRP8,0,0,463,0,0,0,0,0
A0A087WW89;A0A0B4J1Y9,,315628,52103,33792,39255,0,4808,109364,122962
A0A087WWB6,,369,0,12774,3828,0,1355,2116,1470
A0A087WWC9;A0A087WXC3;A0A087WWU7;A0A087WYN7;A0A087WWT5;A0A087WX49;B9A064;A0A0B4J231;A0A087WU42;A0A087X2A1;A0A075B6K8;P0CG04,IGLL5;IGLC1,1246519,292586,83853,319919,93548,93507,1471750,1329059
A0A087WWF1;Q8WWX9,SELM,0,0,0,0,18426,16939,15229,38544
A0A087WWG8,,9680,0,0,34163,47649,73632,77828,105876
Q9NZM4;A0A087WWH3;Q9NZM4-2,GLTSCR1,1380,0,1601,0,1399,1594,1923,2319
A0A087WWI0;Q9H2I8,C10orf11,0,0,0,0,0,0,0,0
P40238;Q5JUY5;A0A087WWJ7;P40238-2,MPL,0,0,0,0,0,0,0,0
A0A087WWK8;Q6DN90;A0A0C4DGT3;Q6DN90-2,IQSEC1,15162,2345,1807,2191,2036,3138,968,2600
A0A087WWL5;Q86XI8,C19orf68,0,0,3059,0,0,0,0,0
A0A087WWL9,,213,0,126363,168267,4383,10128,14238,10598
Q9P2T1;A0A087WWM4;F8WAN9;Q9P2T1-3;H0YMB3;H0YK13,GMPR2,114407,73061,80785,78901,82959,79058,54352,97051
Q96T37;A0A087WWP4;Q96T37-4;Q96T37-2;Q96T37-3,RBM15,77679,76716,69711,64896,54612,60753,70357,79991
A0A087WWP8;Q5VWQ0;A0A0C4DGT8,RSBN1,28098,23045,24532,21569,47544,52046,51174,65528
A0A087WWQ5;P36575-2;P36575,ARR3,4228,2063,2453,1573,4020,9065,4728,8102
Q9BWK5;A0A087WWQ8,MRI,0,0,0,0,1891,0,1135,2648
Q96FV9;A0A087WWS1,THOC1,88763,83018,69514,60215,48955,66964,62860,78801
P01562;A0A087WWS6,IFNA1,0,0,0,0,0,0,0,0
A0A087WWU1;Q96Q45;Q96Q45-2;Q96Q45-5;Q96Q45-3;F2Z329,TMEM237,0,0,0,1481,0,0,0,0
O14595;A0A087WWW2;F8W1I1;F8VYL0,CTDSP2,0,0,1999,1413,0,621,2051,0
P63302;A0A087WX02;F8WB74,SEPW1,0,23688,0,0,60091,82131,39264,29795
A0A087WX18,,0,0,0,0,0,0,0,0
O14782;F8WAR6;F8WER6;A0A087WX26,KIF3C,0,0,0,0,0,0,0,0
Q8N5Z5;A0A087WX35;Q8N5Z5-2;H0Y731,KCTD17,0,0,0,0,0,825,0,1125
A0A087WX73,,0,0,0,0,0,0,0,0
Q9Y274;A0A087WXB8;C9IZL6,ST3GAL6,3213,0,0,0,0,0,0,2384
O95299;A0A087WXC5;E7ESZ7;O95299-2;C9J6X0;Q8N1B9,NDUFA10,255102,152853,215777,197654,205617,260636,209120,252651
Q96T83;A0A087WXD1,SLC9A7,2195,3708,3753,1690,0,0,0,0
A0A087WXE3;H3BS64;A8MYR2;Q9NZV6,MSRB1,0,0,0,0,0,0,0,0
A0A087WXI0;Q7Z6P3,RAB44,15,160,52,19,66,0,13,20
Q9Y6R7;A0A087WXI2,FCGBP,0,0,0,209,0,0,0,80
P12830;A0A087WXI5;P12830-2;A0A087WX17;A0A087WU43,CDH1,0,0,0,0,0,0,403,379
Q7Z3F1;A0A087WXK4,GPR155,0,0,0,0,0,246,261,0
Q9H4H8;A0A087WXK8;Q9H4H8-2,FAM83D,42602,15814,18678,0,0,0,0,0
P41439;A0A087WXL1;A0A087WYI3,FOLR3,0,0,0,0,0,0,0,0
A0A087WXL6,,39707,32720,29377,24396,31979,42851,35615,62128
A0A087WXL8;A0A075B6N8;P01860,IGHG3,159569,43534,16068,49956,1449,8520,144314,121004
P18621;A0A087WXM6;J3QQT2;J3KRX5;A0A0A6YYL6;P18621-3;J3QLC8;J3KRB3;A0A087WWH0;J3QS96;A0A0A0MRF8;P18621-2;A0A087WY81,RPL17,3509227,3027751,3346310,3317759,1770213,1703252,1242142,1930727
A0A087WXN8;A0A087X1C5;P10635;F5H6E7;H7BY38;E7ENE7;P10635-2,CYP2D6;CYP2D7P,0,0,0,0,0,0,0,0
Q765P7;A0A087WXN9,MTSS1L,0,0,0,0,0,0,0,0
A0A087WXP0,,428,0,0,0,0,0,0,285
A0A087WXR2;Q9Y365;F5H1Z6;F5H8G1;F5H8H3;F5H0V7;F5GY11,STARD10,0,0,0,2702,0,0,0,0
Q5TBB1;A0A087WXR7;Q5TBB1-2,RNASEH2B,97848,123588,90880,60410,30365,45093,35384,23561
Q9NWS8;A0A087WXU0;Q9NWS8-2;Q5SZ82,RMND1,7661,8424,14481,6293,3642,2458,5894,8323
Q8N344;A0A087WXW2;A0A087WZA4,MIER2,5691,5370,2815,3811,1380,2494,0,0
A0A087WXW5,,0,0,0,1962,3784,3595,0,4466
Q9NP79;A0A087WY55,VTA1,253995,145403,120287,174577,146783,149818,134686,200217
Q96CW1;Q96CW1-2;A0A087WY71;E9PFW3;C9JJ47,AP2M1,246090,274962,254416,203658,180522,178258,119368,219082
A0A087WY73;Q16378,PRR4,0,0,0,0,0,0,0,0
P61077;P61077-3;A0A087WY85;P61077-2;D6RFM0;D6RAH7;H9KV45;P62837-2;D6RAW0;D6RA11,UBE2D3;UBE2D2,1242560,1073178,715577,455519,165856,268187,142162,259991
Q8N5M9;A0A087WY88,JAGN1,16004,22261,18021,20091,28917,34158,34728,45854
A0A087WYN0;A0A087WY96;P31641,SLC6A6,1632,1132,5719,7516,0,0,157,0
A0A087WYC3;A0A087X144;A0A075B6S1,TRBC2,23034,54410,45696,20437,28361,55864,41079,42146
A0A087WYC5,,0,0,0,0,0,0,3544,0
Q03519;A0A087WYD6;Q03519-2,TAP2,26968,30514,44573,154482,40327,41357,96807,56354
A0A087WYE1,,1885,0,0,0,0,0,0,3296
A0A087WYE4;E9PS60;E9PJK3,PDE4DIP,0,0,0,0,0,0,0,0
A0A0B4J2B8;A0A087WYE8;A6NJS3,IGHV1OR21-1,0,0,0,0,0,0,0,0
Q6UXV4;A0A087WYF7;A0A087WUX8,APOOL,73864,69568,48396,38395,111669,110112,88510,124041
A0A087WYJ9,,0,0,0,0,4438,0,0,0
O75586;G3V4A5;A0A087WYL7,MED6,8972,0,6482,10747,5995,6328,7043,6125
A0A087WYL9;A0A087WWV8,,2282937,453659,197189,502144,147141,114638,1961848,1644422
A0A087WYM9,,1445900,0,0,5108,0,545,0,0
Q7Z478;A0A087WYN9,DHX29,17388,25473,29145,17919,6895,8543,5476,10579
Q8IZQ5;A0A087WYP2;H0YE28,SELH;C11orf31,636612,461568,637173,594401,1336164,1256570,1681581,1651716
A0A087WYR4,,159,0,0,0,0,0,0,0
Q9Y5X1;A0A087WYU1,SNX9,158967,123545,110628,51294,66229,80270,51608,74580
A6NCM1;A0A087WYV2,IQCA1P1,0,0,0,0,0,0,0,0
A0A087WYV9;A0A087X1F5,,67415,72092,52522,43901,36583,46622,75843,59429
A0A087WZ08;A0A087WXP6,,19601,26218,20203,11303,8564,35895,13135,33406
A0A087WZ13;E9PAU2;Q8IY67-2;Q8IY67,RAVER1,208865,208379,166184,140655,99503,103903,108205,129990
O94761;A0A087WZ30;A0A087X072,RECQL4,2601,1538,1017,1613,0,0,0,0
A0A087WZ39,,0,0,0,0,0,0,0,12866
Q8TCT7;Q8TCT7-4;A0A087WZ50;Q8TCT7-3;Q8TCT7-2;A0A087WZ93,SPPL2B,0,0,1988,0,954,767,1145,853
Q6P9G4;A0A087WZ54,TMEM154,0,0,7163,0,0,0,8256,0
A0A087WZ62;Q9H6U8;Q9H6U8-3;H0YCW6;Q9H6U8-2;Q9H6U8-4,ALG9,964,3179,3709,1926,2134,2501,1569,2185
A0A087WZB5,,0,0,0,0,0,0,0,0
P35680;E0YMJ8;A0A087WZC2;P35680-3,HNF1B,0,0,0,0,0,0,0,0
P02549;A0A087WZE4;P02549-2,SPTA1,2355,0,0,319,906,901,533,645
P29966;A0A087WZH7,MARCKS,10,0,0,0,78,50,145,214
A0A087WZH9;A0A0B4J1U0,,0,0,0,0,0,0,0,4939
A0A087WZM2;O00584;D6RHI9;D6REQ6;H0YAE9,RNASET2,120516,124459,92713,114558,260819,345762,217511,526906
Q8TBM7;A0A087WZM8;Q8TBM7-2;Q8TBM7-3,TMEM254,0,0,0,0,17007,14488,17815,16657
O43837;A0A087WZN1;O43837-2;A0A087X2E5,IDH3B,220059,278518,286669,302026,240159,238427,268285,305478
Q9UI36;A0A087WZP2;Q9UI36-2;Q9UI36-3;A0A087WY66;A0A087WZA7;Q9UI36-4,DACH1,0,0,0,0,0,0,0,0
Q86WG5;A0A087WZP7;Q86WG5-3,SBF2,2478,1611,1277,0,413,0,0,0
A0A087WZP9,,21332,4784,63386,108898,62961,66591,63213,85653
A0A087WZQ7;Q9H115;Q9H115-2;Q9H115-3,NAPB,0,0,654,935,0,0,0,0
A0A087WZR4;O75015;H0Y4U3;M9MML6,FCGR3B,0,0,88,128,0,0,737,0
Q9BY67;A0A087X0T8;A0A087X105;A0A087WZW4;A0A087X1W8;A0A0A0MTJ8;A0A087WZR6;X5DQS5;Q9BY67-2;Q9BY67-5;Q9BY67-4;Q9BY67-3;F5H125;H0YG94,CADM1,0,0,0,0,0,0,0,0
Q6UX53;A0A087WZT2,METTL7B,6961,0,0,5176,0,0,0,0
A0A087WZU9,,0,0,0,0,0,0,0,0
A0A087WZV8,,133739,164895,228850,229317,239246,389452,303017,419707
A0A087WZW8;A0A087X1V9;P01834;A0A075B6H6,IGKC,22378,0,0,0,0,0,39336,0
Q86UU0;A0A087WZX0;Q86UU0-4;Q86UU0-2;Q86UU0-3,BCL9L,320,0,300,1442,5022,14607,2674,6372
A0A087WZX1;A0A087WVM0;A0A075B6Q9;A0A087WUA9;P0CF51,TRGC1,0,0,0,18531,0,0,0,0
A0A087X010,,0,0,0,0,0,0,0,0
A0A087X011;Q9Y496;J3KPF9;E9PES4,KIF3A,486,11070,4019,3235,2605,4195,1292,4715
Q9Y3A5;A0A087X020,SBDS,239944,280963,219665,258372,301673,228653,242816,295590
A0A087X079,,0,0,0,0,0,0,0,0
O15484;A0A087X0C8;E7EV01,CAPN5;ASB2,0,0,0,0,619,606,596,2481
A0A087X0D5;P09668,CTSH,23868,12846,26243,4921,144,0,85,902
O14862;A0A087X0L4,AIM2,0,0,0,9053,3497,0,0,1852
A0A087X0M4;Q9BWU0,SLC4A1AP,79336,58490,51052,42813,28884,30539,27396,35180
A0A087X0M8;O00533;O00533-2,CHL1,0,0,9489,0,0,0,0,0
A0A087X0N2;O15243,LEPROT,0,0,0,0,0,0,0,0
A0A087X0N3;Q96MY1;A0A087WTU5;Q96MY1-2,NOL4L,0,0,0,0,0,0,0,0
A0A087X0P6;A0A075B6S2,IGKV2D-29,316931,67537,23393,23577,32885,43526,129375,123018
Q9BVL4;A0A087X0Q9,SELO,6549,3311,5508,6632,2770,7641,4341,5357
O15550;F5H6S1;F8W8R6;A0A087X0R0;H0Y6I7;H0Y5J3,KDM6A,0,2606,2137,0,1814,1667,2692,2696
Q9UMY4;A0A087X0R6;Q9UMY4-2;Q9UMY4-3,SNX12,200367,146237,114186,54173,55145,41469,52506,102976
P12109;A0A087X0S5,COL6A1,646,135,0,0,1039,0,0,0
P43003;A0A087X0U3;P43003-2;A0A087WT87,SLC1A3,0,0,0,0,0,0,0,0
P29728;A0A087X0V5;P29728-2,OAS2,180796,123440,123829,171566,104028,94018,118663,137852
A0A087X0W7;P49753;A0A087WT95;P49753-2,ACOT2,65947,40069,50125,67171,82409,127679,86167,118360
Q8NF86;I3L3D7;A0A087X0Z6,PRSS33,0,0,0,209,270,0,0,0
Q15155;A0A087X117;A0A087WW46,NOMO1,0,0,520,1211,802,298,1064,976
Q8NF64;E7EWM3;A0A087X127;Q8NF64-3;Q8NF64-2,ZMIZ2,6229,4188,0,716,726,0,0,2164
A0A087X130,,0,3028,0,0,0,0,0,0
Q5T6S3;A0A087X169;Q5T6S3-2;B0QZ72,PHF19,35808,28887,21855,42818,0,0,0,0
Q9UBW5;A0A087X188;F5H0W4;A0A0A0MT10;Q9UBW5-2,BIN2,132665,100649,97642,129692,178021,240221,200969,255002
A0A087X1A8;P54252;P54252-2;D3VVH9;G3V3R7;F5H211;P54252-4;G3V328;A0A087WXY4;C9JQV6;P54252-3;G3V3T6;G3V4U9;A0A0A0MS38;E9PJN5;G3V2G1;S4R399,ATXN3,53657,50525,43891,21442,24462,28032,28243,40972
H3BU88;A0A087X1C1;P0CG35;P0CG34,TMSB15B;TMSB15A,0,0,0,0,0,25535,0,24896
P53365;A0A087X1E4;P53365-3;P53365-2,ARFIP2,4454,40471,14803,10032,4230,3204,9444,5927
O60613;A0A087X1G7;A0A0B4J1S4,15-Sep,144767,157152,156117,100601,72764,97692,96060,149610
Q6ZW13;A0A087X1J0;R4GNF0,C16orf86,0,0,0,0,1177,0,870,1515
P22352;A0A087X1J7,GPX3,69253,9786,11477,21200,0,1954,43622,57462
A0A087X1K2,,0,0,0,0,0,0,0,0
Q9Y2Y9;A0A087X1K6,KLF13,31794,15455,7496,36303,8867,10037,8630,13276
P09326;A0A087X1S7,CD48,330776,316607,335223,255820,250614,363658,379568,428165
A0A087X1U6,,7766,7055,2037,3183,52046,50564,89795,90781
Q96RT8;Q96RT8-2;A0A087X1Z1,TUBGCP5,840,1425,1144,1510,1477,739,759,1889
Q9UL46;A0A087X1Z3,PSME2,4233812,2865176,2833913,3110668,1758727,1957916,1648999,2563444
Q8TCG1;A0A087X211;Q8TCG1-2,KIAA1524,65563,67891,72667,40462,3893,349,2645,57
Q6PCB5;A0A087X239;Q6PCB5-2,RSBN1L,16733,10375,9295,7026,13830,18375,14845,21307
Q2M389;A0A087X256;Q2M389-2,KIAA1033,28366,51763,45642,25686,31427,29567,22473,42767
Q969V6;E7ER32;A0A087X287;W0Z7M9;B0QY83;A0A087WU73,MKL1;mkl1,4138,4032,7017,872,1104,1728,915,375
Q9NNW5;A0A087X295;E9PDU5,WDR6,28048,41047,29595,19998,6301,5408,4125,8028
