Majority protein IDs,Gene names,CopyNumber_T4.naive_01_activated,CopyNumber_T4.naive_02_activated,CopyNumber_T4.naive_03_activated,CopyNumber_T4.naive_04_activated,CopyNumber_T4.naive_01_steady-state,CopyNumber_T4.naive_02_steady-state,CopyNumber_T4.naive_03_steady-state,CopyNumber_T4.naive_04_steady-state
P11226,MBL2,0,0,0,0,0,10559,12955,17735
P11233;H7C3P7;C9JPE8,RALA,117495,131760,112501,62148,27272,49542,45579,39499
P11234;P11234-2;C9J6B1;C9JQB3,RALB,218742,187725,266770,207511,88413,121345,53448,93673
P11274;P11274-2,BCR,10914,11009,10619,7783,20531,16077,13285,19165
P11277-2;P11277-3,SPTB,911,0,204,23,368,124,28,303
P11279;P11279-2,LAMP1,214684,72798,208797,196898,332150,314628,406700,529895
P11309;P11309-2,PIM1,296,5099,5478,3156,0,0,0,0
P11310;Q5T4U5;P11310-2;B7Z9I1,ACADM,523347,374946,310526,331000,203407,295913,212114,359317
P11387,TOP1,360253,446543,454272,392166,243699,210531,299820,289619
P11388;P11388-2;P11388-3;P11388-4,TOP2A,158734,272680,229031,310678,41,1138,2990,84
P11413;P11413-3;P11413-2;E9PD92,G6PD,1007517,978445,689089,426669,408012,447459,271504,535666
P11441;Q5HY81,UBL4A,327526,241067,287376,88082,40952,48258,27628,77662
P11473-2;P11473;F8VRJ4,VDR,3663,10522,0,2865,0,0,0,0
P11474;P11474-2,ESRRA,0,0,0,2413,836,0,1113,0
P11498,PC,10445,9957,7430,3967,3234,6450,5409,5657
P11586,MTHFD1,1267082,1137740,1092234,599190,134940,111703,79869,162589
P11597;P11597-2;H3BRJ9,CETP,1434,2037,1253,1056,646,262,14079,4773
P11678,EPX,115,269,17,36,22,5,10,12
P11717,IGF2R,43663,32148,40060,32956,21000,16182,15726,17708
P11766;H0YAG8,ADH5,1001206,730060,294856,411375,728477,777974,299198,828955
P11802;F8VYH9;F8VTV8;F8VWX7;F8VZZ0;F8VZ51;P11802-2,CDK4,34355,27301,37547,33176,5917,2394,2742,2574
P11831,SRF,3167,3043,3862,3313,8307,5972,5916,7999
P11908;P11908-2,PRPS2,224407,161899,127612,153402,57680,85073,52896,88556
P11912,CD79A,0,0,0,0,0,230,22,157
P11940;E7EQV3;E7ERJ7;P11940-2;A0A087WTT1,PABPC1,2499089,2415927,1858938,2016253,517698,583230,512404,664034
P12004,PCNA,4613672,2614487,2484834,3236493,170156,198953,176465,253391
P12036;P12036-2,NEFH,0,0,0,67,0,0,0,0
P12074,COX6A1,403309,91952,131400,192739,98709,82065,14098,56474
P12081;P12081-4;B4DDD8;B3KWE1;P12081-2;P12081-3;B4E1C5;E7ETE2,HARS,568053,619571,508502,353318,315881,369182,297532,402216
P12111;P12111-2;E7ENL6;P12111-4;P12111-5;P12111-3,COL6A3,0,2238,0,271,0,0,0,0
P12235;V9GYG0,SLC25A4,6321,12147,6815,6442,41709,38438,17075,21591
P12236,SLC25A6,807994,975599,642699,702708,297726,303245,374914,417904
P12268,IMPDH2,2384321,1930356,1552556,1105640,208606,198929,137110,266638
P12270,TPR,328233,266254,227797,173644,113148,121662,133472,138912
P12273,PIP,23935,6668,4376,0,0,0,0,0
P12277;G3V4N7,CKB,1934,3711,2004,743,0,0,0,57
P12314;Q92637;A6NKC4;A0A0A0MRM3;A0A087WXZ6;Q92637-3;P12314-2,FCGR1A;FCGR1B;FCGR1C,10661,4172,0,0,12875,0,0,0
P12318;P12318-2,FCGR2A,0,0,0,0,0,2758,0,6831
P12319;E9PRN1,FCER1A,0,0,0,0,0,0,0,0
P12429,ANXA3,131,697,177,82,879,328,1147,60
P12532;P12532-2;C9JSQ1;F8WCN3,CKMT1A;CKMT1B,0,0,0,0,2561,0,0,0
P12544;P12544-2,GZMA,2048,1654,4579,6373,41,0,36,0
P12724,RNASE3,0,20,0,0,51,67,73,0
P12755,SKI,3945,0,0,2366,918,929,1158,1113
P12757;P12757-5;P12757-3,SKIL,0,0,0,0,2283,0,2276,0
P12814,ACTN1,0,0,0,555,1347,2143,4129,3147
P12814-3,ACTN1,612682,547919,599355,513484,689947,1018156,979402,1130560
