ENTREZ_GENE_ID,Express
1,0
10,0
100,1
1000,0
10000,0
100008586,0
100008587,0
100009676,0
10001,0
10002,0
10003,0
100033411,0
100033422,0
100033423,0
100033437,0
100033440,0
100033441,0
100033442,0
100033443,0
100033444,0
100033445,0
100033446,0
100033447,0
100033448,0
100033449,0
100033450,0
100033451,0
100033453,0
100033454,0
100033455,0
100033456,0
100033458,0
100033460,0
100033603,0
100033799,0
100033800,0
100033801,0
100033802,0
100033803,0
100033804,0
100033805,0
100033806,0
100033807,0
100033808,0
100033809,0
100033810,0
100033811,0
100033812,0
100033813,0
100033814,0
100033815,0
100033816,0
100033817,0
100033818,0
100033819,0
100033822,0
100036564,0
100036565,0
100037417,0
100038246,0
10004,0
100048912,0
100049587,0
100049716,0
10005,0
10006,1
10007,1
100073347,0
10008,0
10009,0
100093630,0
100093631,0
100093698,0
1001,0
10010,0
100101115,0
100101116,0
100101118,0
100101120,0
100101121,0
100101267,0
100101268,0
100101467,0
100101629,0
100101938,0
10011,1
100113379,0
100113380,0
100113386,0
100113403,0
100113404,0
100113407,0
100124412,0
100124534,0
100124535,0
100124536,0
100124537,0
100124538,0
100124539,0
100124540,0
100124541,0
100124700,0
100125288,0
100125556,0
100126270,0
100126296,0
100126297,0
100126301,0
100126302,0
100126303,0
100126304,0
100126306,0
100126307,0
100126308,0
100126309,0
100126310,0
100126311,0
100126313,0
100126314,0
100126315,0
100126316,0
100126317,0
100126318,0
100126319,0
100126320,0
100126321,0
100126323,0
100126324,0
100126325,0
100126326,0
100126327,0
100126328,0
100126329,0
100126330,0
100126331,0
100126332,0
100126333,0
100126334,0
100126335,0
100126336,0
100126337,0
100126338,0
100126339,0
100126340,0
100126341,0
100126342,0
100126343,0
100126345,0
100126346,0
100126347,0
100126348,0
100126349,0
100126350,0
100126351,0
100126352,0
100126354,0
100126355,0
100126356,0
100126572,0
100126791,0
100126793,0
100127206,0
100127888,0
100127950,0
100127967,0
100127983,0
100128006,0
100128025,0
100128059,0
100128071,0
100128098,0
100128108,0
100128126,0
100128139,0
100128164,0
100128191,0
100128233,0
100128239,0
100128264,0
100128310,0
100128317,0
100128325,0
100128327,0
100128385,0
100128386,0
100128398,0
100128420,0
100128494,0
100128505,0
100128531,0
100128553,1
100128554,0
100128568,0
100128569,0
100128590,0
100128640,0
100128675,0
100128682,0
100128688,0
100128714,0
100128731,0
100128750,0
100128770,0
100128782,0
100128788,0
100128811,0
100128881,0
100128882,0
100128893,0
100128905,0
100128908,0
100128927,0
100128946,0
100128966,0
100129029,0
100129060,0
100129066,0
100129075,0
100129128,0
100129129,0
100129138,0
100129175,0
100129195,0
100129196,0
100129213,0
100129215,0
100129216,0
100129223,0
100129239,0
100129250,0
100129271,0
100129278,0
100129307,0
100129345,0
100129347,0
100129361,0
100129407,0
100129427,0
100129434,0
100129461,0
100129480,0
100129482,0
100129503,0
100129515,0
100129518,0
100129520,0
100129534,0
100129540,0
100129543,1
100129550,0
100129583,0
100129597,0
100129620,0
100129654,0
100129662,0
100129669,0
100129716,0
100129722,0
100129724,0
100129726,0
100129781,0
100129792,0
100129794,0
