ENTREZ_GENE_ID,prote_exp,prote_top,bulk_exp,bulk_top,Express
100126297,,,0.0,0.0,0
100126301,,,0.0,0.0,0
100126302,,,0.0,0.0,0
100126303,,,0.0,0.0,0
100126304,,,0.0,0.0,0
100126306,,,0.0,0.0,0
100126307,,,0.0,0.0,0
100126308,,,0.0,0.0,0
100126309,,,0.0,0.0,0
100126310,,,0.0,0.0,0
100126311,,,0.0,0.0,0
100126313,,,0.0,0.0,0
100126314,,,0.0,0.0,0
100126315,,,0.0,0.0,0
100126316,,,0.0,0.0,0
100126317,,,0.0,0.0,0
100126318,,,0.0,0.0,0
100126319,,,0.0,0.0,0
100126320,,,0.0,0.0,0
100126321,,,0.0,0.0,0
100126323,,,0.0,0.0,0
100126324,,,0.0,0.0,0
100126325,,,0.0,0.0,0
100126326,,,0.0,0.0,0
100126327,,,0.0,0.0,0
100126328,,,0.0,0.0,0
100126329,,,0.0,0.0,0
100126330,,,0.0,0.0,0
100126331,,,0.0,0.0,0
100126332,,,0.0,0.0,0
100126333,,,0.0,0.0,0
100126334,,,0.0,0.0,0
100126335,,,0.0,0.0,0
100126336,,,0.0,0.0,0
100126337,,,0.0,0.0,0
100126338,,,0.0,0.0,0
100126339,,,0.0,0.0,0
100126340,,,0.0,0.0,0
100126341,,,0.0,0.0,0
100126342,,,0.0,0.0,0
100126343,,,0.0,0.0,0
100126345,,,0.0,0.0,0
100126346,,,0.0,0.0,0
100126347,,,0.0,0.0,0
100126348,,,0.0,0.0,0
100126349,,,0.0,0.0,0
100126350,,,0.0,0.0,0
100126351,,,0.0,0.0,0
100126352,,,0.0,0.0,0
100126354,,,0.0,0.0,0
100126355,,,0.0,0.0,0
100126356,,,0.0,0.0,0
100126572,,,0.0,0.0,0
100126791,,,0.0,0.0,0
100126793,,,0.0,0.0,0
100127206,,,0.0,0.0,0
100127888,,,0.0,0.0,0
100127950,,,0.0,0.0,0
100127967,,,0.0,0.0,0
100127983,,,0.0,0.0,0
100128006,,,0.0,0.0,0
100128025,,,0.0,0.0,0
100128059,,,0.0,0.0,0
100128071,,,0.0,0.0,0
100128098,,,0.0,0.0,0
100128108,,,0.0,0.0,0
100128126,,,0.0,0.0,0
100128139,,,0.0,0.0,0
100128164,,,0.0,0.0,0
100128191,,,0.0,0.0,0
100128233,,,0.0,0.0,0
100128239,,,0.0,0.0,0
100128264,,,0.0,0.0,0
100128310,,,0.0,0.0,0
100128317,,,0.0,0.0,0
100128325,,,0.0,0.0,0
100128327,,,0.0,0.0,0
100128385,,,0.0,0.0,0
100128386,,,0.0,0.0,0
100128398,,,0.0,0.0,0
100128420,,,0.0,0.0,0
100128494,,,0.0,0.0,0
100128505,,,0.0,0.0,0
100128531,,,0.0,0.0,0
100128553,,,1.0,1.0,1
100128554,,,0.0,0.0,0
100128568,,,0.0,0.0,0
100128569,,,0.0,0.0,0
100128590,,,0.0,0.0,0
100128640,,,0.0,0.0,0
100128675,,,0.0,0.0,0
100128682,,,0.0,0.0,0
100128688,,,0.0,0.0,0
100128714,,,0.0,0.0,0
100128731,,,0.0,0.0,0
