uniprot,symbol,naiveB_S1R1,naiveB_S1R2,naiveB_S1R3,naiveB_S1R4
Q9UI14;M0R3D4;M0R1H9,RABAC1,82598,47518,62961,25453
M0R3H8,,0,0,0,0
Q6NTF7;M4W6S4;Q6NTF7-2;Q6NTF7-3;A0A087WZI3;Q6NTF7-4,APOBEC3H,7429,6616,5100,1754
M9RSF4;Q92985-4;Q92985;Q92985-2;E9PSE3,IRF7,20319,260,268,222
O00115;O00115-2;K7ENE5,DNASE2,43408,21892,0,24948
O00116,AGPS,222040,204077,156520,147015
O00139;O00139-4;O00139-5;O00139-1,KIF2A,191963,210216,170505,172172
O00139-2,KIF2A,13947,3388,10478,4150
O00148;O00148-2;O00148-3;K7EQN7,DDX39A,992344,1064678,986571,434630
O00151,PDLIM1,1591004,2178318,1474810,987483
O00154,ACOT7,297917,263394,157627,131500
O00154-4;O00154-2;O00154-3,ACOT7,0,14242,0,5243
O00159;O00159-3;F5H6E2,MYO1C,511036,542196,354798,261876
O00160,MYO1F,131813,144917,136913,104639
O00161;O00161-2;H3BM38;H3BNE1;H3BR18;H3BPJ0;H3BV99,SNAP23,1102420,758863,740376,405357
O00165;O00165-2;O00165-5;O00165-3;E9PIQ7;Q5VYD6,HAX1,45190,21002,18559,18194
O00170;E9PMH2,AIP,902581,1141927,727503,714805
O00175,CCL24,0,0,0,0
O00178,GTPBP1,201452,202716,208111,127947
O00182;O00182-2,LGALS9,121410,95823,234480,247362
O00186,STXBP3,153573,192868,144264,156810
O00187;O00187-2,MASP2,0,0,0,0
O00193;E9PM92,SMAP;C11orf58,417381,261649,382587,128032
O00194,RAB27B,0,0,0,416
O00203;O00203-3,AP3B1,222795,197161,216340,185856
O00206;O00206-2;O00206-3,TLR4,0,13147,0,0
O00213-2;O00213;J3KPL8;A0A075B7G8;O00213-3;A0A087X0V7;A0A087WYH9;O00213-4;O00213-6;O00213-5,APBB1;TIGD4,9984,11990,6556,4284
O00214-2;O00214;F6V2D4;E9PN19;Q5T3P9;B1ANM0;H7BXD8,LGALS8,43383,61042,35711,49576
O00217;E9PPW7;E9PKH6;E9PN51;F8W9K7,NDUFS8,316259,206212,259148,149620
O00221;Q7LC14;A0A087WVX9,NFKBIE,495077,272300,534630,291523
O00231;O00231-2,PSMD11,1658353,2017359,1267424,925692
O00232;O00232-2,PSMD12,590482,689785,506677,291593
O00233;J3KN29;F5H5V4;F5GX23;O00233-2;F5H7X1,PSMD9,393729,492706,380213,256002
O00241;H3BRP9;H3BV43;H3BML4;H9KV29;O00241-2,SIRPB1,0,0,26282,0
O00244;E5RIM7;E5RGN3,ATOX1,2412874,1945549,1347012,1065423
O00255-2;O00255;O00255-3,MEN1,18312,24576,37222,17383
O00257;O00257-3,CBX4,19450,18208,37542,38749
O00258;B7Z1T1;O00258-2;H7BYE5,WRB,0,0,0,0
O00264;O00264-2,PGRMC1,214195,157595,199338,220402
O00267,SUPT5H,332100,384545,264391,224088
O00267-2,SUPT5H,0,0,0,0
O00268,TAF4,6938,22132,13359,17795
O00273,DFFA,359496,324946,258851,134520
O00273-2,DFFA,10018,6136,5614,2254
O00287,RFXAP,18752,0,19221,10725
O00291;O00291-3;O00291-4,HIP1,610,1292,599,673
O00299,CLIC1,14594821,13643871,10825127,4797020
O00303,EIF3F,1181961,1258554,948395,978591
O00308;O00308-2,WWP2,8335,7934,12772,7355
O00311,CDC7,4541,3830,0,0
O00329,PIK3CD,180648,211840,145477,114535
O00330;O00330-3;H0YD97;O00330-2,PDHX,162314,202279,144117,110505
O00391;O00391-2,QSOX1,1241,597,579,132
O00398,P2RY10,0,0,0,0
O00399;E5RK00,DCTN6,137408,113927,80455,50499
O00400,SLC33A1,0,0,0,35831
O00408-4;O00408-3;O00408;E9PEF1;O00408-2;O00408-5;O00408-6,PDE2A,0,0,0,0
O00409;O00409-2,FOXN3,0,8242,0,5992
O00410;O00410-3;H0Y8C6,IPO5,1427208,1324337,1283462,872125
O00411,POLRMT,2733,1658,12779,34046
O00418;H3BRH4,EEF2K,11992,47408,13013,24929
O00421;O00421-2;C9JP23,CCRL2,0,0,0,0
O00425,IGF2BP3,5966,0,0,5178
O00429;O00429-3;O00429-6;O00429-7,DNM1L,654592,556048,505475,344007
O00429-2;O00429-4;O00429-8;G8JLD5;O00429-5,DNM1L,0,0,3362,0
O00442;O00442-2,RTCA,220313,301349,179320,147369
O00443,PIK3C2A,3584,3149,0,4555
O00453;O00453-10;A0A0A6YYA5;A0A0A6YYA6;O00453-6;O00453-4;O00453-13;O00453-3;O00453-2;O00453-11,LST1,0,0,0,0
O00458;O00458-2,IFRD1,0,0,0,0
O00459;E9PFP1,PIK3R2,2910,7368,3273,6446
O00462;E9PFW2,MANBA,12095,6366,7375,4611
O00463;O00463-2;O00463-3,TRAF5,100165,182315,64804,17749
O00468-6;O00468-3;O00468-7;O00468;O00468-5;O00468-4;A0A087X208;O00468-2,AGRN,0,0,0,0
O00471;A0A0A0MSI8,EXOC5,63964,84810,65761,49055
O00472;O00472-2,ELL2,0,0,0,0
O00478;O00478-2;C9JZT5,BTN3A3,12948,2262,13849,7084
O00479,HMGN4,70409,1603558,88575,2952570
O00481;O00481-3,BTN3A1,0,0,0,0
O00483,NDUFA4,1093061,1999105,658085,1234553
O00487,PSMD14,1362140,953849,812239,540163
O00488;A9J4F5,ZNF593,27258,0,35668,0
O00499;O00499-2;O00499-6;O00499-3;O00499-5;O00499-9;O00499-7;O00499-4;O00499-11;O00499-10;O00499-8,BIN1,266549,293337,167989,180299
O00505,KPNA3,507539,418676,528335,291191
O00506;O00506-3;O00506-2;H7C279;C9J6L2;C9JCC0;C9J232;C9JDH9,STK25,15167,11216,13150,13772
O00507;O00507-2,USP9Y,0,0,55265,0
O00519,FAAH,0,0,0,0
O00522;O00522-3;A0A0B4J2C7;O00522-2,KRIT1,38754,8784,6421,14818
O00534,VWA5A,38419,39235,31831,12307
O00541-2,PES1,0,0,0,0
O00548,DLL1,0,0,0,0
O00555;O00555-6;O00555-4;O00555-7;O00555-5;O00555-3;O00555-2,CACNA1A,164,0,0,0
O00555-8;K7EKF7;A0A087WW63;K7EQ95,CACNA1A,0,0,0,0
O00560;B4DHN5;E9PBU7,SDCBP,147932,254182,189592,153173
O00560-2;G5EA09,SDCBP,6843,10932,7790,6602
O00560-3,SDCBP,0,0,0,0
O00562;O00562-2,PITPNM1,7286,5484,0,4711
O00566,MPHOSPH10,104915,101964,92134,106176
O00567,NOP56,1799812,1706770,1994283,1928793
O00574,CXCR6,0,3038,0,0
O00587;O00587-2,MFNG,0,0,0,0
O00592;O00592-2,PODXL,0,0,0,2204
O00602;A0A087WVE2,FCN1,0,701,0,0
O00625,PIR,0,7182,0,0
O00626,CCL22,40610,0,0,11409
O00628;O00628-2,PEX7,0,0,0,0
O00629,KPNA4,314095,309685,246990,164259
O00635,TRIM38,66326,71310,86809,89787
O00716;O00716-2,E2F3,0,0,0,0
O00743;O00743-2;O00743-3,PPP6C,411429,744310,394777,444905
O00754;O00754-2,MAN2B1,112054,124709,77939,48731
O00757,FBP2,6500,2421,2695,2739
O00762;O00762-2;O00762-4,UBE2C,117568,414186,93330,83743
O00764;F2Z2Y4;O00764-3;O00764-2,PDXK,604161,576431,740590,485264
O00767,SCD,26940,17530,9848,0
O14494;O14494-2,PPAP2A,0,0,0,0
O14497;O14497-2;O14497-3;H0Y488,ARID1A,118331,103192,88133,58208
O14498;H0YL90;H0YN67,ISLR,0,0,0,8519
O14503,BHLHE40,0,12401,16997,5934
O14508;F8VRV3;F8VU91,SOCS2,0,0,0,0
O14519;O14519-2;F5GZF0,CDK2AP1,68764,523732,0,260342
O14521-2;O14521,SDHD,142837,0,130513,70570
O14523;O14523-2;E9PK05,C2CD2L,0,1829,0,1374
O14524;O14524-2,TMEM194A,0,0,0,1517
O14526;A0A0C3SFZ9;M0QZI3;O14526-2;O14526-3,FCHO1,7647,10179,11166,24601
O14530;O14530-2;B8ZZX4;F8WCJ3,TXNDC9,401589,385678,213319,144565
O14543,SOCS3,0,0,0,0
O14545;F8VNX8,TRAFD1,133135,110122,87185,44457
O14548;E5RJZ1;H0YBD2,COX7A2L,234805,134317,247134,116085
O14561;H3BNK3,NDUFAB1,1145859,1000319,1335353,694577
O14569;U3KQU4,CYB561D2,26376,0,33144,47768
O14576;O14576-4;O14576-3;O14576-5;O14576-2;E5RFE1;C9J3E7;E5RJ75,DYNC1I1,0,0,0,2851
O14578-4;O14578,CIT,7075,3231,7086,6809
O14579;A0A087X0I4;O14579-2;O14579-3,COPE,1381687,1445634,1027973,955859
O14593;O14593-2;A0A024R7P0;O14593-3;K7ENE6,RFXANK,17478,19909,16919,38215
O14602;A6NJH9,EIF1AY,76270,137149,0,113606
O14613,CDC42EP2,0,0,0,0
O14617-2,AP3D1,0,0,0,0
O14617-5;O14617;O14617-4;O14617-3,AP3D1,98319,101710,87949,81526
O14625,CXCL11,0,0,0,0
O14626,GPR171,21511,0,13532,7421
O14638;F8W6H5,ENPP3,50,82,37,39
O14639-5;O14639-3;O14639-4;J3QSX6,ABLIM1,0,0,0,0
O14639-6,ABLIM1,28494,25576,26207,12213
O14646;O14646-2,CHD1,44770,36018,35979,32861
O14647;O14647-2,CHD2,39995,20218,41566,50462
O14656,TOR1A,50945,78350,52839,50254
O14657,TOR1B,46063,58067,65801,10926
O14662-2;O14662-4;C9K0W8;O14662-6;Q96NX8;F8W9Z6;B7ZBM8,STX16,24287,46022,25788,26673
O14672;O14672-2,ADAM10,65363,30529,54590,40786
O14678;H0YJ78,ABCD4,0,0,2787,0
O14681;E9PL33;E9PM05;E9PS58;E9PK61;O14681-3;E9PLB8,EI24,3343,4743,4222,0
O14684,PTGES,0,0,0,0
O14686;O14686-3,KMT2D,1810,1385,1724,1549
O14713;A8MPU2;C9JBU8;O14713-2;C9J6Y2;C9J0J6;C9JZ07;G3V1A3;C9J5T5,ITGB1BP1,21806,25560,16364,18451
O14715;J3KQ37,RGPD8,0,0,0,0
O14727;O14727-4;C9JLV4;O14727-5,APAF1,30101,27136,13295,22335
O14727-3;O14727-2,APAF1,0,0,0,0
O14732;O14732-2;K7ELF8,IMPA2,10777,2722,6349,1406
O14733;O14733-3;O14733-4;O14733-2,MAP2K7,51511,41624,47760,36710
O14734;H7C5A7;E9PJN0;E9PRD4,ACOT8,111554,115987,151203,64071
O14735;B3KY94;O14735-3,CDIPT,39573,26493,71052,67046
O14737,PDCD5,1738550,1865371,1275153,1144259
O14744;O14744-2;O14744-5;O14744-3;O14744-4,PRMT5,454805,444772,399476,287908
O14745;O14745-2;J3QRP6,SLC9A3R1,677815,778807,620525,341010
O14757;J3KN87;O14757-3;E7EPP6;O14757-2,CHEK1,41553,95650,49395,68213
O14772;A0A0A0MRP2;O14772-2,FPGT,7757,3567,0,17077
O14773;A0A0C4DGZ9;O14773-2,TPP1,205545,299194,205767,168402
O14775-2;O14775;O14775-3,GNB5,0,0,2698,0
O14776;O14776-2;G3V220,TCERG1,282591,291194,274984,221250
O14777,NDC80,83539,116459,62920,26986
O14786;E9PEP6;E7EX60;Q5T7F0;O14786-3;O14786-2;Q5JWQ4;Q5JWQ6,NRP1,0,0,0,0
O14787-2;O14787;A0A075B780,TNPO2,110448,107363,74067,63250
O14788;O14788-2;O14788-3,TNFSF11,0,0,0,0
O14791-2;O14791;O14791-3,APOL1,0,0,0,0
O14796;O14796-2,SH2D1B,0,0,0,0
O14798,TNFRSF10C,0,0,0,0
O14802,POLR3A,56274,47889,48628,29225
O14807,MRAS,0,0,0,0
O14818;O14818-4,PSMA7,3792265,3211842,2917705,1178701
O14818-2;H0Y586,PSMA7,0,84673,0,35558
O14827;D6RAS9,RASGRF2,5389,12733,2307,0
O14828;O14828-2,SCAMP3,348635,367656,412532,197703
O14836;O14836-2;J3QR67;E7ER05;O14836-3,TNFRSF13B,20545,11410,0,0
O14841,OPLAH,0,32897,4968,3094
O14867,BACH1,0,1818,0,1393
O14874;O14874-2;O14874-3;H3BS02;H3BTL2,BCKDK,36427,23375,31484,29471
O14879,IFIT3,0,0,3862,308
O14880;Q5VV89,MGST3,291924,126691,176203,236291
O14893;O14893-3;O14893-2;H0YEL0;G5EA29,GEMIN2,52928,45655,28845,11856
O14907;A0A087X282,TAX1BP3,64991,36612,67419,0
O14908;O14908-2,GIPC1,22952,23794,16756,0
O14910;H0YIA8;H0YI92,LIN7A,0,0,0,0
O14917;O14917-2,PCDH17,8190,745,253,126943
O14920;O14920-4;G3V105,IKBKB,193895,236644,153109,120129
O14925;Q5SRD1;B4DDK6,TIMM23;TIMM23B,54551,75671,65224,32406
O14929;O14929-2,HAT1,851408,844977,688517,301121
O14931-3;O14931-2;O14931;O14931-6;O14931-5;O14931-4,NCR3,0,1183,0,1286
O14933;O14933-2,UBE2L6,531583,418168,263668,196463
O14936;O14936-3;O14936-4;O14936-6;O14936-2;Q5JS74;Q5JS72;O14936-5,CASK,9176,4396,14522,26285
O14939;O14939-4;I3L222;I3L1F3;O14939-3,PLD2,0,0,0,0
O14948;O14948-4;O14948-2,TFEC,0,21458,0,0
O14949,UQCRQ,613048,924833,874451,1878594
O14950,MYL12B,0,0,0,0
O14957,UQCR11,0,0,19351,0
O14964;O14964-2,HGS,197882,173204,153120,80418
O14965,AURKA,15954,14125,15893,10625
O14966;O14966-2;O14966-3,RAB29,408581,407726,337260,382655
O14967;D6RAZ4,CLGN,0,0,0,0
O14972;O14972-2;A8MTY9;A8MY26,DSCR3,100896,106591,95928,82167
O14974;O14974-2;O14974-3;O14974-5,PPP1R12A,274666,234501,210918,139849
O14974-4;F8VZN8,PPP1R12A,148,3546,157,0
O14975;O14975-2;G3V1R7,SLC27A2,1713,356,1732,2362
O14976;O14976-2,GAK,128637,124163,106676,77686
O14979-3;O14979-2,HNRNPDL,18224,15176,0,4043
O14980,XPO1,919532,1047712,865832,646958
O14986;O14986-3;O14986-2,PIP5K1B,0,0,0,0
O15013;O15013-4;O15013-5;O15013-6;H0YAN8;O15013-7,ARHGEF10,0,0,0,0
O15014,ZNF609,0,0,1809,1834
O15015;O15015-2,ZNF646,294,568,338,1556
O15031,PLXNB2,493,11383,2496,1933
O15037,KHNYN,4404,5805,3726,7394
O15040;O15040-2,TECPR2,565,310,514,240
O15042;O15042-2;E7ET15;O15042-3,U2SURP,206711,262174,203120,205940
O15047,SETD1A,21262,16454,16579,15534
O15049,N4BP3,0,0,0,0
O15050,TRANK1,24383,20375,10704,8565
O15056;O15056-2;O15056-3;E7ER60,SYNJ2,10083,14177,15984,7334
O15061,SYNM,2655,0,3527,0
O15066,KIF3B,6190,13637,6730,13587
O15067,PFAS,702818,696226,748686,471246
O15079;O15079-2,SNPH,0,0,0,0
O15084;O15084-1;O15084-4;O15084-2;B4DIW9,ANKRD28,43526,18621,22160,14744
O15085;O15085-2,ARHGEF11,0,0,0,0
O15091;O15091-4,KIAA0391,23567,37491,10579,19775
O15111,CHUK,47564,49472,45675,41261
O15116,LSM1,318567,373109,489590,381387
O15117-2;O15117-3;O15117,FYB,1127,7299,10386,2595
O15118;K7EQ23;O15118-2,NPC1,3350,1725,2852,4174
O15120;O15120-2,AGPAT2,0,0,7266,0
O15121,DEGS1,9600,6318,12405,33053
O15126;O15126-2;A0A087WXB0,SCAMP1,25034,8896,22852,24964
O15127;H3BV04;H3BN93;H3BUB6;H3BPL9,SCAMP2,220362,260187,162638,113460
O15131,KPNA5,0,0,0,0
O15143,ARPC1B,6957283,7876529,6162403,2914388
O15144,ARPC2,10907348,8868326,9861926,4962754
O15145,ARPC3,6805277,7019948,5967848,2107107
O15151;A0A087WTR9;O15151-5;A0A087WZ58,MDM4,9856,4219,12069,2748
O15156;O15156-2,ZBTB7B,7060,0,22702,5508
O15160;O15160-2;E7EQB9,POLR1C,194578,192861,210812,104103
O15164;A0A087X1V3;O15164-2,TRIM24,6644,30564,6421,8186
O15165-6;O15165-5;O15165-3;O15165-7;O15165-8;O15165-4,LDLRAD4,19667,17976,4999,12936
O15173;O15173-2,PGRMC2,201429,205171,173732,397399
O15194;O15194-2,CTDSPL,0,0,0,3284
O15204-2;O15204,ADAMDEC1,41220,0,0,7336
O15211,RGL2,0,1234,0,3128
O15212;A2AB88,PFDN6,1354023,1782159,1013421,638509
O15213;H0Y6G3,WDR46,51237,45386,54420,61153
O15226;O15226-2,NKRF,202529,146107,169049,140433
O15228;O15228-2,GNPAT,37024,25313,20753,25205
O15229;O15229-2;O15229-3,KMO,26707,146458,99871,181552
O15231;O15231-4;O15231-7;O15231-6;O15231-8;H7BZT5,ZNF185,0,0,0,0
O15231-3;H0Y704;O15231-5;O15231-2,ZNF185,0,0,0,0
O15234,CASC3,17774,14468,14406,8688
O15235,MRPS12,76033,379574,64770,183627
O15239,NDUFA1,0,14993,28202,30511
O15247,CLIC2,20691,5822,5895,0
O15254;O15254-2,ACOX3,135527,16310,65908,49692
O15258;Q9P0H9;Q5T092;A0A0A0MR06;Q5T091;Q5T093,RER1,245837,237938,241374,437717
O15260;Q5T8U5;O15260-2;O15260-3;B7Z1G8,SURF4,287574,128805,313816,152601
O15264;O15264-2,MAPK13,169296,99747,201496,135569
O15265-2,ATXN7,9573,0,10956,0
O15269,SPTLC1,74468,114224,85493,166638
O15270;H0YJV2,SPTLC2,93229,71832,62109,59152
O15287,FANCG,0,0,6168,0
O15294,OGT,214548,237292,205149,197003
O15294-3;O15294-2;O15294-4,OGT,0,1753,1712,1454
O15297;O15297-2,PPM1D,1504,0,983,0
O15305;H3BV55;H3BPH4;H3BRM0,PMM2,532472,436555,464713,203241
O15327,INPP4B,453,454,2116,1288
O15355,PPM1G,827858,789791,636893,194724
O15357;O15357-2;A0A0A0MTP6,INPPL1,41772,58063,54031,40583
O15371;O15371-3;O15371-2,EIF3D,515691,910998,616659,496207
O15379;O15379-2,HDAC3,106060,105973,82818,73489
O15381;O15381-2;O15381-5;O15381-3;O15381-4,NVL,32211,32075,26792,24189
O15382;M0QXF9;B3KSI3;M0QZ10;O15382-2;M0QZP4,BCAT2,366585,545767,305533,283848
O15389,SIGLEC5,0,2105,0,0
O15391,YY2,9802,7455,7780,7899
O15397;O15397-2,IPO8,85646,61499,48001,66437
O15400;O15400-2,STX7,976599,838303,880516,520144
O15427;J3QQV2;J3QSC3;J3KTI8,SLC16A3,30761,6655,6211,17568
O15431,SLC31A1,0,0,0,5440
O15438;O15438-4;O15438-2,ABCC3,1726,0,1148,0
O15439;O15439-2,ABCC4,0,2477,5514,0
O15440;O15440-5,ABCC5,0,0,0,0
O15446;O15446-2,CD3EAP,52048,46499,45490,46115
O15455;O15455-2;D6RA51,TLR3,10076,9453,11935,2486
O15460-2;O15460,P4HA2,0,0,0,0
O15498;O15498-2,YKT6,315522,470173,340145,394424
O15504;C9JYA1;O15504-2,NUPL2,24645,40121,43109,31107
O15511;O15511-2;B1ALC0,ARPC5,11257511,11930968,7732470,6062554
O15514;E9PB93;E9PHV4,POLR2D,233498,351798,282833,114696
O15519;O15519-14;O15519-8;O15519-5;O15519-11;O15519-12;O15519-10;O15519-6;O15519-15,CFLAR,265,7301,5594,2161
O15523,DDX3Y,70810,57027,42213,13921
O15525,MAFG,18451,24011,15007,23278
O15527-4;O15527;O15527-8;O15527-2;O15527-7;O15527-3;H7BZM3;O15527-5;H7BXZ1,OGG1,37800,3898,32464,3323
O15541,RNF113A,171071,130116,114910,124025
O15551,CLDN3,0,0,0,0
O15552,FFAR2,0,0,0,0
O15553;F5H2E5;F8W6Z2;F5H595;O15553-1;F5H6N9,MEFV,0,0,181,0
O15554;D1MQ08,KCNN4,10028,42801,6267,7908
O43143,DHX15,1062938,1120349,1071311,899219
O43148;O43148-2;K7EP06,RNMT,227905,140532,123306,116470
O43149,ZZEF1,29770,42784,28293,18851
O43149-3,ZZEF1,0,0,0,0
O43150,ASAP2,10978,0,5893,861
O43156,TTI1,46318,18192,22221,32627
O43159;E9PPY3,RRP8,99958,58414,114899,75188
O43164;O43164-2,PJA2,7219,0,4792,0
O43166-3;O43166-2;O43166;F5GYF8,SIPA1L1,7139,6842,16823,11668
O43167,ZBTB24,3583,16287,5351,12993
O43172;O43172-2,PRPF4,378903,388020,358297,318393
O43175;Q5SZU1,PHGDH,656781,555188,218960,175999
O43181,NDUFS4,403713,317706,346706,293273
O43182;O43182-4;O43182-2;H7BYE6;O43182-5;O43182-3,ARHGAP6,0,0,0,0
O43189;E9PQZ5,PHF1,1860,922,8447,8899
O43237;O43237-2,DYNC1LI2,42985,69407,26368,20105
O43242;O43242-2,PSMD3,1186972,1123101,923242,541629
O43252,PAPSS1,166885,214727,106376,149811
O43255,SIAH2,0,0,0,0
O43257,ZNHIT1,0,0,0,0
O43264;O43264-2,ZW10,111092,101915,85805,76369
O43278;O43278-2;H3BVD9;H3BTQ8;H3BR01;H3BMB6,SPINT1,8295,19209,11203,5941
O43286,B4GALT5,29248,22232,27251,18377
O43290,SART1,252528,196855,184883,144169
O43291;K7EKQ0;K7EM91;O43291-2,SPINT2,26749,0,0,0
O43292;O43292-2;E9PPZ9;E9PLV6;E9PQ31,GPAA1,5807,22963,8128,33093
O43293;O43293-2,DAPK3,22070,10318,23725,7886
O43294;O43294-2,TGFB1I1,0,0,0,0
O43295;O43295-2,SRGAP3,0,7862,3648,0
O43296,ZNF264,5548,1863,3630,4057
O43298;Q5JU97,ZBTB43,0,0,0,0
O43299;O43299-2,AP5Z1,17203,41680,29612,19931
O43303;O43303-2,CCP110,4396,4946,3437,10847
O43304,SEC14L5,0,0,0,0
O43306;O43306-2,ADCY6,0,0,1686,1513
O43310;O43310-2,CTIF,0,280,0,0
O43312;O43312-4;E7EWW5;O43312-2;H0YB53,MTSS1,37704,59815,35221,81787
O43314;O43314-2;A0A087WZV0,PPIP5K2,60952,53169,55183,48891
O43315;H0YK62,AQP9,0,0,0,0
O43318-2;O43318;O43318-4;O43318-3,MAP3K7,19076,16092,17785,12852
O43324,EEF1E1,424176,562770,870630,919343
O43353;O43353-2,RIPK2,18861,38853,14133,16684
O43374;O43374-2;C9J798;E7ERK1;F5GXT2;F8W6L0;H0YB35,RASA4;RASA4B,0,14668,1834,14198
O43379;O43379-4,WDR62,13089,13629,18431,6048
O43390;O43390-3;B4DT28,HNRNPR,1960983,1648332,1828485,1530597
O43390-2;O43390-4,HNRNPR,0,0,0,0
O43395,PRPF3,308330,299328,312748,252331
O43396;K7ER96,TXNL1,1148936,696056,960203,629836
O43399;O43399-5;O43399-7;A0A087WYR3;A0A087WZ51,TPD52L2,1142244,1386111,1237283,654367
O43399-2;O43399-3;O43399-4;O43399-6,TPD52L2,33809,0,47803,19769
O43402;M0R1B0,EMC8,61990,53678,123719,40482
O43422;O43422-2,PRKRIR,42020,41427,32050,24160
O43427;O43427-2;E9PSD3,FIBP,98279,76126,61939,58738
O43447;C9JQD4;O43447-2;H0YEL5,PPIH,1959574,1673681,1462723,1014141
O43463;O43463-2,SUV39H1,15783,17792,10103,11709
O43464;O43464-3;A0A0C4DG44;O43464-2,HTRA2,88455,132449,61937,49096
O43464-4,HTRA2,0,0,435,0
O43474;O43474-1;O43474-4,KLF4,0,0,0,0
O43482;H0YKL4,OIP5,0,9940,0,0
O43488;H3BLU7,AKR7A2,410523,620754,363877,317063
O43504;R4GMU8;E9PLX3;A0A0C4DGV4,LAMTOR5,1334287,1734661,993878,1082713
O43505,B3GNT1,7045,0,0,0
O43513;E5RIE8,MED7,11164,11477,0,0
O43516;O43516-3;A0A087WW70;O43516-2;E9PB87;O43516-4,WIPF1,534216,573898,477866,304372
O43521;O43521-4;O43521-8;O43521-12;O43521-2;O43521-5;O43521-3;O43521-6;O43521-9;O43521-7,BCL2L11,0,11224,0,8344
O43524;O43524-2,FOXO3,0,0,0,0
O43542;G3V3H9;G3V399,XRCC3,0,2684,2504,2396
O43557;O43557-2,TNFSF14,10456,4262,8793,0
O43561;O43561-2;O43561-3;O43561-5;O43561-4,LAT,0,0,0,0
O43566,RGS14,26475,48223,37720,16970
O43567;C9J8T4;C9JYN7;C9IY58;C9JCY0;O43567-2,RNF13,7341,13875,5716,0
O43570;O43570-2;B3KUB4,CA12,948,0,0,0
O43572;E7EMD6,AKAP10,9929,7831,11425,0
O43583;F8VVL1,DENR,552458,527051,470002,236678
O43586;J3KPG6;O43586-2;H0YKY3;H0YLX8;H0YLW8,PSTPIP1,0,6211,8166,8353
O43592,XPOT,120061,128086,108328,98566
O43598;H0Y8X4;O43598-2,DNPH1,907434,749011,771717,273102
O43615;M0QXU7,TIMM44,278852,326819,271444,316509
O43617;O43617-2;A0A087WYS5;A6NKE1,TRAPPC3,325195,417564,273476,186324
O43633;M0R1L7;M0R1T5,CHMP2A,128834,103412,123506,73287
O43639,NCK2,52008,35240,34618,44259
O43660;O43660-2,PLRG1,364505,298759,284727,233441
O43663;O43663-4;O43663-2,PRC1,8676,10991,15777,4643
O43665-3;O43665;O43665-2,RGS10,877137,820234,468743,433791
O43670-2,ZNF207,773625,707354,674864,321236
O43674;E7EWP0;H0Y886;O43674-2;A0A087WYD0,NDUFB5,19560,143327,48483,88116
O43676;C9JKQ2,NDUFB3,213531,182818,242155,246426
O43677,NDUFC1,0,96554,32346,66572
O43678;O43678-2,NDUFA2,589364,723909,434266,535594
O43681;A0A087WXS7,ASNA1,497706,599123,471816,326413
O43683;O43683-2;O43683-3,BUB1,5816,12474,8247,5737
O43684;O43684-2;J3QT28,BUB3,1345843,1358284,1302188,716563
O43699;O43699-3;O43699-6;O43699-4;O43699-2;O43699-5,SIGLEC6,0,0,0,0
O43704;D6RD70,SULT1B1,4196,0,0,334
O43707;O43707-2;F5GXS2;O43707-3,ACTN4,4446717,3726317,3428712,1907151
O43709;O43709-3,WBSCR22,39298,68843,40072,84710
O43715,TRIAP1,129925,458762,156030,174693
O43719,HTATSF1,168534,204120,138516,108257
O43734;O43734-5;O43734-2,TRAF3IP2,1078,0,784,0
O43736;O43736-2,ITM2A,0,0,0,0
O43741;O43741-2,PRKAB2,0,0,0,0
O43747;O43747-2,AP1G1,375516,460751,411616,392664
O43752,STX6,81201,39884,87243,49773
O43760-2;O43760;K7ELS8;K7ELD9;K7ENG9,SYNGR2,1313896,1355835,1291968,802029
O43761;Q96L30,SYNGR3,17043,13550,11676,11440
O43765;K7EMD6,SGTA,741429,411430,585864,368729
O43766;D6RCP8;O43766-2;O43766-3,LIAS,0,0,0,0
O43772;C9JPE1,SLC25A20,102829,113617,166183,129934
O43776,NARS,438899,432092,323505,266337
O43791,SPOP,0,0,0,0
O43805,SSNA1,219287,377034,241428,158970
O43808;F6RTR7;B0QYW5;F8WE74,SLC25A17,13524,8893,8322,7331
O43809;H3BND3,NUDT21,1978245,1992230,1752319,1363288
O43813;E9PHS0,LANCL1,376895,394596,301836,202167
O43815,STRN,204979,194799,155466,119295
O43818,RRP9,163078,137251,190547,185934
O43819,SCO2,94830,29770,74876,81597
O43820-2;O43820,HYAL3,0,1795,0,1022
O43822;O43822-2;O43822-3;O43822-4,C21orf2,0,0,0,0
O43823,AKAP8,115821,86202,115791,46438
O43824,GTPBP6,33579,55594,18463,51119
O43826;U3KPU7;U3KQS2;O43826-2,SLC37A4,0,0,0,2859
O43829,ZBTB14,0,29934,25250,0
O43852;O43852-3;O43852-6;O43852-5;O43852-10;O43852-9,CALU,5066,24757,6093,12279
O43852-4;O43852-2;O43852-8;O43852-15;H0Y875,CALU,183963,160898,175486,73764
O43865;O43865-2,AHCYL1,454410,500513,315086,181406
O43866,CD5L,0,0,2610,0
O43913;O43913-2,ORC5,54391,45010,55760,59641
O43920,NDUFS5,351927,238806,359573,562387
O43924;B8ZZK5;C9IZ52,PDE6D,175146,183226,44443,64157
O43927,CXCL13,0,0,0,0
O43929;O43929-2;O43929-3,ORC4,58305,90481,61284,62356
