"genes","naiveB_S1R1","naiveB_S1R2","naiveB_S1R3","naiveB_S1R4","naiveB_S2R1","naiveB_S2R2","naiveB_S2R3","naiveB_S2R4","naiveB_S3R1","naiveB_S3R2","naiveB_S3R3"
"ENSG00000005243","0","0","0","0","0","0","11","0","2","4","4"
"ENSG00000005249","0","0","0","0","9","36","28","49","10","26","6"
"ENSG00000005302","1181","982","2445","239","1928","2497","1667","1845","1282","2536","588"
"ENSG00000005339","596","1221","519","960","1271","1138","829","685","3531","5750","2246"
"ENSG00000005379","0","0","4","425","27","94","89","12","26","33","29"
"ENSG00000005381","0","0","0","0","0","10","24","435","4","0","0"
"ENSG00000005421","0","0","43","14","1","0","0","0","5","8","0"
"ENSG00000005436","1","819","16","93","331","474","233","172","306","450","199"
"ENSG00000005448","8","1054","3004","1","224","205","420","327","117","83","20"
"ENSG00000005469","0","197","3","94","282","240","208","112","351","429","143"
"ENSG00000005471","159","1899","1887","2014","1121","962","742","630","1059","1861","275"
"ENSG00000005483","9405","20315","40454","13008","5190","4838","4552","4721","7287","8676","4475"
"ENSG00000005486","1948","1270","380","71","569","511","528","636","166","334","63"
"ENSG00000005513","0","0","1","0","0","0","0","0","0","0","0"
"ENSG00000005700","2","813","45","159","676","1131","495","721","1218","1429","411"
"ENSG00000005801","854","313","1215","324","691","667","514","555","951","1571","916"
"ENSG00000005810","1732","2396","5966","2688","3312","5749","2661","2597","11987","12113","3391"
"ENSG00000005812","115","914","1929","338","641","528","467","471","902","1658","611"
"ENSG00000005844","13","592","6","34","689","1176","1078","1519","1039","1020","242"
"ENSG00000005882","62","37","0","11","196","274","287","229","25","118","17"
"ENSG00000005884","0","1","1","35","0","0","14","0","39","26","6"
"ENSG00000005889","1094","1979","7555","2663","1455","986","1165","699","2824","4253","963"
"ENSG00000005893","751","1137","3","290","1346","1990","1314","2634","1035","1699","557"
"ENSG00000005961","0","0","0","37","61","387","29","362","0","9","6"
"ENSG00000005981","0","94","0","13","0","0","0","0","0","0","0"
"ENSG00000006007","3","503","1143","72","518","506","553","600","262","313","109"
"ENSG00000006015","3760","895","1830","42","468","408","519","366","230","286","76"
"ENSG00000006016","0","0","2","0","0","2","0","0","0","1","4"
"ENSG00000006025","0","207","2","1","525","488","379","478","95","182","13"
"ENSG00000006042","0","0","1","2","0","0","0","0","0","0","0"
"ENSG00000006047","0","0","1","1","0","0","0","0","0","1","1"
"ENSG00000006059","0","0","1","4","0","0","0","0","0","0","0"
